"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Anchorage","276,109","2,031","16","224","384","1,407","11,365","1,783","8,248","1,334","76"
"Bethel","6,183","43","1","0","4","38","135","41","49","45","1"
"Bristol Bay Borough","1,117","16","0","0","1","15","51","11","28","12","0"
"Cordova","2,378","13","0","0","0","13","39","9","27","3","1"
"Craig","1,268","14","0","0","0","14","31","7","21","3","2"
"Dillingham","2,490","29","0","9","0","20","80","15","55","10","0"
"Fairbanks","30,817","306","2","47","65","192","1,587","227","1,155","205","10"
"Haines","1,813","0","0","0","0","0","54","9","42","3","0"
"Homer","5,318","35","0","0","1","34","255","31","212","12","2"
"Houston","1,440","10","0","1","0","9","17","3","13","1","0"
"Juneau","31,509","135","0","30","14","91","1,296","125","1,124","47","5"
"Kenai","7,472","31","0","3","0","28","284","46","226","12","0"
"Ketchikan","7,516","44","1","15","2","26","536","58","445","33","3"
"Kodiak","6,343","36","0","0","0","36","271","16","238","17","3"
"Kotzebue","3,245","18","0","1","1","16","45","18","22","5","1"
"North Pole","1,680","3","0","1","0","2","96","16","60","20","1"
"North Slope Borough","7,090","66","0","20","3","43","154","61","71","22","2"
"Palmer","6,240","57","0","0","4","53","213","16","183","14","0"
"Petersburg","3,058","10","1","0","1","8","98","22","73","3","0"
"Seward","3,024","6","0","0","0","6","168","31","122","15","1"
"Sitka","8,960","31","0","10","2","19","362","39","298","25","2"
"Skagway","846","1","0","0","0","1","18","2","15","1","0"
"Soldotna","4,068","20","1","4","1","14","318","43","259","16","1"
"St. Paul","488","0","0","0","0","0","2","0","2","0","0"
"Unalaska","4,379","15","0","1","0","14","52","7","41","4","0"
"Wasilla","7,835","94","0","3","7","84","626","60","516","50","2"
"Wrangell","2,176","8","0","0","0","8","123","12","102","9","1"
