"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Apache Junction","34,596","114","1","14","6","93","1,605","385","986","234","6"
"Benson","5,076","7","0","2","0","5","240","57","157","26","0"
"Bisbee","6,250","10","0","0","0","10","324","62","251","11","0"
"Buckeye","9,586","26","0","5","7","14","956","461","236","259","2"
"Bullhead City","38,846","172","0","4","30","138","2,211","498","1,454","259","19"
"Casa Grande","32,253","266","3","4","53","206","3,337","1,208","1,761","368","16"
"Chandler","231,613","826","8","54","200","564","8,323","1,439","5,684","1,200","65"
"Chino Valley","9,472","25","1","3","0","21","227","57","156","14","3"
"Clarkdale","3,826","14","0","1","0","13","76","39","29","8","0"
"Clifton","2,339","6","0","0","1","5","28","11","14","3","0"
"Coolidge","8,518","82","0","3","17","62","591","153","353","85","24"
"Cottonwood","10,779","43","1","4","3","35","671","100","530","41","5"
"Douglas","17,274","44","0","1","6","37","696","102","525","69","0"
"Eagar","4,200","15","0","1","0","14","142","43","90","9","0"
"El Mirage","21,626","135","3","17","20","95","764","226","401","137","5"
"Eloy","11,059","106","1","7","18","80","766","294","402","70","15"
"Flagstaff","58,979","529","1","48","62","418","4,277","511","3,560","206","59"
"Florence","17,783","51","0","1","1","49","231","90","130","11","0"
"Fredonia","1,082","4","0","0","0","4","15","6","9","0","0"
"Gilbert","162,257","215","0","27","35","153","4,455","975","3,057","423","18"
"Glendale","243,608","1,409","19","84","393","913","12,413","3,332","5,980","3,101","73"
"Globe","7,449","68","1","4","7","56","514","142","346","26","5"
"Goodyear","38,772","105","0","18","24","63","2,041","1,048","608","385","13"
"Holbrook","5,275","115","0","9","6","100","468","81","374","13","6"
"Huachuca City","1,944","4","1","1","0","2","29","14","13","2","0"
"Kearny","2,677","26","0","0","0","26","57","16","41","0","0"
"Kingman","24,997","95","0","13","15","67","2,245","415","1,624","206","9"
"Lake Havasu City","55,014","142","3","17","11","111","1,842","315","1,345","182","8"
"Mammoth","2,100","0","0","0","0","0","48","20","22","6","1"
"Marana","23,885","66","2","2","11","51","1,217","176","878","163","2"
"Mesa","452,340","2,280","29","194","460","1,597","24,071","3,560","16,263","4,248","52"
"Miami","1,914","22","0","1","1","20","113","50","55","8","4"
"Nogales","21,321","74","0","3","11","60","713","114","453","146","0"
"Oro Valley","38,934","24","0","3","4","17","847","134","644","69","8"
"Page","7,050","42","0","5","3","34","491","84","392","15","1"
"Paradise Valley","14,818","12","0","2","3","7","392","233","143","16","4"
"Parker","3,275","8","0","0","2","6","205","58","123","24","4"
"Payson","14,966","17","0","4","2","11","410","56","344","10","1"
"Peoria","136,995","289","1","38","69","181","5,984","1,127","3,710","1,147","20"
"Phoenix","1,466,296","10,691","220","533","4,237","5,701","93,328","16,255","52,537","24,536","472"
"Prescott","40,255","143","0","12","22","109","1,878","386","1,365","127","19"
"Prescott Valley","31,260","145","2","10","7","126","801","137","604","60","3"
"Quartzsite","3,469","11","0","0","2","9","134","31","93","10","0"
"Sahuarita","4,987","15","0","1","2","12","238","35","178","25","0"
"Scottsdale","229,339","465","4","51","125","285","7,733","1,869","4,703","1,161","30"
"Sedona","11,444","22","0","6","1","15","324","78","236","10","1"
"Show Low","9,775","118","0","6","5","107","553","146","367","40","3"
"Sierra Vista","42,209","123","4","11","33","75","1,482","240","1,116","126","9"
"Snowflake-Taylor","8,782","47","0","0","1","46","256","65","176","15","4"
"Somerton","9,350","27","0","0","9","18","210","47","143","20","0"
"South Tucson","5,753","157","1","4","52","100","825","112","630","83","12"
"Springerville","2,012","21","1","1","0","19","142","30","101","11","0"
"St. Johns","3,632","10","0","0","0","10","176","68","97","11","3"
"Surprise","62,751","84","1","12","15","56","1,863","290","1,332","241","11"
"Tempe","166,144","1,060","4","72","326","658","12,400","1,835","8,260","2,305","57"
"Thatcher","4,216","13","0","0","0","13","209","35","172","2","0"
"Tolleson","6,150","57","2","2","11","42","829","283","395","151","7"
"Tucson2","529,447","5,048","55","378","1,685","2,930","31,299","5,130","19,642","6,527","307"
"Wellton","1,927","7","0","3","0","4","21","6","15","0","0"
"Wickenburg","5,739","15","0","2","1","12","229","82","116","31","0"
"Willcox","3,888","15","0","8","2","5","236","61","145","30","0"
"Williams","3,070","30","0","3","0","27","142","28","109","5","4"
"Winslow","10,238","135","0","3","4","128","750","160","539","51","14"
"Youngtown","3,462","30","0","1","2","27","136","42","71","23","2"
"Yuma","86,157","565","10","30","76","449","3,863","749","2,523","591","40"
