"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Alamosa","8,663","83","0","5","5","73","317","55","245","17","0"
"Arvada","103,983","196","2","23","52","119","3,877","524","2,772","581","46"
"Aspen","5,796","22","0","6","0","16","402","32","359","11","4"
"Ault","1,429","13","0","2","0","11","62","19","40","3","3"
"Aurora","295,888","1,836","28","223","644","941","14,718","2,474","9,502","2,742","90"
"Avon","6,451","27","0","3","2","22","219","27","174","18","3"
"Basalt","3,015","0","0","0","0","0","51","8","34","9","0"
"Bayfield","1,619","8","0","1","0","7","63","10","53","0","0"
"Berthoud","5,125","0","0","0","0","0","54","5","49","0","0"
"Boulder","93,474","216","0","42","34","140","3,624","551","2,821","252","61"
"Bow Mar","815","0","0","0","0","0","25","10","13","2","0"
"Breckenridge","2,700","41","0","1","1","39","440","51","378","11","0"
"Brighton","27,300","59","0","4","10","45","1,424","204","1,038","182","19"
"Broomfield","43,496","42","0","9","11","22","1,697","124","1,403","170","17"
"Brush","5,291","6","0","1","0","5","161","19","134","8","2"
"Buena Vista","2,214","3","0","0","0","3","26","5","21","0","0"
"Burlington","3,587","10","0","5","0","5","107","25","77","5","3"
"Canon City","16,032","108","0","31","4","73","693","87","579","27","7"
"Carbondale","5,785","28","0","7","1","20","158","23","130","5","0"
"Castle Rock","33,162","43","0","0","2","41","660","114","487","59","4"
"Cedaredge","2,128","2","0","0","0","2","47","12","32","3","1"
"Centennial","99,607","217","3","33","38","143","2,022","422","1,400","200","28"
"Center","2,593","4","0","2","0","2","28","11","12","5","0"
"Central City","493","16","0","0","0","16","45","0","43","2","0"
"Cherry Hills Village","6,176","4","0","1","1","2","168","40","116","12","0"
"Colorado Springs","374,482","1,792","12","251","439","1,090","19,619","3,676","14,164","1,779","107"
"Columbine Valley","1,177","2","0","0","0","2","29","14","13","2","0"
"Commerce City","30,146","127","5","5","19","98","2,027","403","1,254","370","4"
"Cortez","8,366","17","1","0","0","16","380","47","319","14","0"
"Craig","9,348","37","0","8","9","20","342","50","272","20","1"
"Cripple Creek","1,089","10","0","0","0","10","83","11","66","6","0"
"Dacono","3,420","20","0","1","0","19","89","20","60","9","0"
"Del Norte","1,626","0","0","0","0","0","13","3","10","0","0"
"Delta","8,176","34","1","7","1","25","272","68","193","11","8"
"Denver2","564,552","4,492","59","328","1,432","2,673","33,902","7,360","18,518","8,024","256"
"Dillon","793","11","0","1","0","10","72","7","62","3","0"
"Durango","15,228","75","2","18","8","47","1,413","151","1,189","73","5"
"Eaton","3,846","1","0","0","0","1","52","10","37","5","0"
"Edgewater","5,346","28","0","2","7","19","404","35","319","50","3"
"Elizabeth","1,539","6","0","3","0","3","44","6","35","3","0"
"Empire","346","2","0","0","0","2","14","6","6","2","0"
"Englewood","32,881","185","0","27","35","123","2,229","431","1,382","416","19"
"Erie","10,203","8","0","1","0","7","186","63","99","24","8"
"Estes Park","5,870","9","0","0","1","8","149","32","111","6","1"
"Evans","16,540","47","0","0","11","36","864","178","564","122","7"
"Federal Heights","11,973","78","0","20","16","42","622","105","390","127","2"
"Firestone","5,836","20","0","0","0","20","170","36","122","12","0"
"Florence","3,736","19","0","4","1","14","52","6","43","3","0"
"Fort Collins","128,727","442","2","118","57","265","4,434","764","3,239","431","21"
"Fort Lupton","7,187","27","0","4","3","20","246","40","177","29","4"
"Fort Morgan","11,144","26","0","4","7","15","377","55","305","17","1"
"Fountain","15,880","24","0","5","5","14","555","80","419","56","2"
"Fowler","1,159","5","0","0","0","5","23","5","18","0","2"
"Frisco","2,467","8","0","1","0","7","134","12","106","16","0"
"Fruita","6,910","2","0","0","2","0","271","43","215","13","3"
"Georgetown","1,089","1","0","0","0","1","21","6","15","0","0"
"Glendale","4,847","22","0","0","14","8","456","44","355","57","0"
"Glenwood Springs","8,592","43","0","6","1","36","537","76","430","31","2"
"Golden","17,678","34","0","5","3","26","727","117","525","85","2"
"Grand Junction","45,312","299","0","23","32","244","3,360","542","2,583","235","21"
"Greeley","85,991","556","2","48","60","446","5,475","1,149","3,878","448","19"
"Greenwood Village","12,854","25","0","3","14","8","821","118","635","68","2"
"Gunnison","5,393","32","0","8","0","24","330","36","282","12","0"
"Haxtun","1,011","1","0","0","0","1","6","1","5","0","0"
"Holyoke","2,324","1","0","0","0","1","6","1","5","0","0"
"Idaho Springs","1,828","32","0","1","0","31","121","11","95","15","1"
"Ignacio","696","8","0","1","0","7","10","6","3","1","0"
"Johnstown","6,495","17","0","0","0","17","178","30","133","15","2"
"Kersey","1,390","1","0","0","1","0","45","10","29","6","0"
"Kiowa","607","3","0","0","0","3","21","10","11","0","0"
"Lafayette","24,091","50","0","1","2","47","669","119","495","55","8"
"La Junta","7,408","25","0","10","4","11","385","87","288","10","10"
"Lakeside","20","2","0","0","2","0","93","1","82","10","0"
"Lakewood","143,259","671","5","93","187","386","8,331","1,259","5,650","1,422","27"
"Lamar","8,649","11","0","0","0","11","426","67","349","10","0"
"La Salle","1,846","10","0","1","0","9","66","12","42","12","0"
"Las Animas","2,607","14","0","1","0","13","76","33","40","3","1"
"Leadville","2,741","9","0","0","0","9","64","10","53","1","0"
