"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Bethany Beach","951","1","0","0","0","1","134","17","116","1","1"
"Blades","1,007","4","0","0","0","4","25","4","20","1","0"
"Bridgeville","1,585","12","0","0","2","10","12","4","7","1","0"
"Camden","2,240","15","0","2","3","10","130","14","114","2","0"
"Cheswold","340","4","0","1","0","3","18","7","11","0","0"
"Clayton","1,360","4","0","0","0","4","18","7","10","1","0"
"Dagsboro","557","0","0","0","0","0","1","0","1","0","0"
"Delaware City","1,529","5","0","0","0","5","26","4","21","1","0"
"Delmar","1,492","5","0","0","1","4","60","12","46","2","0"
"Dewey Beach","314","17","0","4","3","10","46","3","42","1","0"
"Dover","34,151","207","2","13","40","152","1,642","93","1,434","115","8"
"Ellendale","346","0","0","0","0","0","7","2","5","0","1"
"Elsmere","5,813","37","0","1","7","29","180","52","109","19","0"
"Felton","830","8","0","1","1","6","25","10","12","3","0"
"Fenwick Island","361","1","0","0","0","1","2","0","1","1","0"
"Georgetown","4,928","95","0","10","28","57","246","61","176","9","0"
"Greenwood","890","0","0","0","0","0","34","5","24","5","0"
"Harrington","3,229","22","0","1","4","17","133","30","93","10","0"
"Laurel","3,854","39","0","7","8","24","180","53","124","3","0"
"Lewes","3,141","7","0","2","4","1","70","16","51","3","0"
"Milford","7,200","115","0","7","12","96","491","74","396","21","2"
"Millsboro","2,520","28","0","4","2","22","130","29","94","7","0"
"Milton","1,804","18","0","2","0","16","86","34","52","0","1"
"Newark","30,294","160","1","18","48","93","1,088","197","806","85","9"
"New Castle","4,917","38","0","2","14","22","279","33","231","15","1"
"Newport","1,129","6","0","1","2","3","72","17","44","11","1"
"Ocean View","1,098","3","0","0","0","3","34","14","19","1","1"
"Rehoboth Beach","1,568","15","0","1","7","7","215","32","180","3","1"
"Seaford","7,049","60","1","4","8","47","384","61","308","15","1"
"Selbyville","1,751","6","0","0","1","5","39","4","35","0","1"
"Smyrna","6,916","37","0","4","7","26","251","41","189","21","0"
"South Bethany","518","2","0","0","0","2","7","0","7","0","0"
"Wilmington","73,938","1,049","12","27","433","577","3,434","817","2,104","513","8"
"Wyoming","1,164","6","0","0","0","6","29","5","24","0","1"
