"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen","1,874","1","0","0","0","1","16","2","12","2","0"
"American Falls","4,087","8","0","5","1","2","96","23","69","4","0"
"Bellevue","2,258","2","0","0","0","2","22","3","12","7","0"
"Blackfoot","10,982","44","1","7","5","31","496","92","380","24","1"
"Boise","195,012","748","5","120","86","537","7,484","1,358","5,627","499","73"
"Bonners Ferry","2,767","5","0","0","0","5","56","12","40","4","0"
"Buhl","4,068","10","0","1","0","9","93","16","68","9","0"
"Caldwell","33,559","170","3","14","9","144","1,907","462","1,259","186","14"
"Cascade","1,002","1","0","0","0","1","16","1","11","4","0"
"Coeur d'Alene","39,375","215","1","32","18","164","2,133","365","1,587","181","24"
"Cottonwood","1,054","1","0","1","0","0","5","1","4","0","1"
"Emmett","6,135","24","0","0","0","24","115","16","93","6","1"
"Filer","1,763","4","0","0","0","4","12","5","5","2","0"
"Fruitland","4,289","19","0","3","0","16","101","21","78","2","2"
"Garden City","11,460","57","0","3","6","48","480","108","315","57","6"
"Gooding","3,398","7","0","5","1","1","45","1","38","6","0"
"Grangeville","3,237","10","0","2","0","8","113","11","89","13","1"
"Hagerman","864","0","0","0","0","0","6","5","1","0","0"
"Hailey","7,654","8","0","1","0","7","44","2","37","5","0"
"Heyburn","2,853","3","0","0","0","3","16","8","8","0","0"
"Idaho Falls","53,489","156","0","27","9","120","1,923","339","1,454","130","9"
"Jerome","8,592","46","1","1","2","42","408","61","308","39","2"
"Kellogg","2,276","5","0","0","0","5","47","5","41","1","0"
"Ketchum","3,223","12","0","2","2","8","148","27","113","8","0"
"Kimberly","2,743","3","0","0","0","3","36","11","21","4","0"
"Lewiston","31,826","38","0","9","4","25","1,394","251","1,072","71","4"
"McCall","2,363","28","0","6","2","20","157","33","117","7","1"
"Meridian","46,118","87","1","12","7","67","1,253","254","931","68","10"
"Montpelier","2,667","0","0","0","0","0","20","18","2","0","0"
"Moscow","22,463","18","0","3","2","13","524","76","431","17","1"
"Mountain Home","11,721","50","0","5","1","44","380","54","302","24","3"
"Orofino","3,232","3","0","0","0","3","53","17","36","0","0"
"Payette","7,609","14","0","2","0","12","199","51","141","7","1"
"Pinehurst","1,599","0","0","0","0","0","49","15","32","2","1"
"Pocatello","52,028","159","1","35","7","116","1,763","283","1,416","64","6"
"Ponderay","704","2","0","0","1","1","94","14","78","2","0"
"Post Falls","21,900","56","0","16","1","39","784","145","591","48","2"
"Preston","5,090","3","0","1","0","2","92","21","71","0","0"
"Rathdrum","5,749","15","0","2","1","12","160","25","118","17","5"
"Rexburg","25,369","13","0","4","1","8","234","30","194","10","1"
"Rigby","3,089","7","0","3","0","4","60","6","50","4","0"
"Rupert","5,439","6","0","1","0","5","162","29","129","4","0"
"Salmon","3,135","4","0","2","0","2","47","10","34","3","0"
"Sandpoint","7,844","11","1","1","0","9","339","82","242","15","2"
"Shelley","4,058","4","0","3","0","1","104","21","76","7","1"
"Soda Springs","3,384","5","0","0","1","4","31","9","21","1","0"
"St. Anthony","3,502","11","0","1","0","10","39","4","33","2","0"
"St. Maries","2,635","8","0","0","1","7","24","7","16","1","0"
"Sun Valley","1,490","3","0","0","0","3","36","4","28","4","0"
"Twin Falls","38,587","138","4","20","22","92","1,968","368","1,448","152","22"
"Wendell","2,412","9","0","1","0","8","33","4","25","4","0"
"Wilder","1,495","3","0","1","0","2","50","22","22","6","0"
