"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adel","3,900","8","0","1","1","6","94","12","77","5","1"
"Albia","3,709","17","0","2","0","15","62","11","46","5","0"
"Algona","5,584","8","0","0","0","8","77","32","40","5","1"
"Altoona","12,156","16","1","2","4","9","542","68","462","12","3"
"Ames","52,529","98","0","14","14","70","1,537","465","1,028","44","1"
"Anamosa","5,657","4","0","2","0","2","74","12","60","2","0"
"Ankeny","34,578","36","0","1","3","32","872","157","670","45","2"
"Audubon","2,273","2","0","0","0","2","41","16","23","2","3"
"Belmond","2,472","4","0","0","0","4","4","3","1","0","1"
"Bettendorf","31,742","95","0","7","11","77","692","96","566","30","6"
"Bloomfield","2,614","8","0","0","0","8","10","1","9","0","0"
"Boone","12,908","10","0","5","1","4","395","69","311","15","5"
"Burlington","25,682","137","1","10","18","108","1,086","312","723","51","5"
"Camanche","4,276","2","0","0","0","2","98","6","91","1","1"
"Carlisle","3,496","1","0","0","0","1","20","6","13","1","1"
"Carter Lake","3,320","5","0","0","0","5","216","36","162","18","3"
"Cedar Falls","36,489","70","0","12","4","54","662","88","540","34","6"
"Cedar Rapids","122,698","417","1","45","121","250","6,391","1,067","5,022","302","18"
"Centerville","5,821","19","0","3","3","13","333","64","252","17","1"
"Chariton","4,663","14","1","1","0","12","192","31","152","9","0"
"Charles City","7,672","13","0","2","0","11","131","29","99","3","1"
"Cherokee","5,142","4","0","1","0","3","141","27","110","4","0"
"Clarinda","5,515","11","0","1","0","10","162","34","108","20","2"
"Clarion","2,859","6","0","0","0","6","50","18","29","3","0"
"Clinton","27,429","147","3","6","18","120","1,439","275","1,093","71","7"
"Clive","13,653","23","0","1","4","18","397","54","327","16","2"
"Coralville","17,598","19","0","6","6","7","715","82","622","11","3"
"Council Bluffs","59,586","725","0","61","79","585","5,145","1,034","3,435","676","34"
"Cresco","3,839","0","0","0","0","0","59","10","46","3","1"
"Davenport","98,751","1,323","7","54","272","990","7,080","1,451","5,213","416","51"
"Decorah","8,102","11","0","1","0","10","66","20","43","3","0"
"Denison","7,416","9","0","2","0","7","111","17","86","8","0"
"Des Moines2","195,093","1,228","5","110","294","819","13,799","2,630","10,045","1,124","52"
"De Witt","5,197","7","0","0","1","6","104","36","66","2","0"
