"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adairville","933","0","0","0","0","0","11","6","4","1","0"
"Albany","2,280","2","0","0","1","1","13","5","7","1","0"
"Anchorage","2,517","0","0","0","0","0","48","8","38","2","0"
"Ashland","21,729","87","2","11","20","54","1,103","202","840","61","5"
"Auburn","1,493","1","0","0","1","0","10","3","6","1","0"
"Audubon Park","1,553","3","0","0","2","1","37","16","19","2","0"
"Barbourville","3,538","1","0","1","0","0","40","10","24","6","1"
"Bardstown","10,969","17","0","3","6","8","208","60","137","11","0"
"Beattyville","1,172","0","0","0","0","0","7","3","4","0","0"
"Benham","569","0","0","0","0","0","1","1","0","0","0"
"Bloomfield","874","0","0","0","0","0","4","0","3","1","0"
"Bowling Green","51,634","328","3","47","88","190","3,020","584","2,282","154","1"
"Brandenburg","2,208","1","0","0","1","0","34","8","25","1","0"
"Brownsville","942","1","0","0","0","1","19","1","16","2","0"
"Burkesville","1,779","0","0","0","0","0","2","1","0","1","0"
"Burnside","674","0","0","0","0","0","17","4","13","0","0"
"Cadiz","2,533","19","0","1","5","13","99","13","84","2","0"
"Campbellsville","10,823","32","0","5","13","14","414","91","304","19","3"
"Campton","416","0","0","0","0","0","3","0","2","1","0"
"Carlisle","2,059","2","0","1","0","1","25","8","14","3","0"
"Carrollton","3,855","41","0","3","3","35","96","13","79","4","0"
"Catlettsburg","1,946","4","0","1","1","2","78","20","54","4","2"
"Cave City","1,936","5","0","0","1","4","67","33","29","5","0"
"Central City","5,862","7","0","2","0","5","99","18","77","4","0"
"Clarkson","825","0","0","0","0","0","1","0","1","0","0"
"Clay City","1,346","6","0","0","1","5","52","16","34","2","0"
"Clinton","1,398","2","1","1","0","0","22","15","6","1","0"
"Columbia","4,204","3","0","0","1","2","84","26","52","6","0"
"Corbin","8,165","20","0","2","1","17","346","73","257","16","4"
"Crescent Springs","3,989","5","1","0","2","2","131","14","109","8","0"
"Crofton","840","0","0","0","0","0","11","2","9","0","0"
"Cumberland","2,371","3","0","1","0","2","22","11","11","0","0"
"Cynthiana","6,284","19","0","4","3","12","314","59","233","22","0"
"Danville","15,530","42","0","4","17","21","475","105","352","18","1"
"Dawson Springs","2,992","3","0","1","0","2","33","18","14","1","3"
"Earlington","1,623","2","0","0","0","2","37","11","26","0","1"
"Eddyville","2,394","4","0","2","0","2","38","7","28","3","0"
"Edgewood","9,072","2","0","0","2","0","143","22","112","9","0"
"Edmonton","1,606","0","0","0","0","0","5","1","3","1","0"
"Elizabethtown","23,344","76","0","14","23","39","1,087","182","847","58","5"
"Elkton","1,946","9","0","0","4","5","34","16","17","1","0"
"Elsmere","8,107","15","0","0","6","9","130","32","83","15","0"
"Eminence","2,267","11","0","6","3","2","25","8","15","2","0"
"Erlanger","16,857","24","0","5","8","11","461","68","360","33","2"
"Evarts","1,070","2","0","0","1","1","6","1","4","1","0"
"Falmouth","2,112","1","0","0","0","1","64","17","44","3","0"
"Flatwoods","7,710","8","0","2","0","6","30","11","16","3","0"
"Fleming-Neon","821","2","0","0","1","1","6","2","4","0","0"
"Flemingsburg","3,107","3","0","1","1","1","23","4","18","1","0"
"Florence","25,618","91","1","6","32","52","1,413","148","1,175","90","5"
"Fort Mitchell","7,744","4","0","1","2","1","152","36","110","6","0"
"Fort Wright","5,529","17","0","0","14","3","308","41","243","24","0"
"Frankfort","27,462","81","0","13","25","43","1,190","255","844","91","9"
"Franklin","8,125","23","0","2","7","14","319","66","234","19","0"
"Fulton","2,634","10","0","1","1","8","173","27","139","7","2"
"Georgetown","19,863","35","0","2","9","24","1,043","159","823","61","2"
"Glasgow","13,921","22","0","4","7","11","302","97","183","22","1"
"Glencoe","251","1","0","0","0","1","6","4","2","0","0"
"Graymoor-Devondale","2,965","0","0","0","0","0","37","2","32","3","0"
"Grayson","4,044","4","0","2","0","2","103","39","61","3","5"
"Greenville","4,343","2","0","0","1","1","24","4","15","5","0"
"Guthrie","1,433","0","0","0","0","0","0","0","0","0","0"
"Hardinsburg","2,445","1","0","0","1","0","14","2","5","7","0"
"Harlan","1,946","15","0","1","7","7","172","20","145","7","1"
"Harrodsburg","8,094","28","1","3","5","19","124","46","69","9","0"
"Hartford","2,658","3","0","0","0","3","47","13","31","3","0"
"Hazard","4,879","27","1","5","7","14","460","150","299","11","5"
"Hickman","2,426","0","0","0","0","0","39","9","26","4","0"
"Hillview","7,301","12","0","0","4","8","129","28","90","11","0"
"Hodgenville","2,797","6","1","1","2","2","19","7","9","3","0"
"Hopkinsville","29,145","146","1","26","52","67","1,732","409","1,253","70","8"
"Horse Cave","2,326","4","0","0","1","3","25","8","16","1","0"
"Indian Hills","2,991","2","0","0","1","1","24","6","18","0","0"
"Irvine","2,756","3","0","1","0","2","87","18","66","3","0"
"Jackson","2,428","3","0","0","2","1","91","32","57","2","1"
"Jamestown","1,706","3","0","0","0","3","49","17","31","1","0"
"Jeffersontown","26,406","49","0","3","28","18","603","111","422","70","1"
"Jenkins","2,337","1","0","0","0","1","25","5","19","1","0"
