"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Ashland","1,471","3","0","0","1","2","18","11","6","1","0"
"Auburn","23,627","17","0","3","6","8","821","103","683","35","3"
"Augusta","18,691","41","0","16","7","18","1,181","206","953","22","8"
"Baileyville","1,641","4","0","1","0","3","44","13","30","1","0"
"Bangor","31,697","65","0","6","26","33","1,568","219","1,304","45","2"
"Bar Harbor","5,087","14","0","1","0","13","64","10","50","4","0"
"Bath","9,424","3","0","0","2","1","309","18","283","8","2"
"Belfast","6,862","14","0","3","0","11","253","34","211","8","0"
"Berwick","7,162","9","0","2","2","5","111","19","80","12","3"
"Bethel","2,544","0","0","0","0","0","39","7","29","3","0"
"Biddeford","21,913","46","0","19","9","18","864","95","744","25","11"
"Boothbay Harbor","2,380","4","0","1","0","3","51","9","39","3","0"
"Brewer","9,139","8","0","1","3","4","439","57","376","6","1"
"Bridgton","5,154","3","0","0","1","2","164","16","144","4","0"
"Brownville","1,266","0","0","0","0","0","7","1","6","0","0"
"Brunswick","21,849","16","0","4","5","7","482","102","361","19","1"
"Bucksport","4,984","12","0","1","0","11","93","13","76","4","0"
"Buxton","8,088","8","0","3","0","5","116","19","87","10","0"
"Calais","3,348","27","0","2","1","24","163","12","143","8","0"
"Camden","5,372","0","0","0","0","0","77","11","64","2","0"
"Cape Elizabeth","9,021","1","0","0","0","1","103","18","83","2","0"
"Caribou","8,306","2","1","0","1","0","240","49","186","5","0"
"Carrabassett Valley","429","1","0","0","0","1","81","3","76","2","0"
"Clinton","3,430","2","0","0","0","2","82","18","63","1","0"
"Cumberland","7,576","1","0","0","0","1","65","15","47","3","0"
"Damariscotta","2,069","0","0","0","0","0","33","5","26","2","0"
"Dexter","3,836","7","0","0","0","7","118","23","89","6","0"
"Dixfield","2,547","1","0","1","0","0","37","14","21","2","0"
"Dover-Foxcroft","4,369","17","0","1","0","16","110","20","86","4","0"
"East Millinocket","3,264","2","0","0","0","2","23","7","16","0","0"
"Eastport","1,608","4","0","1","1","2","27","7","19","1","0"
"Eliot","6,410","4","0","0","1","3","45","6","37","2","0"
"Ellsworth","6,959","3","0","0","0","3","328","57","263","8","0"
