"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen","14,312","159","0","6","42","111","802","131","604","67","6"
"Annapolis","36,493","445","4","11","186","244","1,652","314","1,188","150","23"
"Baltimore","641,097","11,248","269","162","3,910","6,907","33,241","7,338","19,691","6,212","422"
"Baltimore City Sheriff"," ","0","0","0","0","0","0","0","0","0","0"
"Bel Air","9,957","67","0","1","12","54","535","54","458","23","2"
"Berlin","3,715","8","0","1","3","4","115","22","91","2","0"
"Berwyn Heights","3,072","16","0","0","7","9","96","9","68","19","0"
"Bladensburg","7,980","179","2","3","112","62","790","130","385","275","0"
"Brunswick","5,265","13","0","1","0","12","70","21","46","3","0"
"Cambridge","10,908","135","0","6","42","87","717","112","582","23","6"
"Capitol Heights","4,329","16","0","0","13","3","91","14","39","38","0"
"Centreville","2,553","7","0","2","2","3","130","25","95","10","1"
"Chestertown","4,509","57","0","3","12","42","142","25","106","11","0"
"Cheverly","6,712","46","0","0","32","14","283","44","145","94","0"
"Cottage City","1,184","6","2","0","3","1","48","5","26","17","0"
"Crisfield","2,837","10","0","0","3","7","172","32","135","5","1"
"Cumberland","21,117","154","1","20","11","122","1,120","246","846","28","12"
"Delmar","2,049","21","0","1","3","17","101","27","70","4","0"
"Denton","3,122","15","0","0","7","8","138","28","104","6","2"
"District Heights","6,344","38","0","1","28","9","339","44","117","178","0"
"Easton","12,943","94","2","8","22","62","600","105","490","5","2"
"Edmonston","1,397","7","0","0","1","6","172","21","114","37","0"
"Elkton","14,174","135","0","3","36","96","913","174","673","66","11"
"Fairmount Heights","1,574","8","0","0","2","6","68","13","40","15","2"
"Federalsburg","2,610","24","0","2","5","17","147","46","96","5","0"
"Forest Heights","2,693","6","0","0","3","3","91","43","42","6","0"
"Frederick","57,443","490","0","11","118","361","1,575","256","1,244","75","32"
"Frostburg","8,201","27","0","1","1","25","197","67","125","5","0"
"Fruitland","3,814","70","0","1","6","63","253","26","218","9","1"
"Glenarden","6,618","6","0","0","3","3","58","13","31","14","0"
"Greenbelt","22,345","241","2","11","139","89","1,231","126","809","296","0"
"Greensboro","1,765","12","0","1","0","11","61","19","39","3","0"
"Hagerstown","37,822","279","2","4","84","189","1,487","328","1,024","135","39"
"Hampstead","5,458","2","0","0","0","2","95","8","80","7","3"
"Hancock","1,726","14","0","0","1","13","55","14","39","2","1"
"Havre de Grace","11,693","84","0","0","23","61","473","87","367","19","6"
"Hurlock","1,928","3","0","0","0","3","122","37","73","12","1"
"Hyattsville","15,302","115","0","1","81","33","780","103","478","199","0"
"Landover Hills","1,598","2","0","0","2","0","39","14","14","11","0"
"La Plata","8,171","37","0","0","6","31","190","17","154","19","4"
"Laurel","21,208","194","2","9","95","88","1,199","170","753","276","1"
"Lonaconing","1,187","0","0","0","0","0","2","0","2","0","0"
"Luke","78","0","0","0","0","0","0","0","0","0","0"
"Manchester","3,564","18","0","0","0","18","58","18","38","2","1"
"Morningside","1,360","4","0","0","3","1","55","8","33","14","0"
"Mount Rainier","8,806","76","1","2","50","23","482","63","205","214","1"
"North East","2,813","12","0","0","5","7","158","23","113","22","1"
"Oakland","1,938","3","0","0","0","3","58","8","48","2","1"
"Ocean City","7,191","277","1","15","49","212","1,269","232","978","59","12"
"Ocean Pines","11,099","7","0","0","1","6","94","17","77","0","0"
"Oxford","757","1","0","0","0","1","4","2","2","0","0"
"Perryville","3,776","17","0","0","1","16","124","29","90","5","0"
"Pocomoke City","4,020","22","0","5","4","13","222","32","184","6","1"
"Preston","577","1","0","0","0","1","14","4","10","0","0"
"Princess Anne","2,641","42","0","1","17","24","144","45","95","4","1"
"Ridgely","1,352","9","0","1","1","7","63","10","50","3","0"
"Rising Sun","1,789","1","0","0","0","1","83","20","61","2","1"
"Riverdale Park","6,662","94","1","2","68","23","348","44","188","116","0"
"Rock Hall","2,591","1","0","1","0","0","27","6","19","2","0"
"Salisbury","26,347","490","1","14","160","315","2,501","623","1,766","112","28"
"Seat Pleasant","5,090","56","3","0","29","24","169","23","102","44","0"
"Smithsburg","2,752","6","0","1","0","5","38","7","30","1"," "
"Snow Hill","2,339","6","0","0","0","6","42","11","30","1","0"
"St. Michaels","1,137","4","0","0","0","4","66","22","44","0","1"
"Sykesville","4,450","8","0","0","0","8","28","5","23","0","8"
"Takoma Park","17,725","96","0","5","66","25","782","144","462","176","0"
"Taneytown","5,462","4","0","0","0","4","105","5","98","2","2"
"Thurmont","6,041","29","0","1","5","23","76","13","55","8","1"
"University Park","2,410","5","0","0","0","5","66","10","38","18","0"
"Upper Marlboro","685","1","0","0","1","0","14","5","5","4","0"
"Westernport","2,063","11","0","1","0","10","41","14","26","1","2"
"Westminster","17,696","100","1","0","17","82","783","105","640","38","3"
