"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Abington","16,219","54","0","5","8","41","233","68","134","31","0"
"Acton","20,603","3","0","2","1","0","251","40","203","8","1"
"Acushnet","10,553","34","0","2","3","29","131","55","67","9","1"
"Adams","8,484","42","0","0","0","42","220","85","119","16","6"
"Agawam","28,537","43","0","5","4","34","521","206","239","76","4"
"Amesbury","16,691","50","0","4","1","45","214","36","167","11","5"
"Amherst","34,160","75","0","17","4","54","369","176","168","25","7"
"Andover","32,052","30","0","6","3","21","468","63","382","23","4"
"Arlington","41,431","40","0","4","9","27","501","157","313","31","5"
"Ashburnham","5,885","17","0","2","1","14","84","35","40","9","0"
"Ashfield","1,815","2","0","0","0","2","2","2","0","0","0"
"Ashland","15,485","21","0","7","1","13","69","17","48","4","2"
"Athol","11,641","49","1","4","2","42","153","52","91","10","1"
"Attleboro","43,386","114","0","9","12","93","919","176","654","89","7"
"Auburn2","16,336"," ","0","9","5"," ","586","142","406","38","3"
"Avon","4,373","21","0","1","1","19","178","42","120","16","0"
"Ayer","7,192","25","1","4","2","18","118","51","62","5","2"
"Barnstable","48,403","346","2","34","25","285","1,238","429","724","85","12"
"Barre","5,342","17","0","3","0","14","68","25","35","8","1"
"Becket","1,770","3","0","0","0","3","18","11","6","1","0"
"Bedford","12,484","0","0","0","0","0","47","2","45","0","0"
"Belchertown","13,808","17","0","3","0","14","163","56","88","19","1"
"Bellingham","15,718","22","0","3","2","17","290","65","208","17","1"
"Belmont","23,539","32","0","5","6","21","220","69","140","11","7"
"Berkley","6,333","6","0","0","0","6","40","8","28","4","0"
"Berlin","2,670","0","0","0","0","0","31","1","26","4","0"
"Beverly","40,055","93","0","8","17","68","635","145","445","45","0"
"Billerica","39,840","37","0","0","3","34","435","55","347","33","1"
"Blackstone","9,030","21","0","2","1","18","166","69","85","12","0"
"Bolton","4,377","2","0","0","0","2","42","12","26","4","0"
"Boston","567,589","7,479","73","268","2,649","4,489","25,205","4,531","15,957","4,717"," "
"Bourne2","19,462"," ","0","7","8"," ","627","256","330","41","7"
"Boylston","4,169","3","0","0","0","3","46","7","36","3","0"
"Braintree","33,779","96","0","6","13","77","1,019","112","808","99","1"
"Bridgewater","25,652","24","0","3","3","18","284","66","196","22","1"
"Brimfield","3,590","0","0","0","0","0","17","0","15","2","0"
"Brockton2","94,746"," ","10","47","211"," ","3,707","687","2,282","738","17"
"Brookline2","56,032"," ","0","7","59"," ","1,013","219","749","45"," "
"Buckland","1,981","1","0","0","0","1","21","9","12","0","0"
"Burlington","23,159","45","0","0","10","35","718","125","550","43","1"
"Cambridge","100,492","494","3","18","239","234","3,309","623","2,396","290"," "
