"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adrian","21,995","87","0","26","11","50","947","175","722","50","12"
"Algonac","4,619","7","0","0","0","7","63","7","53","3","2"
"Allegan","4,963","55","0","3","0","52","119","10","103","6","3"
"Allen Park","28,504","66","0","12","15","39","666","112","428","126","1"
"Alma","9,316","13","0","6","0","7","86","43","42","1","0"
"Almont","2,881","14","0","3","0","11","88","20","63","5","2"
"Alpena","10,948","51","0","15","2","34","348","55","281","12","3"
"Ann Arbor","113,660","358","0","37","102","219","3,379","859","2,282","238","21"
"Argentine Township","7,121","5","0","2","1","2","95","30","55","10","1"
"Armada","1,639","3","0","1","0","2","17","2","13","2","0"
"Auburn","2,060","1","0","1","0","0","20","5","15","0","0"
"Auburn Hills","20,754","86","0","8","28","50","1,189","120","992","77","4"
"Bad Axe","3,287","8","0","6","0","2","155","20","131","4","1"
"Bangor","1,898","12","0","1","2","9","109","18","85","6","0"
"Bath Township","10,124","10","1","1","1","7","118","18","96","4","1"
"Battle Creek","63,054","755","6","61","109","579","3,472","691","2,594","187","20"
"Bay City","35,346","168","0","30","31","107","1,155","292","789","74","14"
"Belding","5,875","23","0","5","0","18","223","23","194","6","0"
"Belleville","3,903","5","0","1","2","2","175","20","136","19","1"
"Benton Harbor","10,860","238","0","13","10","215","395","137","213","45","2"
"Benton Township","16,115","131","1","11","21","98","1,432","198","1,144","90","6"
"Berkley","15,248","20","0","1","9","10","249","53","180","16","0"
"Berrien Springs-Oronoko Township","9,763","10","0","3","2","5","166","29","130","7","3"
"Beverly Hills","10,194","8","0","1","1","6","142","13","126","3","0"
"Big Rapids","10,861","33","0","8","6","19","278","47","224","7","1"
"Birch Run","1,731","8","0","0","1","7","253","17","232","4","0"
"Birmingham","19,233","25","0","0","10","15","405","63","319","23","0"
"Blackman Township","24,857","67","2","15","14","36","447","72","338","37","4"
"Blissfield","3,265","3","0","0","1","2","62","5","51","6","0"
"Bloomfield Hills","3,863","0","0","0","0","0","76","6","68","2","0"
"Bloomfield Township","42,098","30","0","1","11","18","764","121","604","39","8"
"Bloomingdale","516","0","0","0","0","0","14","2","12","0","1"
"Boyne City","3,335","12","0","2","0","10","116","7","103","6","0"
"Breckenridge","1,323","2","0","1","0","1","9","5","3","1","0"
"Bridgeport Township","11,442","48","0","5","4","39","310","71","207","32","2"
"Bridgman","2,454","3","0","1","0","2","104","7","97","0","1"
"Brighton","7,122","10","0","2","4","4","279","26","250","3","2"
"Brooklyn/Columbia","7,587","12","0","1","0","11","98","24","71","3","1"
"Brown City","1,320","1","0","0","1","0","37","1","33","3","0"
"Brownstown Township","28,064","67","0","7","9","51","714","182","426","106","8"
"Buchanan","4,579","23","0","3","3","17","181","21","159","1","2"
"Buena Vista Township","9,969","140","2","7","20","111","480","175","259","46","9"
"Burton","30,951","163","2","22","35","104","1,473","334","970","169","11"
"Cadillac","10,143","39","0","13","0","26","468","64","385","19","8"
"Calumet","816","4","0","3","0","1","15","4","10","1","0"
"Cambridge Township","5,796","1","0","1","0","0","11","2","9","0","0"
"Canton Township","84,723","146","2","31","23","90","1,604","346","1,113","145","17"
"Capac","2,234","5","0","2","0","3","55","13","41","1","1"
"Carleton","2,835","3","0","0","0","3","37","9","25","3","1"
"Caro","4,211","9","0","1","4","4","191","20","169","2","2"
"Carrollton Township","6,354","19","0","1","4","14","256","36","205","15","1"
"Caspian","2,146","0","0","0","0","0","7","0","6","1","1"
"Cass City","2,617","2","0","2","0","0","52","6","44","2","0"
"Cedar Springs","3,230","19","0","2","1","16","104","12","86","6","1"
"Center Line","8,369","30","0","2","10","18","336","37","204","95","2"
"Central Lake","999","3","0","0","0","3","18","3","15","0","0"
"Charlotte","9,053","32","0","14","1","17","274","44","221","9","0"
"Cheboygan","5,212","12","0","6","0","6","217","37","171","9","0"
"Chelsea","4,722","11","0","2","1","8","149","15","126","8","1"
"Chesterfield Township","42,595","112","0","7","14","91","979","127","779","73","5"
"Chikaming Township","3,708","1","0","0","0","1","77","18","54","5","0"
"Chocolay Township","6,090","1","0","0","0","1","79","7","69","3","0"
"Clare","3,241","15","0","4","0","11","195","20","171","4","0"
"Clawson","12,453","22","0","2","4","16","200","36","146","18","0"
"Clayton Township","7,735","3","0","2","0","1","127","59","67","1","0"
"Clay Township","9,915","3","0","0","1","2","127","28","85","14","0"
"Clinton","2,377","0","0","0","0","0","30","6","23","1","0"
"Clinton Township","96,028","360","0","20","64","276","2,265","406","1,561","298","18"
"Clio","2,655","9","0","2","0","7","76","14","56","6","2"
"Coldwater","10,830","51","0","16","2","33","488","60","405","23","6"
"Coleman","1,284","4","0","1","0","3","50","9","38","3","0"
"Coloma Township","6,803","23","0","3","1","19","178","54","118","6","2"
"Colon","1,197","7","0","4","1","2","44","3","41","0","0"
"Constantine","2,147","6","0","2","0","4","91","2","87","2","0"
"Corunna","3,407","10","0","2","1","7","95","16","67","12","1"
"Croswell","2,460","2","0","1","0","1","70","13","55","2","0"
"Davison","5,414","13","0","2","1","10","107","32","71","4","0"
"Davison Township","18,447","26","0","6","2","18","322","99","169","54","1"
"Dearborn","95,548","571","3","30","223","315","4,924","651","3,191","1,082","49"
"Dearborn Heights","56,874","206","0","25","82","99","1,808","424","967","417","16"
"Decatur","1,933","13","1","1","0","11","169","10","155","4","1"
"Denton Township","5,757","7","0","0","1","6","105","33","64","8","1"
"Detroit2","900,932","21,240","354","589","6,820","13,477","53,972","15,304","17,383","21,285","936"
"Dewitt","4,441","2","0","0","0","2","41","8","30","3","0"
