"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Albany","1,951","0","0","0","0","0","0","0","0","0","0"
"Albert Lea","17,930","21","1","3","1","16","449","37","394","18","1"
"Alexandria","10,295","20","0","6","0","14","288","23","255","10","0"
"Andover","29,634","43","0","12","5","26","758","117","606","35","6"
"Annandale","2,872","2","0","0","0","2","130","13","107","10","1"
"Anoka2","17,908","43","0","18","11","14"," ","122"," ","62","4"
"Appleton","2,914","4","0","3","0","1","34","9","23","2","0"
"Apple Valley","49,916","57","0","16","11","30","1,582","255","1,290","37","9"
"Arden Hills","9,627","7","0","3","1","3","223","20","180","23","3"
"Aurora","1,787","1","0","0","0","1","7","2","5","0","0"
"Austin","23,654","95","0","34","11","50","1,162","138","973","51","10"
"Avon","1,303","0","0","0","0","0","24","3","20","1","0"
"Babbitt","1,638","0","0","0","0","0","1","1","0","0","0"
"Baxter","7,111","5","0","1","1","3","377","27","336","14","0"
"Bayport","3,181","4","0","0","1","3","39","7","29","3","0"
"Becker","3,649","4","0","0","0","4","9","1","8","0","5"
"Belgrade","735","0","0","0","0","0","0","0","0","0","0"
"Bemidji","13,097","57","1","11","7","38","1,084","77","956","51","10"
"Benson","3,257","2","0","1","0","1","58","14","35","9","0"
"Big Lake","8,475","19","0","4","2","13","272","25","237","10","0"
"Biwabik","940","4","0","2","0","2","4","2","2","0","0"
"Blaine","52,462","94","0","5","17","72","2,387","242","2,042","103","9"
"Blooming Prairie","1,963","4","0","0","0","4","39","19","13","7","0"
"Blue Earth","3,510","2","0","0","0","2","81","15","63","3","3"
"Brainerd","13,832","69","0","18","8","43","868","123","691","54","8"
"Breckenridge","3,387","4","0","0","0","4","122","18","95","9","2"
"Brooklyn Center","28,025","168","0","21","59","88","1,927","180","1,512","235","9"
"Brooklyn Park","68,351","309","1","47","81","180","2,932","594","2,036","302","11"
"Browns Valley","645","2","0","0","1","1","6","2","3","1","0"
"Brownton","805","0","0","0","0","0","5","3","2","0","0"
"Buffalo","12,881","22","0","10","2","10","477","42","404","31","3"
"Burnsville","59,755","114","3","18","32","61","1,693","249","1,355","89","14"
"Caledonia","2,955","9","0","3","1","5","72","15","49","8","0"
"Cambridge","6,804","15","0","6","1","8","479","72","384","23","3"
"Cannon Falls","3,964","3","0","0","1","2","204","13","178","13","0"
"Centennial Lakes","10,916","8","0","2","2","4","170","28","132","10","1"
"Champlin","23,438","21","1","6","3","11","626","65","535","26"," "
"Chaska","21,829","26","0","8","2","16","380","72","300","8","9"
"Cold Spring","3,666","7","0","4","0","3","49","12","35","2","0"
"Columbia Heights","18,372","115","2","11","53","49","1,082","247","723","112","5"
"Coon Rapids","63,113","108","1","26","24","57","3,071","227","2,709","135","18"
"Corcoran","5,736","2","0","0","0","2","47","9","32","6","0"
"Cottage Grove","32,347","43","0","15","5","23","864","148","670","46","6"
"Crosby","2,273","10","0","1","1","8","164","15","138","11","3"
"Crystal","22,020","34","0","1","19","14","873","129","667","77","7"
"Dayton","4,676","3","0","1","0","2","36","9","7","20","1"
"Deephaven-Woodland","4,241","3","0","1","1","1","31","7","22","2","0"
"Detroit Lakes","7,913","16","0","3","1","12","453","33","408","12","2"
"Dilworth","3,210","5","0","1","0","4","92","8","78","6","0"
"Eagan","64,505","45","0","8","13","24","1,595","266","1,270","59","12"
"Eagle Lake","1,977","2","0","1","0","1","29","8","18","3","0"
"East Bethel","11,930","21","0","7","1","13","445","89","310","46","2"
"East Grand Forks","7,724","19","1","5","0","13","306","57","244","5","3"
