"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen","6,313","14","0","2","4","8","144","40","99","5","1"
"Amory2","6,872","19","1","4","4","10","495","97","387","11","2"
"Batesville","7,722","12","0","1","3","8","386","98","267","21","0"
"Bay St. Louis","8,345","11","0","1","4","6","434","67","342","25","1"
"Belzoni","2,591","16","0","2","6","8","147","51","96","0","0"
"Booneville","8,759","13","1","5","0","7","338","102","234","2","2"
"Brandon","18,747","6","0","1","4","1","263","78","171","14","1"
"Brookhaven","9,916","20","0","2","5","13","288","30","246","12","2"
"Bruce","2,081","0","0","0","0","0","14","2","12","0","0"
"Byhalia","720","5","0","0","0","5","72","14","51","7","0"
"Canton","12,906","122","4","11","25","82","385","181","194","10","0"
"Charleston","2,090","30","0","1","0","29","142","44","91","7","0"
"Cleveland","12,978","46","3","0","6","37","1,044","243","795","6","1"
"Collins","2,770","5","0","2","3","0","167","44","113","10","0"
"Columbus","24,946","79","1","4","33","41","1,295","195","1,045","55","1"
"Edwards","1,328","2","0","0","1","1","8","5","3","0","0"
"Eupora","2,271","7","0","0","1","6","31","27","1","3","0"
"Fulton","4,114","3","0","0","1","2","88","24","59","5","0"
"Gloster","1,069","1","0","0","1","0","15","13","0","2","0"
"Greenville","39,222","245","6","45","90","104","2,859","925","1,793","141","91"
"Greenwood","17,548","116","2","5","59","50","1,103","353","699","51","5"
"Grenada","14,582","80","1","4","24","51","826","246","513","67","4"
"Gulfport","72,300","227","6","34","110","77","4,597","1,164","3,108","325","29"
"Hattiesburg","46,732","175","5","21","75","74","2,818","747","1,889","182","13"
"Heidelberg","808","7","0","0","2","5","10","8","2","0","0"
"Hollandale","3,222","5","0","0","3","2","70","41","26","3","0"
"Holly Springs2","8,059","55","0","7","12","36","329","82","222","25","4"
"Horn Lake2","21,900","32","1","1","19","11","1,321","139","1,073","109","1"
"Houston","4,034","0","0","0","0","0","0","0","0","0","0"
"Indianola","11,520","71","2","6","20","43","825","315","490","20","7"
"Iuka","2,988","12","0","3","2","7","57","30","24","3","0"
"Jackson","180,417","1,225","38","158","612","417","12,008","3,139","6,960","1,909","59"
"Kosciusko","7,405","22","0","2","13","7","174","73","100","1","0"
"Laurel","18,300","108","1","21","52","34","1,724","218","1,436","70","6"
"Leakesville","1,024","0","0","0","0","0","0","0","0","0","0"
"Leland","5,216","13","0","1","4","8","189","71","112","6","1"
"Lexington","1,960","6","1","0","2","3","23","14","8","1","0"
"Long Beach","17,366","12","0","0","6","6","375","40","323","12","1"
"Louisville","6,816","8","0","0","4","4","85","51","34","0","0"
"Lucedale","2,840","11","0","0","2","9","96","26","62","8","0"
"Madison","16,565","10","0","2","0","8","186","9","175","2","0"
"Magee","4,245","11","1","1","4","5","173","20","139","14","0"
"McComb","13,295","81","2","6","25","48","791","168","566","57","0"
"Meridian","39,075","198","6","29","79","84","2,030","744","1,181","105","15"
"Morton","3,458","13","0","3","3","7","48","33","13","2","0"
"Moss Point","15,414","84","5","12","38","29","1,164","465","577","122","7"
"Natchez","17,380","34","0","3","16","15","1,116","153","943","20","7"
"Newton","3,699","9","0","1","0","8","80","40","36","4","0"
"Ocean Springs","17,808","26","0","6","9","11","679","165","478","36","3"
"Olive Branch","26,682","61","1","13","20","27","1,219","315","808","96","4"
"Oxford","13,384","37","2","6","5","24","390","75","279","36","0"
"Pascagoula","26,035","139","3","38","54","44","2,019","703","1,133","183","3"
"Pearl","23,183","90","1","23","15","51","805","258","475","72","1"
"Pelahatchie","1,498","1","0","0","1","0","3","2","0","1","0"
"Petal","7,809","6","0","1","2","3","156","40","109","7","1"
"Picayune","10,817","37","1","4","10","22","600","95","482","23","2"
"Poplarville","2,683","9","0","0","4","5","96","18","74","4","0"
"Port Gibson","1,781","1","0","0","1","0","19","3","15","1","0"
"Richland","7,037","19","1","7","4","7","251","56","181","14","0"
"Ridgeland","21,712","33","1","0","12","20","743","74","636","33","0"
"Ripley","5,571","5","0","0","1","4","67","25","38","4","0"
"Roxie","568","0","0","0","0","0","0","0","0","0","0"
"Senatobia","6,793","13","0","0","10","3","386","115","256","15","0"
"Southaven","36,470","64","3","10","29","22","1,699","196","1,319","184","2"
"Starkville","22,101","73","1","7","17","48","755","150","582","23","1"
"Summit","1,428","0","0","0","0","0","67","15","49","3","0"
"Tupelo","35,639","126","1","33","38","54","1,809","342","1,338","129","1"
"Vaiden","846","1","0","0","0","1","0","0","0","0","0"
"Verona","3,392","5","0","1","3","1","170","109","58","3","0"
"Vicksburg","25,937","261","6","53","39","163","1,937","376","1,439","122","19"
"West Point","11,883","43","1","4","11","27","428","148","280","0","0"
"Wiggins","4,330","26","2","10","2","12","348","79","268","1","0"
"Winona","4,982","14","0","1","2","11","45","8","35","2","0"
