"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adrian","1,824","11","0","0","0","11","8","3","1","4","1"
"Advance","1,230","1","0","0","1","0","21","2","19","0","0"
"Alma","387","0","0","0","0","0","2","1","1","0","0"
"Alton","656","1","0","0","0","1","2","2","0","0","0"
"Anderson","1,880","2","0","0","1","1","86","11","70","5","1"
"Annapolis","300","2","0","0","0","2","4","2","2","0","0"
"Appleton City","1,304","12","0","0","0","12","43","10","31","2","0"
"Arbyrd","510","3","0","2","0","1","2","0","1","1","0"
"Archie","934","0","0","0","0","0","21","3","18","0","0"
"Arnold","20,306","28","0","3","9","16","1,451","65","1,344","42","4"
"Ash Grove","1,483","4","0","0","0","4","16","6","9","1","0"
"Ashland","2,207","9","0","0","1","8","78","12","64","2","0"
"Aurora","7,202","18","0","0","1","17","386","79","283","24","0"
"Auxvasse","940","7","1","0","0","6","15","6","9","0","0"
"Ava","3,087","33","0","0","2","31","120","19","94","7","0"
"Ballwin2","31,022","38","0","1","3","34","291","53","227","11","0"
"Bates City","245","6","0","0","1","5","26","4","20","2","0"
"Battlefield","3,196","2","0","0","0","2","33","4","27","2","0"
"Bella Villa","668","2","0","0","0","2","7","1","4","2","0"
"Bellefontaine Neighbors","10,817","64","0","3","13","48","504","102","312","90","2"
"Bellerive","261","0","0","0","0","0","5","3","1","1","0"
"Bellflower","417","0","0","0","0","0","0","0","0","0","0"
"Bel-Nor","1,556","0","0","0","0","0","40","1","30","9","0"
"Bel-Ridge","3,004","35","1","1","8","25","201","54","116","31","2"
"Belton","23,982","38","0","7","6","25","745","114","579","52","3"
"Berkeley","9,817","95","0","8","19","68","569","116","325","128","4"
"Bernie","1,824","5","0","0","0","5","16","7","7","2","0"
"Bethany","3,065","17","1","0","0","16","72","16","49","7","1"
"Beverly Hills","587","4","0","0","0","4","10","2","6","2","0"
"Billings","1,151","6","0","0","0","6","27","5","21","1","1"
"Bismarck","1,553","2","0","0","2","0","9","6","0","3","1"
"Blackburn","279","0","0","0","0","0","2","2","0","0","0"
"Bloomfield","1,910","3","0","0","0","3","23","13","7","3","0"
"Blue Springs","49,860","76","0","13","22","41","2,022","293","1,589","140","4"
"Bolivar","9,836","25","0","8","0","17","437","40","389","8","2"
"Boonville","8,676","10","0","0","1","9","287","25","255","7","3"
"Bourbon","1,395","16","0","1","0","15","42","2","40","0","1"
"Bowling Green","5,143","23","0","1","0","22","133","34","91","8","0"
"Branson","6,365","66","0","6","8","52","1,003","126","835","42","4"
"Branson West","491","1","0","0","0","1","64","1","60","3","0"
"Breckenridge Hills2","4,692","26","0","4","4","18","262","34","198","30","5"
"Brentwood","7,502","11","1","4","4","2","280","22","241","17","0"
"Bridgeton","15,504","93","2","5","26","60","1,126","104","893","129","4"
"Brookfield","4,596","9","0","2","0","7","81","22","55","4","1"
"Bucklin","504","0","0","0","0","0","3","2","1","0","0"
