"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Alliance","8,406","26","0","0","1","25","135","32","91","12","6"
"Ashland","2,460","1","0","0","0","1","18","1","16","1","0"
"Auburn","3,124","0","0","0","0","0","106","17","82","7","1"
"Bayard","1,188","0","0","0","0","0","25","1","20","4","0"
"Beatrice","13,049","43","1","8","4","30","719","106","590","23","5"
"Bellevue","47,661","57","1","10","10","36","1,481","152","1,188","141","7"
"Blair","7,757","6","0","4","0","2","158","20","123","15","1"
"Bridgeport","1,526","0","0","0","0","0","5","0","5","0","0"
"Broken Bow","3,372","2","0","2","0","0","61","8","52","1","0"
"Central City","2,938","2","0","0","0","2","86","6","73","7","1"
"Chadron","5,438","7","0","3","0","4","66","8","50","8","0"
"Columbus","21,019","11","0","4","5","2","577","97","463","17","0"
"Cozad","4,235","7","0","5","1","1","129","8","119","2","0"
"Crete","6,374","11","0","1","2","8","227","25","196","6","1"
"David City","2,598","2","0","0","0","2","43","9","34","0","1"
"Elkhorn","8,093","1","0","0","0","1","96","13","81","2","1"
"Falls City","4,324","4","0","3","0","1","87","14","67","6","0"
"Fremont","25,439","34","0","12","2","20","832","122","676","34","9"
"Gering","7,791","11","1","0","1","9","201","31","152","18","2"
"Gothenburg","3,705","3","0","1","0","2","109","12","93","4","1"
"Grand Island","44,580","99","1","17","13","68","2,545","384","2,057","104","4"
"Hastings","23,559","50","0","20","4","26","882","164","697","21","6"
"Holdrege","5,517","8","0","5","0","3","157","17","128","12","1"
"Imperial","1,934","1","0","0","0","1","11","6","5","0","0"
"Kearney","28,830","57","0","13","4","40","876","127","722","27","5"
"La Vista","14,782","19","0","3","3","13","384","41","317","26","7"
"Lexington","10,123","18","0","5","1","12","491","110","362","19","1"
"Lincoln","237,710","1,364","4","112","225","1,023","12,703","1,893","10,388","422","20"
"Lyons","921","0","0","0","0","0","4","2","2","0","0"
"Madison","2,351","6","0","0","0","6","29","3","23","3","0"
"McCook","7,793","7","0","4","0","3","273","26","238","9","4"
"Milford","2,078","0","0","0","0","0","24","2","22","0","0"
"Minden","2,985","1","0","0","0","1","60","6","54","0","0"
"Mitchell","1,808","1","0","0","0","1","22","1","18","3","0"
"Nebraska City","7,114","8","0","2","0","6","250","35","209","6","0"
"Norfolk","24,231","25","0","11","7","7","931","141","760","30","1"
"North Platte","24,103","109","1","4","7","97","1,594","242","1,297","55","3"
"Ogallala","4,759","1","0","0","0","1","207","13","189","5","0"
"Omaha","412,128","2,327","31","199","682","1,415","22,056","3,164","15,079","3,813","138"
"O'Neill","3,536","3","0","0","0","3","51","11","38","2","0"
"Ord","2,202","2","0","0","0","2","8","0","6","2","1"
"Papillion","19,626","20","0","5","1","14","318","49","256","13","5"
"Plainview","1,313","2","0","1","0","1","22","4","15","3","0"
"Plattsmouth","7,122","10","0","6","0","4","128","21","94","13","0"
"Ralston","6,261","12","0","0","2","10","171","38","117","16","1"
"Schuyler","5,400","5","0","2","0","3","97","13","83","1","0"
"Scottsbluff","14,865","39","0","5","4","30","944","140","775","29","1"
"Seward","6,708","0","0","0","0","0","94","6","83","5","0"
"Sidney","6,423","8","0","1","3","4","201","27","165","9","0"
"South Sioux City","12,222","16","0","0","4","12","239","66","159","14","0"
"St. Paul","2,291","0","0","0","0","0","19","4","15","0","0"
"Superior","1,943","2","0","1","0","1","2","1","1","0","0"
"Valley","1,841","3","0","1","0","2","38","3","33","2","0"
"Wahoo","4,062","3","0","0","0","3","68","7","58","3","0"
"West Point","3,532","0","0","0","0","0","22","0","20","2","0"
"Wymore","1,640","2","0","1","0","1","34","7","27","0","0"
"York","7,848","1","0","1","0","0","214","9","198","7","0"
