"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Alton","5,002","8","0","0","2","6","36","13","21","2","2"
"Amherst","11,659","7","0","1","3","3","309","26","280","3","5"
"Antrim","2,566","4","0","1","1","2","26","7","18","1","1"
"Ashland","2,003","3","0","1","0","2","45","6","37","2","0"
"Auburn","5,077","3","0","0","0","3","45","14","28","3","1"
"Barrington","8,136","3","0","1","0","2","88","23","61","4","3"
"Bartlett","2,907","3","1","0","1","1","41","6","33","2","0"
"Bedford","20,645","19","0","0","10","9","222","45","170","7","5"
"Belmont","7,288","6","0","1","1","4","134","35","92","7","3"
"Bennington","1,462","4","0","1","0","3","45","4","40","1","1"
"Berlin","10,568","14","0","2","3","9","140","39","96","5","5"
"Bethlehem","2,351","2","0","1","0","1","30","12","18","0","2"
"Boscawen","3,844","4","0","3","0","1","22","13","5","4","1"
"Bow","8,025","3","1","0","1","1","78","11","65","2","1"
"Brentwood","3,716","2","1","0","0","1","19","9","8","2","0"
"Bristol","3,118","2","0","1","0","1","63","10","48","5","0"
"Campton","2,864","2","0","0","0","2","66","28","36","2","1"
"Candia","4,176","1","0","0","0","1","36","9","26","1","0"
"Carroll","731","2","0","1","0","1","35","2","32","1","0"
"Charlestown","4,969","12","0","3","0","9","24","6","13","5","0"
"Chester","4,602","2","0","0","0","2","38","9","24","5","1"
"Claremont","13,451","28","0","7","1","20","366","49","290","27","5"
"Colebrook","2,396","1","1","0","0","0","23","10","12","1","0"
"Concord","42,685","69","0","18","16","35","949","160","747","42","14"
"Conway","9,166","13","0","2","3","8","372","46","308","18","2"
"Danville","4,362","6","0","1","0","5","33","5","23","5","0"
"Deerfield","4,051","6","0","3","0","3","37","4","31","2","1"
"Deering","2,001","4","0","2","0","2","20","5","13","2","0"
"Derry","34,647","62","0","12","6","44","739","149","541","49","31"
"Dover","28,724","29","1","8","5","15","492","44","432","16","5"
"Dublin","1,564","0","0","0","0","0","9","2","7","0","1"
"Dunbarton","2,504","2","0","1","0","1","18","4","10","4","0"
"Enfield","4,839","5","0","0","0","5","44","5","39","0","0"
"Epping","6,071","5","1","1","0","3","107","28","71","8","1"
"Epsom","4,457","1","0","0","0","1","64","6","54","4","3"
"Exeter","14,827","7","1","4","1","1","174","43","124","7","1"
"Farmington","6,347","15","0","4","2","9","184","45","130","9","3"
"Fitzwilliam","2,296","0","0","0","0","0","13","5","5","3","1"
"Franconia","998","3","0","0","0","3","21","4","15","2","0"
"Freedom","1,429","2","0","0","0","2","11","4","5","2","0"
"Fremont","3,906","4","0","0","0","4","20","5","11","4","3"
"Gilford","7,496","7","0","0","0","7","122","10","105","7","0"
"Gilmanton","3,483","6","0","0","0","6","20","9","7","4","0"
"Goffstown","17,677","18","1","3","2","12","361","50","301","10","4"
"Gorham","2,941","0","0","0","0","0","37","10","25","2","0"
"Grantham","2,462","1","1","0","0","0","0","0","0","0","0"
"Greenland","3,417","6","0","2","1","3","44","13","30","1","0"
"Hampstead","8,770","0","0","0","0","0","82","13","65","4","1"
"Hampton","15,486","32","0","8","14","10","368","56","284","28","3"
"Hancock","1,816","0","0","0","0","0","6","1","3","2","0"
"Hanover","11,213","1","0","1","0","0","192","7","183","2","0"
"Haverhill","4,531","15","1","6","0","8","35","21","11","3","0"
"Henniker","4,856","2","0","1","0","1","135","11","122","2","1"
"Hinsdale","4,253","4","0","0","0","4","70","10","55","5","4"
"Hooksett","13,169","18","0","9","2","7","281","35","230","16","2"
"Hopkinton","5,647","2","0","1","0","1","31","6","23","2","0"
"Hudson","24,505","23","0","4","4","15","370","57","275","38","5"
"Jaffrey","5,779","9","0","3","2","4","58","20","33","5","0"
"Keene","23,139","42","0","4","16","22","359","100","235","24","6"
"Kingston","6,266","6","0","0","1","5","46","12","30","4","0"
"Laconia","17,271","51","0","10","6","35","674","98","547","29","7"
