"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen Township","18,507","23","0","2","4","17","234","33","185","16","2"
"Absecon","7,922","38","0","1","10","27","342","61","253","28","0"
"Allendale","6,814","0","0","0","0","0","59","6","52","1","2"
"Allenhurst","716","2","0","1","0","1","22","1","21","0","0"
"Allentown","1,879","0","0","0","0","0","15","1","13","1","0"
"Alpha","2,485","9","0","0","0","9","40","7","31","2","0"
"Alpine","2,345","1","0","0","0","1","14","8","5","1","0"
"Andover Township","6,500","1","0","0","0","1","79","5","68","6","0"
"Asbury Park","16,856","346","3","10","148","185","967","288","547","132","4"
"Atlantic City","40,669","753","9","44","374","326","4,514","522","3,838","154","15"
"Atlantic Highlands","4,695","6","0","0","0","6","72","14","57","1","1"
"Audubon","9,090","12","0","0","4","8","227","32","190","5","2"
"Audubon Park","1,087","1","0","0","0","1","14","5","9","0","0"
"Avalon","2,169","2","0","0","0","2","215","31","183","1","0"
"Avon-by-the-Sea","2,236","3","0","0","2","1","60","13","47","0","1"
"Barnegat Light","817","1","0","1","0","0","21","1","20","0","0"
"Barnegat Township","19,219","41","0","1","4","36","206","55","149","2","3"
"Barrington","7,051","11","0","0","0","11","81","24","50","7","0"
"Bay Head","1,267","0","0","0","0","0","46","6","38","2","0"
"Bayonne","60,881","220","2","7","79","132","933","191","602","140","1"
"Beach Haven","1,328","4","0","0","0","4","128","8","119","1","0"
"Beachwood","10,764","16","0","0","5","11","194","30","155","9","2"
"Bedminster Township","8,410","1","0","0","0","1","68","14","52","2","0"
"Belleville","35,477","125","1","7","48","69","926","164","500","262","4"
"Bellmawr","11,208","11","0","0","6","5","251","55","177","19","0"
"Belmar","6,046","29","0","0","5","24","404","77","314","13","1"
"Belvidere","2,767","4","0","0","0","4","9","3","5","1","0"
"Bergenfield","26,267","20","0","0","12","8","192","22","153","17","1"
"Berkeley Heights Township","13,649","4","0","0","0","4","61","4","51","6","1"
"Berkeley Township","42,620","62","0","2","12","48","703","143","535","25","14"
"Berlin","7,612","5","0","0","4","1","193","25","157","11","1"
"Berlin Township","5,384","21","1","6","4","10","211","22","178","11","2"
"Bernards Township","26,963","1","0","0","0","1","163","34","123","6","2"
"Bernardsville","7,614","1","0","0","0","1","73","15","57","1","0"
"Beverly","2,695","13","0","2","3","8","54","20","28","6","0"
"Blairstown Township","6,013","2","0","0","0","2","32","6","26","0","0"
"Bloomfield","46,895","133","0","3","84","46","1,645","226","993","426","8"
"Bloomingdale","7,716","3","0","0","0","3","47","6","39","2","0"
"Bogota","8,226","7","0","0","3","4","90","20","57","13","0"
"Boonton","8,487","11","0","0","2","9","86","18","64","4","2"
"Boonton Township","4,369","4","0","1","0","3","28","7","20","1","0"
"Bordentown","4,019","4","0","2","1","1","67","11","50","6","0"
"Bordentown Township","9,995","15","0","1","8","6","167","31","120","16","0"
"Bound Brook","10,196","27","0","3","13","11","223","54","150","19","0"
"Bradley Beach","4,815","11","0","0","5","6","220","76","141","3","1"
"Branchburg Township","14,976","1","0","0","0","1","120","30","84","6","0"
"Brick Township","78,646","44","0","0","6","38","1,336","192","1,099","45","2"
"Bridgeton","22,777","322","5","18","125","174","973","227","671","75","2"
"Bridgewater Township","44,467","19","0","2","6","11","593","85","477","31","6"
"Brielle","4,924","6","0","0","1","5","47","15","28","4","0"
"Brigantine","12,797","12","1","1","4","6","204","30","166","8","1"
"Brooklawn","2,330","27","0","4","15","8","177","14","150","13","0"
"Buena","3,870","25","0","4","0","21","135","43","90","2","0"
"Burlington","9,855","48","0","4","16","28","161","40","93","28","1"
"Burlington Township","22,042","21","0","4","14","3","448","52","363","33","2"
"Butler","8,136","5","0","2","0","3","100","43","56","1","3"
"Byram Township","8,681","1","0","0","0","1","96","10","84","2","1"
"Caldwell","7,611","1","0","0","1","0","69","23","43","3","0"
"Califon","1,058","1","0","0","0","1","8","1","7","0","0"
"Camden","80,125","1,680","33","47","702","898","4,307","1,020","2,332","955","142"
"Cape May","3,864","4","0","0","0","4","210","21","187","2","1"
"Cape May Point","240","0","0","0","0","0","16","8","8","0","0"
"Carlstadt","6,032","8","0","0","3","5","200","19","149","32","0"
"Carney's Point Township","7,829","23","1","0","6","16","189","47","130","12","1"
"Carteret","21,570","56","1","7","20","28","375","61","256","58","4"
"Cedar Grove Township","12,593","11","0","2","1","8","178","24","143","11","0"
"Chatham","8,446","3","0","1","0","2","72","16","46","10","0"
"Chatham Township","10,184","2","0","1","0","1","37","3","31","3","1"
"Cherry Hill Township","72,086","100","1","5","46","48","2,030","265","1,656","109","0"
"Chesilhurst","1,815","7","0","0","3","4","37","10","24","3","0"
"Chester","1,659","0","0","0","0","0","21","2","19","0","0"
"Chesterfield Township","6,123","0","0","0","0","0","28","4","24","0","0"
"Chester Township","7,782","1","0","0","0","1","48","2","46","0","0"
"Cinnaminson Township","15,162","32","0","2","12","18","299","44","228","27","2"
"Clark Township","14,741","3","0","0","1","2","215","13","187","15","0"
"Clayton","7,440","25","0","2","12","11","234","44","172","18","0"
"Clementon","4,963","41","0","2","13","26","231","49","152","30","3"
"Cliffside Park","23,062","27","0","0","4","23","233","47","173","13","0"
"Clifton","80,119","169","2","9","85","73","1,889","305","1,285","299","3"
"Clinton","2,645","2","0","1","1","0","20","4","15","1","0"
"Clinton Township","13,892","4","0","0","0","4","64","12","47","5","1"
"Closter","8,642","1","0","0","0","1","62","13","46","3","0"
"Collingswood","14,169","29","0","1","7","21","415","110","273","32","2"
"Colts Neck Township","11,727","9","0","0","0","9","123","19","102","2","1"
"Cranbury Township","2,730","1","0","0","0","1","50","13","23","14","0"
"Cranford Township","22,667","13","0","2","4","7","318","45","256","17","0"
"Cresskill","8,230","1","0","0","0","1","54","4","50","0","2"
"Deal","1,057","2","0","0","1","1","33","6","27","0","0"
"Delanco Township","3,709","4","0","0","1","3","59","12","42","5","0"
"Delaware Township","4,711","0","0","0","0","0","32","13","17","2","0"
"Delran Township","17,347","39","0","2","18","19","254","46","198","10","3"
"Demarest","4,949","1","0","0","0","1","41","3","38","0","0"
"Denville Township","16,223","6","0","1","1","4","199","28","159","12","1"
"Deptford Township","29,006","98","1","1","30","66","1,368","230","1,062","76","12"
"Dover","18,503","62","0","4","25","33","441","163","248","30","0"
"Dover Township","94,527","133","2","9","42","80","1,849","316","1,461","72","12"
"Dumont","17,609","7","0","0","1","6","149","15","133","1","0"
"Dunellen","7,010","20","0","0","6","14","141","19","109","13","0"
"Eastampton Township","6,760","11","0","2","1","8","100","12","78","10","0"
"East Brunswick Township","48,423","51","0","7","12","32","817","112","664","41","6"
"East Greenwich Township","6,127","10","0","1","2","7","84","17","60","7","1"
"East Hanover Township","11,560","10","0","0","2","8","230","15","197","18","1"
"East Newark","2,312","7","0","0","1","6","31","4","11","16","0"
"East Orange","69,081","1,061","14","31","551","465","3,503","876","1,637","990","41"
"East Rutherford","8,773","10","0","0","2","8","313","42","216","55","0"
"East Windsor Township","26,931","32","0","3","9","20","356","63","266","27","4"
"Eatontown","14,170","23","0","4","8","11","522","32","473","17","2"
"Edgewater","9,378","8","0","0","4","4","158","16","125","17","0"
"Edgewater Park Township","8,087","16","0","3","6","7","202","26","152","24","0"
"Edison Township","100,361","231","0","6","71","154","2,456","470","1,715","271","18"
"Egg Harbor City","4,510","15","1","0","5","9","92","19","70","3","0"
"Egg Harbor Township","36,958","71","3","2","27","39","1,164","230","889","45","20"
"Elizabeth","124,997","823","17","18","541","247","4,996","647","2,903","1,446","5"
"Elk Township","3,687","3","0","0","0","3","71","17","45","9","5"
"Elmer","1,374","0","0","0","0","0","14","4","10","0","0"
"Elmwood Park","19,047","25","1","0","10","14","395","62","282","51","0"
"Elsinboro Township","1,079","0","0","0","0","0","21","8","12","1","0"
"Emerson","7,355","4","0","0","2","2","50","10","38","2","0"
"Englewood","26,411","74","1","5","26","42","577","141","368","68","1"
"Englewood Cliffs","5,667","2","0","1","0","1","92","17","71","4","0"
"Englishtown","1,818","1","0","0","0","1","18","0","18","0","1"
"Essex Fells","2,135","1","0","0","0","1","15","5","10","0","0"
"Evesham Township","46,961","47","1","9","8","29","648","98","528","22","10"
"Ewing Township","37,138","121","1","9","52","59","910","165","670","75","9"
"Fairfield Township","7,844","16","0","0","2","14","309","34","255","20","0"
"Fair Haven","5,974","0","0","0","0","0","47","5","42","0","0"
"Fair Lawn","31,682","35","0","2","19","14","363","48","290","25","2"
"Fairview","13,591","57","0","3","28","26","278","127","133","18","8"
"Fanwood","7,271","5","1","0","2","2","82","17","54","11","1"
"Far Hills","921","0","0","0","0","0","10","4","5","1","0"
"Flemington","4,215","5","0","0","0","5","122","18","96","8","0"
"Florence Township","11,287","10","1","1","0","8","127","43","71","13","2"
"Florham Park","12,583","1","0","0","0","1","113","12","97","4","2"
"Fort Lee","37,392","25","0","1","12","12","373","67","273","33","2"
"Franklin","5,244","2","0","0","0","2","116","13","99","4","0"
"Franklin Lakes","11,285","1","0","0","0","1","109","17","91","1","1"
"Franklin Township, Gloucester
County","16,414","22","1","2","7","12","329","119","190","20","4"
"Franklin Township, Hunterdon County","3,140","1","0","0","0","1","32","5","24","3","0"
"Franklin Township, Somerset County","56,988","93","1","9","44","39","861","218","573","70","14"
"Freehold","11,552","30","0","0","11","19","310","59","234","17","3"
"Freehold Township","33,927","56","0","18","12","26","979","89","854","36","2"
"Frenchtown","1,515","1","1","0","0","0","22","4","18","0","0"
"Galloway Township","35,135","82","0","5","26","51","692","173","487","32","5"
"Garfield","29,898","73","1","0","40","32","592","140","381","71","0"
"Garwood","4,175","4","0","2","1","1","61","10","48","3","0"
"Gibbsboro","2,478","3","0","0","1","2","46","15","29","2","1"
"Glassboro","19,219","67","0","12","30","25","722","152","540","30","4"
"Glen Ridge","7,139","16","1","2","2","11","244","46","163","35","3"
"Glen Rock","11,550","2","0","1","0","1","59","8","51","0","0"
"Gloucester City","11,633","27","1","5","9","12","267","49","195","23","0"
"Gloucester Township","66,431","195","0","18","52","125","1,580","355","1,112","113","12"
"Green Brook Township","6,688","7","0","1","2","4","148","23","115","10","1"
"Greenwich Township, Gloucester
County","5,005","5","0","1","0","4","135","33","97","5","0"
"Greenwich Township, Warren County","5,234","3","0","1","1","1","93","8","84","1","1"
"Guttenberg","11,035","57","0","0","25","32","180","72","87","21","2"
"Hackensack","43,777","134","0","5","39","90","1,060","59","874","127","0"
"Hackettstown","9,359","9","0","1","1","7","133","11","115","7","0"
"Haddonfield","11,621","9","0","0","0","9","237","39","197","1","4"
"Haddon Heights","7,469","3","0","1","0","2","117","13","101","3","0"
"Haddon Township","14,624","24","0","0","12","12","291","42","237","12","4"
"Haledon","8,458","12","0","0","6","6","113","36","56","21","1"
"Hamburg","3,536","1","0","0","0","1","38","9","29","0","0"
