"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen","4,645","34","1","1","13","19","285","34","238","13","1"
"Albemarle","15,646","111","1","8","29","73","880","210","609","61","8"
"Andrews","1,724","3","0","0","0","3","80","34","46","0","2"
"Angier","4,106","32","0","1","5","26","182","62","111","9","0"
"Apex","27,966","46","1","2","7","36","517","93","399","25","1"
"Archdale","9,426","26","0","2","10","14","412","111","280","21","2"
"Asheboro","23,601","49","0","4","22","23","1,471","309","1,072","90","1"
"Asheville","71,571","434","2","16","229","187","5,266","991","3,642","633","40"
"Atlantic Beach","1,835","19","0","1","2","16","163","29","126","8","0"
"Aulander","912","1","0","0","1","0","54","35","18","1","0"
"Ayden","4,666","30","6","1","6","17","213","63","143","7","0"
"Bailey","685","3","0","0","2","1","36","4","28","4","1"
"Bald Head Islands","250","0","0","0","0","0","13","3","9","1","0"
"Banner Elk","946","4","0","2","0","2","26","8","15","3","0"
"Beaufort","4,061","25","1","1","4","19","166","37","125","4","3"
"Beech Mountain","310","0","0","0","0","0","24","8","16","0","2"
"Belhaven","1,963","14","0","0","1","13","59","21","38","0","0"
"Belmont","8,932","56","1","5","19","31","384","100","245","39","3"
"Bethel","1,713","16","0","1","1","14","31","6","24","1","0"
"Beulaville","1,111","2","0","0","0","2","61","9","50","2","0"
"Biltmore Forest","1,503","0","0","0","0","0","18","5","11","2","0"
"Biscoe","1,746","3","0","0","2","1","216","22","185","9","0"
"Black Mountain","7,724","6","1","2","0","3","168","64","95","9","1"
"Bladenboro","1,751","41","0","1","2","38","139","43","94","2","0"
"Boiling Spring Lakes","3,931","3","0","0","0","3","68","30","34","4","0"
"Boiling Springs","3,915","4","0","1","1","2","48","8","33","7","0"
"Boone","13,507","18","1","4","2","11","429","87","327","15","0"
"Brevard","6,761","17","0","1","2","14","239","65","165","9","3"
"Bryson City","1,405","34","0","2","0","32","93","0","88","5","1"
"Burgaw","3,800","11","0","2","0","9","128","29","90","9","0"
"Burlington","47,421","420","4","13","91","312","3,207","719","2,352","136","9"
"Burnsville","1,663","0","0","0","0","0","44","9","33","2","0"
"Butner","6,248","39","0","2","6","31","287","58","221","8","2"
"Cameron","158","1","0","0","1","0","13","8","4","1","0"
"Candor","843","2","0","0","1","1","44","10","28","6","0"
"Canton","4,076","13","0","1","3","9","222","53","155","14","0"
"Cape Carteret","1,429","1","0","0","0","1","36","2","33","1","0"
"Carolina Beach","5,278","29","0","4","9","16","342","95","224","23","3"
"Carrboro","16,702","94","0","5","39","50","851","207","605","39","4"
"Carthage","1,944","13","0","1","3","9","46","13","30","3","0"
"Cary","102,949","133","0","13","50","70","1,963","432","1,428","103","14"
"Chadbourn","2,142","33","1","2","6","24","203","79","113","11","3"
"Chapel Hill","50,189","219","2","13","59","145","2,080","425","1,571","84","3"
"Charlotte-Mecklenburg","677,122","7,933","85","323","3,649","3,876","46,589","12,783","26,708","7,098","317"
"Cherryville","5,520","18","0","0","4","14","202","57","138","7","0"
"China Grove","3,755","14","0","1","4","9","130","26","99","5","1"
"Chocowinity","743","1","0","1","0","0","18","4","13","1","0"
"Claremont","1,106","3","0","0","0","3","88","22","62","4","0"
"Clayton","12,375","30","0","2","14","14","434","136","270","28","5"
"Cleveland","833","1","0","0","1","0","100","5","92","3","0"
"Clinton","8,840","70","2","6","15","47","614","164","409","41","3"
"Coats","2,012","9","0","2","2","5","52","18","32","2","0"
"Concord","60,957","221","5","15","74","127","2,995","505","2,245","245","3"
"Cornelius","18,172","33","0","2","6","25","326","63","237","26","0"
"Creedmoor","3,090","13","0","3","1","9","101","16","83","2","3"
"Davidson","8,482","5","0","0","1","4","81","29","35","17","0"
"Dobson","1,481","1","0","0","1","0","48","27","20","1","0"
"Drexel","1,940","2","0","1","1","0","28","6","22","0","0"
"Dunn","9,953","108","3","10","51","44","817","206","564","47","5"
"Durham","205,080","1,477","35","89","627","726","12,037","3,157","7,944","936","43"
"East Spencer","1,788","40","0","3","5","32","121","51","57","13","2"
"Eden","16,016","75","2","5","19","49","1,040","308","702","30","7"
"Elizabeth City","18,107","145","2","5","39","99","1,109","280","754","75","15"
"Elkin","4,163","20","0","2","3","15","198","36","152","10","1"
"Elon","7,195","7","0","0","0","7","94","25","67","2","0"
"Emerald Isle","3,709","2","0","0","0","2","190","91","93","6","0"
"Enfield","2,346","16","1","1","2","12","117","47","65","5","3"
"Erwin","4,827","7","0","2","0","5","191","60","119","12","0"
"Fairmont","2,641","62","0","2","14","46","258","93","143","22","1"
"Faison","782","2","0","0","1","1","24","0","23","1","0"
"Farmville","4,664","35","1","1","7","26","214","64","142","8","1"
"Fayetteville","127,323","1,152","14","47","429","662","10,551","2,531","7,234","786","46"
"Fletcher","4,459","9","1","0","3","5","199","32","153","14","2"
"Forest City","7,436","45","1","4","17","23","648","133","478","37","7"
"Franklin","3,615","8","0","1","0","7","158","63","82","13","1"
"Franklinton","1,916","2","0","0","1","1","111","19","92","0","1"
"Fremont","1,466","5","1","1","2","1","99","33","61","5","0"
"Fuquay-Varina","11,295","47","0","7","14","26","523","141","353","29","5"
"Garland","841","1","0","0","0","1","36","14","20","2","0"
"Garner","22,134","76","2","1","35","38","1,266","226","978","62","4"
"Garysburg","1,233","0","0","0","0","0","57","27","23","7","0"
"Gastonia","69,428","670","5","36","257","372","6,190","1,268","4,389","533","52"
"Gibsonville","4,601","6","0","0","2","4","73","18","52","3","0"
"Goldsboro","39,419","325","7","3","109","206","2,694","594","1,956","144","3"
"Graham","13,718","95","1","4","19","71","716","190","484","42","2"
"Granite Quarry","2,261","6","0","2","1","3","59","17","33","9","0"
"Greensboro","235,393","1,941","30","85","787","1,039","14,360","3,954","9,198","1,208","163"
"Greenville","69,829","509","6","12","177","314","4,321","1,505","2,617","199","8"
"Grifton","2,083","4","0","0","3","1","69","13","53","3","0"
"Hamlet","5,931","47","2","4","10","31","337","92","229","16","2"
"Havelock","22,741","51","0","4","14","33","520","112","388","20","2"
"Henderson","16,513","130","2","3","67","58","1,511","324","1,126","61","11"
"Hendersonville","11,419","106","1","10","29","66","1,093","145","890","58","2"
"Hertford","2,110","17","2","1","10","4","112","36","70","6","0"
"Hickory","40,779","368","2","28","112","226","3,435","773","2,381","281","15"
"High Point","94,401","616","8","27","217","364","5,957","1,970","3,509","478","36"
"Hillsborough","5,390","40","0","0","6","34","239","72","156","11","1"
"Holly Ridge","804","2","0","0","0","2","95","13","78","4","1"
"Holly Springs","13,968","17","0","4","1","12","180","49","124","7","2"
"Hope Mills","12,737","52","0","0","27","25","801","222","544","35","3"
"Hudson","3,115","2","0","0","0","2","123","32","85","6","0"
"Huntersville","34,903","72","1","4","20","47","1,204","258","871","75","8"
"Indian Beach","98","0","0","0","0","0","8","3","5","0","0"
"Jacksonville","73,538","105","0","21","23","61","799","128","635","36","4"
"Jefferson","1,448","1","0","0","0","1","8","0","8","0","0"
"Jonesville","2,295","11","0","2","2","7","156","46","103","7","0"
"Kenansville","893","3","0","0","2","1","50","7","43","0","0"
"Kenly","1,827","9","0","1","2","6","171","77","83","11","1"
"Kernersville","20,827","122","1","9","19","93","1,072","193","825","54","5"
"Kill Devil Hills","6,532","41","0","4","5","32","509","150","346","13","0"
"King","6,360","26","0","2","2","22","268","47","212","9","1"
"Kings Mountain","10,811","47","0","3","18","26","577","138","407","32","3"
"Kinston","23,298","288","2","8","60","218","2,315","526","1,689","100","10"
"Kitty Hawk","3,368","7","0","1","1","5","159","68","86","5","2"
"La Grange","2,866","29","1","0","8","20","135","38","93","4","1"
"Lake Lure","1,038","1","0","0","0","1","49","22","26","1","0"
"Lake Royale"," ","0","0","0","0","0","37","21","16","0","0"
"Landis","3,098","0","0","0","0","0","160","43","110","7","2"
"Laurel Park","2,102","2","0","0","1","1","16","5","10","1","1"
"Laurinburg","16,055","111","1","9","46","55","1,033","401","579","53","10"
"Leland","4,363","19","1","2","4","12","383","139","242","2","1"
"Lenoir","18,241","47","0","0","14","33","685","172","454","59","1"
"Lexington","20,812","148","0","12","32","104","1,236","321","821","94","4"
"Liberty","2,727","7","0","0","1","6","75","24","51","0","1"
"Lillington","3,198","15","0","0","2","13","124","24","95","5","1"
"Lincolnton","10,364","36","0","0","16","20","713","118","555","40","6"
"Longview","4,874","24","0","2","11","11","321","126","159","36","3"
"Louisburg","3,335","12","1","1","5","5","211","48","155","8","2"
"Lumberton","21,668","281","8","9","128","136","3,013","1,008","1,779","226","8"
"Madison","2,284","13","0","0","4","9","139","52","87","0","0"
"Maggie Valley","716","6","0","3","0","3","79","11","62","6","0"
"Maiden","3,281","9","0","0","1","8","117","24","88","5","0"
"Manteo","1,284","2","0","0","1","1","69","15","51","3","0"
"Mars Hill","1,764","2","0","0","0","2","58","14","43","1","0"
"Marshville","2,735","18","0","0","6","12","116","39","67","10","1"
"Matthews","24,294","61","0","5","28","28","1,084","174","815","95","8"
"Mayodan","2,421","9","0","0","1","8","88","23","60","5","0"
"Maysville","1,018","5","0","0","0","5","36","12","22","2","0"
"Middlesex","865","6","0","3","1","2","26","2","23","1","0"
"Mint Hill","17,771","74","1","2","22","49","407","181","192","34"," "
"Mocksville","4,431","20","0","4","1","15","321","50","258","13","2"
"Monroe","28,895","218","5","13","54","146","2,005","401","1,482","122","6"
"Mooresville","20,457","39","0","3","10","26","515","59","424","32","1"
"Morehead City","8,626","73","0","6","11","56","645","96","529","20","2"
"Morganton","17,462","64","1","5","13","45","724","161","526","37","0"
"Morrisville","11,788","12","0","2","4","6","284","54","211","19","4"
"Mount Airy","8,560","84","0","6","8","70","655","163","463","29","5"
"Mount Holly","9,799","44","0","2","9","33","284","93","164","27","2"
"Mount Olive","4,548","68","3","1","9","55","401","67","315","19","0"
"Murfreesboro","2,321","20","0","0","6","14","172","53","119","0","0"
"Murphy","1,581","12","1","3","0","8","129","20","105","4","0"
"Nags Head","3,118","12","0","4","1","7","367","104","260","3","0"
"Nashville","4,528","19","0","1","6","12","84","31","46","7","0"
"New Bern","23,757","154","2","13","45","94","1,495","341","1,113","41","3"
"Newland","711","1","0","0","0","1","22","1","20","1","0"
"Newport","3,859","9","0","0","1","8","64","24","37","3","0"
"Newton","13,095","42","1","7","12","22","813","231","539","43","2"
"North Topsail Beach","858","4","0","0","0","4","71","35","35","1","0"
"North Wilkesboro","4,183","21","0","1","3","17","270","54","206","10","7"
"Norwood","2,210","7","0","0","1","6","97","17","74","6","0"
"Oak Island","7,402","28","0","0","1","27","361","151","201","9","1"
"Ocean Isle Beach","491","1","0","0","0","1","167","24","140","3","0"
"Old Fort","991","2","0","0","0","2","44","9","32","3","0"
"Oxford","8,647","95","1","2","34","58","677","229","413","35","2"
"Pembroke","2,741","23","2","0","7","14","279","172","94","13","0"
"Pilot Mountain","1,295","4","1","1","0","2","107","6","99","2","0"
"Pinebluff","1,197","6","0","0","0","6","20","6","13","1","0"
"Pinehurst","11,181","7","0","0","3","4","123","4","118","1","1"
