"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Beulah","3,071","4","0","1","0","3","36","7","25","4","1"
"Bismarck","56,825","51","0","8","8","35","1,488","197","1,164","127","12"
"Devils Lake","6,867","26","0","0","3","23","319","40","261","18","1"
"Dickinson","15,743","11","0","2","3","6","545","118","406","21","0"
"Emerado","498","0","0","0","0","0","16","3","10","3","0"
"Fargo","91,380","104","2","42","11","49","2,348","438","1,697","213","10"
"Grafton","4,283","1","0","0","0","1","134","15","113","6","0"
"Grand Forks","49,162","65","1","9","6","49","2,074","271","1,628","175","5"
"Harvey","1,801","3","0","2","0","1","21","1","18","2","0"
"Jamestown","14,979","34","0","13","1","20","337","60","265","12","5"
"Lincoln","2,155","0","0","0","0","0","16","3","13","0","0"
"Mandan","17,031","29","0","3","3","23","401","26","341","34","5"
"Mayville","1,936","4","0","4","0","0","11","3","6","2","0"
"Minot","35,277","81","1","28","4","48","1,041","108","855","78","6"
"Northwood","907","0","0","0","0","0","4","0","4","0","0"
"Portland","590","0","0","0","0","0","0","0","0","0","0"
"Rolla","1,449","2","0","0","0","2","105","11","86","8","1"
"Rugby","2,738","2","0","1","0","1","37","5","29","3","0"
"Steele","717","1","0","0","0","1","3","0","2","1","0"
"Valley City","6,469","3","0","1","0","2","78","4","66","8","1"
"Wahpeton","8,442","9","0","3","0","6","184","16","154","14","0"
"Watford City","1,345","2","0","0","0","2","9","3","6","0","0"
"Williston","12,235","15","0","3","1","11","186","26","118","42","0"
