"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Akron","212,272","1,265","27","183","625","430","12,040","3,409","7,253","1,378","92"
"Alliance","23,278","86","1","13","26","46","1,086","247","799","40","11"
"Amberley Village","3,311","3","0","0","0","3","26","2","22","2","0"
"Amherst","11,810","19","0","1","12","6","210","31","176","3","1"
"Arcanum","2,049","1","0","0","0","1","32","9","23","0","0"
"Archbold","4,502","2","0","1","0","1","74","15","57","2","0"
"Ashland","21,636","23","0","7","9","7","606","82","514","10","2"
"Athens","21,834","35","1","9","4","21","502","88","401","13","1"
"Aurora","14,363","6","1","0","1","4","210","45","159","6","0"
"Avon","14,887","13","0","1","1","11","205","55","138","12","2"
"Bainbridge Township","11,237","13","0","0","0","13","313","47","262","4","1"
"Barberton","27,374","62","0","22","21","19","1,295","225","1,002","68","5"
"Bath Township, Summit County","10,100","22","0","0","7","15","251","29","209","13","0"
"Bay Village","15,446","3","0","0","0","3","5","3","1","1","0"
"Beavercreek","39,438","45","0","4","11","30","1,181","106","1,013","62","3"
"Beaver Township","6,181","3","0","1","1","1","221","77","127","17","0"
"Bedford","13,589","27","0","6","7","14","434","33","348","53","1"
"Bedford Heights","11,020","28","0","1","9","18","272","56","177","39","2"
"Bellaire","4,776","5","0","1","3","1","216","38","170","8","3"
"Bellbrook","7,013","5","0","1","0","4","122","10","110","2","0"
"Bellefontaine","13,040","88","2","5","12","69","662","146","496","20","0"
"Bellville","1,750","3","0","0","0","3","74","10","62","2","0"
"Belpre","6,588","8","0","1","3","4","124","16","103","5","0"
"Berea2","18,284","15","0","3","5","7","388","36","338","14","2"
"Bexley","12,416","34","0","1","24","9","468","159","294","15","0"
"Blue Ash","11,922","19","1","1","7","10","310","48","255","7","2"
"Boardman","41,172","76","0","12","53","11","2,172","303","1,727","142","9"
"Bowling Green","29,467","34","0","7","13","14","930","95","813","22","0"
"Bradford","1,893","0","0","0","0","0","11","6","5","0","0"
"Brecksville","13,383","1","0","0","0","1","68","6","59","3","0"
"Brimfield Township","7,936","6","3","1","0","2","210","41","162","7","0"
"Broadview Heights","17,231","12","0","0","0","12","96","23","59","14","1"
"Brooklyn","11,056","46","0","1","30","15","647","70","497","80","0"
"Brooklyn Heights","1,530","0","0","0","0","0","25","5","17","3","1"
"Brook Park","20,305","22","0","3","3","16","222","16","141","65","0"
"Brookville","5,307","3","0","3","0","0","97","26","66","5","0"
"Bryan","8,393","7","0","5","1","1","228","39","179","10","0"
"Buckeye Lake2","3,052","11","0","10","1","0","64","33","20","11","2"
"Cadiz","3,386","1","0","0","1","0","89","16","69","4","0"
"Cambridge","11,662","105","0","11","10","84","1,307","132","1,110","65","0"
"Campbell","8,995","21","1","3","13","4","207","85","101","21","0"
"Canal Fulton","5,071","0","0","0","0","0","143","35","105","3","0"
"Canfield","7,194","2","0","1","1","0","130","13","113","4","0"
"Canton2","79,940","668","4","57","381","226","6,051","1,566","3,939","546","40"
"Cardington","2,024","4","0","1","0","3","12","2","9","1","0"
"Carlisle","5,623","2","0","0","1","1","73","20","47","6","1"
"Celina","10,273","26","0","7","2","17","418","74","331","13","4"
"Centerville","23,132","23","0","4","7","12","496","84","387","25","0"
"Chardon","5,285","10","0","0","1","9","65","2","59","4","0"
"Cheviot","8,403","7","0","0","6","1","143","23","115","5","0"
"Chillicothe","22,049","60","2","12","30","16","2,242","300","1,852","90","14"
"Cincinnati","314,292","3,723","79","315","2,319","1,010","22,411","5,430","14,029","2,952","240"
"Circleville","13,371","44","1","13","6","24","959","232","685","42","5"
"Cleveland","458,885","6,416","109","478","3,743","2,086","28,543","8,598","13,145","6,800","505"
"Cleveland Heights","48,664","21","0","0","21","0","618","78","453","87","0"
"Clinton Township","4,057","42","0","1","35","6","449","57","346","46","2"
"Clyde","6,104","7","0","1","1","5","187","25","156","6","0"
"Coitsville Township","1,647","2","0","0","1","1","47","19","24","4","0"
"Coldwater","4,446","2","0","0","0","2","84","19","61","4","0"
"Columbus","730,329","6,111","102","518","3,777","1,714","54,141","14,604","31,724","7,813","465"
"Conneaut","12,699","35","0","1","1","33","574","127","414","33","0"
"Copley Township","14,041","6","0","5","0","1","297","50","231","16","0"
"Covington","2,564","2","0","2","0","0","46","12","34","0","0"
"Crestline","4,999","11","1","0","2","8","66","13","40","13","0"
"Creston","2,147","2","0","1","0","1","84","9","73","2","0"
"Cuyahoga Falls","50,537","67","0","19","18","30","1,879","194","1,553","132","1"
"Dayton","160,363","1,533","32","140","851","510","11,471","3,229","6,031","2,211","143"
"Deer Park","5,683","7","0","1","4","2","110","19","87","4","0"
"Defiance","16,083","31","0","8","3","20","635","102","524","9","2"
"Delaware","30,025","84","1","41","19","23","1,115","243","830","42","12"
"Delhi Township","30,702","29","0","4","9","16","453","49","387","17","1"
"Delta","2,949","4","0","0","1","3","118","19","97","2","0"
"Dover","12,503","2","0","1","0","1","203","42","152","9","1"
"Dublin","34,316","9","0","2","7","0","574","141","402","31","5"
"Eastlake","19,910","20","0","2","15","3","448","37","370","41","3"
"East Liverpool","12,545","17","0","1","7","9","497","133","342","22","0"
"Eaton","8,219","14","0","1","2","11","365","39","311","15","2"
"Englewood","12,604","25","1","6","10","8","443","51","371","21","1"
"Euclid","50,420","176","3","14","104","55","1,612","342","1,075","195","10"
"Fairborn","32,425","163","1","39","46","77","1,425","312","1,033","80","14"
"Fairfield","42,398","164","0","19","33","112","1,658","250","1,292","116","9"
"Fairfield Township","16,640","171","0","6","5","160","526","83","411","32","0"
"Fairlawn","7,241","4","0","1","3","0","398","17","365","16","0"
"Fairport Harbor","3,228","8","0","2","2","4","161","36","120","5","2"
"Fayette","1,339","3","0","1","0","2","26","4","21","1","0"
"Findlay","40,193","98","0","23","24","51","1,871","375","1,457","39","10"
"Forest","1,475","3","0","0","1","2","45","12","30","3","0"
