"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Achille","524","5","0","0","0","5","23","7","14","2","2"
"Ada","15,949","127","1","14","12","100","902","253","597","52","13"
"Agra","361","0","0","0","0","0","0","0","0","0","0"
"Altus","20,534","55","1","10","12","32","872","225","615","32","10"
"Alva","4,968","4","0","0","0","4","136","32","99","5","2"
"Anadarko","6,608","56","1","1","7","47","493","151","309","33","19"
"Antlers","2,537","27","1","1","0","25","102","29","70","3","1"
"Apache","1,605","10","1","0","2","7","33","12","18","3","1"
"Ardmore","24,509","260","0","11","27","222","1,423","320","1,046","57","6"
"Arkoma","2,197","1","0","0","0","1","21","1","18","2","0"
"Atoka","3,045","12","0","1","2","9","123","37","81","5","2"
"Barnsdall","1,299","1","0","0","0","1","3","1","1","1","0"
"Bartlesville","34,877","123","2","16","10","95","1,339","303","965","71","13"
"Beaver","1,453","5","0","0","0","5","34","6","26","2","0"
"Beggs","1,392","3","0","1","0","2","47","8","35","4","1"
"Bethany","20,008","75","0","12","20","43","785","135","565","85","2"
"Bixby","17,851","31","0","3","6","22","353","91","227","35","0"
"Blackwell","7,408","17","0","4","3","10","223","79","132","12","8"
"Blanchard","3,394","6","0","3","1","2","98","21","62","15","1"
"Boise City","1,364","0","0","0","0","0","10","0","10","0","0"
"Boley","1,111","2","0","0","0","2","16","6","8","2","0"
"Bristow","4,354","16","0","2","2","12","193","43","136","14","1"
"Broken Arrow","84,982","188","0","11","22","155","2,070","415","1,484","171","21"
"Broken Bow","4,194","36","0","1","2","33","391","103","259","29","8"
"Buffalo","1,139","1","0","0","0","1","7","3","3","1","0"
"Caddo","971","4","0","0","1","3","22","10","9","3","1"
"Calera","1,795","8","0","2","0","6","62","18","40","4","1"
"Carnegie","1,612","8","0","0","1","7","46","28","14","4","2"
"Catoosa","6,062","17","0","1","4","12","279","85","152","42","1"
"Chandler","2,878","6","0","0","2","4","89","19","65","5","0"
"Checotah","3,532","14","0","3","2","9","139","38","90","11","1"
"Chelsea","2,262","3","0","1","0","2","44","22","19","3","0"
"Cherokee","1,525","0","0","0","0","0","9","6","3","0","0"
"Chickasha","16,577","134","1","11","7","115","878","239","589","50","11"
"Choctaw","10,347","18","2","1","4","11","260","69","177","14","1"
"Chouteau","1,989","11","0","1","0","10","84","17","60","7","1"
"Claremore","17,111","39","0","9","5","25","594","131","416","47","3"
"Clayton","730","4","0","1","0","3","15","3","10","2","0"
"Cleveland","3,264","4","0","1","0","3","81","17","57","7","1"
"Clinton","8,426","32","1","1","6","24","280","68","197","15","8"
"Coalgate","1,957","7","0","1","1","5","27","5","22","0","0"
"Colbert","1,101","8","0","0","0","8","32","10","20","2","0"
"Collinsville","4,326","13","0","1","1","11","110","28","70","12","2"
"Comanche","1,530","8","0","0","0","8","95","23","63","9","2"
"Cordell","2,928","4","0","0","0","4","48","0","48","0","0"
"Coweta","8,191","23","0","2","3","18","222","58","144","20","4"
"Crescent","1,329","2","0","0","0","2","16","4","11","1","0"
"Cushing","8,382","22","0","3","2","17","366","80","261","25","3"
"Davenport","892","2","0","0","0","2","8","2","5","1","0"
"Davis","2,616","14","0","1","1","12","59","22","37","0","0"
"Del City","22,181","96","3","8","31","54","1,114","290","703","121","11"
"Dewey","3,312","12","0","1","2","9","156","38","115","3","1"
"Drumright","2,905","0","0","0","0","0","88","12","68","8","2"
"Duncan","22,360","52","0","7","8","37","960","191","738","31","3"
"Durant","14,882","64","0","12","8","44","1,179","324","757","98","3"
"Edmond","73,585","111","1","26","18","66","1,922","389","1,453","80","22"
"Elk City","10,514","6","0","0","1","5","221","31","172","18","0"
"El Reno","16,062","47","0","6","8","33","489","142","314","33","13"
"Enid","46,948","199","0","25","32","142","2,706","785","1,820","101","6"
"Erick","1,024","1","0","0","0","1","7","1","6","0","0"
"Eufaula","2,811","17","0","0","1","16","148","56","82","10","0"
"Fairfax","1,527","8","0","0","0","8","61","11","41","9","1"
"Fairview","2,652","6","0","2","0","4","95","23","64","8","0"
"Fort Gibson","4,267","5","0","0","1","4","63","25","36","2","0"
"Frederick","4,372","14","0","0","6","8","142","36","98","8","1"
"Geary","1,299","12","0","1","0","11","47","13","32","2","1"
"Glenpool","8,601","15","0","1","0","14","162","38","108","16","0"
"Goodwell","1,166","0","0","0","0","0","21","7","13","1","0"
"Granite","1,803","6","1","2","0","3","10","4","5","1","0"
"Grove","5,707","9","1","0","0","8","226","40","180","6","1"
"Guthrie","10,578","35","0","3","7","25","259","68","178","13","3"
"Guymon","10,804","25","1","7","5","12","325","59","252","14","2"
"Harrah","4,995","8","0","0","0","8","122","45","73","4","0"
"Hartshorne","2,065","9","0","2","0","7","34","10","23","1","0"
"Haskell","1,788","1","0","0","0","1","6","2","4","0","0"
"Healdton","2,806","5","0","0","0","5","39","19","20","0","0"
"Heavener","3,262","9","0","1","0","8","134","67","64","3","1"
"Henryetta","6,118","23","0","0","0","23","133","38","82","13","0"
"Hinton","2,195","0","0","0","0","0","23","10","10","3","1"
"Hobart","3,849","12","0","0","2","10","45","15","28","2","0"
"Holdenville","5,658","17","0","0","1","16","174","42","118","14","4"
"Hollis","2,079","2","0","0","1","1","61","13","47","1","1"
"Hominy","3,770","57","1","0","0","56","65","23","39","3","0"
