"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Abbeville","5,855","104","0","3","3","98","204","36","162","6","0"
"Aiken","27,670","105","1","6","23","75","1,356","192","1,102","62","5"
"Allendale","4,003","63","0","0","5","58","245","86","149","10","2"
"Anderson","26,064","166","2","10","32","122","1,614","334","1,145","135","4"
"Andrews","3,108","34","0","1","1","32","194","36","140","18","0"
"Atlantic Beach","369","12","0","0","2","10","24","4","16","4","0"
"Aynor","594","39","0","0","0","39","63","3","54","6","0"
"Bamberg","3,616","20","0","1","2","17","130","32","95","3","1"
"Barnwell","4,952","62","0","3","4","55","276","56","211","9","1"
"Batesburg-Leesville","5,622","30","0","5","4","21","260","62","188","10","0"
"Beaufort","12,456","186","0","13","50","123","787","180","559","48","6"
"Belton","4,603","18","0","3","1","14","213","43","152","18","0"
"Bennettsville","9,386","182","2","7","19","154","529","118","395","16","2"
"Bethune","363","0","0","0","0","0","0","0","0","0","0"
"Blacksburg","1,926","29","0","1","1","27","146","15","121","10","2"
"Blackville","2,975","5","0","0","1","4","46","11","35","0","0"
"Bluffton","2,290","17","0","1","4","12","152","36","106","10","1"
"Bonneau","351","2","0","0","1","1","12","4","8","0","0"
"Bowman","1,188","13","0","0","0","13","37","13","18","6","1"
"Branchville","1,071","5","0","0","0","5","32","7","24","1","1"
"Burnettown","2,822","6","0","1","0","5","33","8","17","8","0"
"Calhoun Falls","2,316","11","1","1","0","9","80","19","55","6","1"
"Camden","7,070","122","3","2","21","96","510","67","411","32","0"
"Cameron","436","0","0","0","0","0","0","0","0","0","0"
"Campobello","467","1","0","0","1","0","6","2","3","1","0"
"Cayce","12,587","121","0","6","33","82","786","105","629","52","2"
"Central","3,671","12","0","1","0","11","85","19","53","13","0"
"Chapin","674","6","0","0","1","5","69","7","62","0","0"
"Charleston","106,307","1,003","10","49","290","654","4,756","810","3,464","482","11"
"Cheraw","5,502","54","1","0","13","40","351","40","303","8","0"
"Chesnee","1,033","7","0","0","1","6","52","10","35","7","0"
"Chester","6,358","111","0","5","7","99","413","118","271","24","6"
"Chesterfield","1,362","8","0","1","0","7","102","38","62","2","2"
"Clemson","12,238","23","0","3","2","18","303","49","217","37","0"
"Clinton","9,107","102","0","3","11","88","549","89","439","21","3"
"Clio","769","8","0","0","2","6","27","4","20","3","0"
"Clover","4,109","119","1","5","3","110","150","39","106","5","1"
