"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adamsville","2,066","0","0","0","0","0","17","3","12","2","0"
"Alamo","2,402","22","0","1","2","19","46","12","31","3","1"
"Alcoa","8,453","101","0","7","11","83","656","94","523","39","5"
"Alexandria","861","2","0","0","0","2","23","6","16","1","1"
"Algood","3,117","2","0","0","0","2","124","3","114","7","0"
"Athens","13,863","212","1","12","23","176","1,370","282","1,016","72","8"
"Atoka","5,037","7","0","0","1","6","167","30","128","9","0"
"Baileyton","508","1","0","0","0","1","24","1","20","3","0"
"Bartlett","43,315","60","0","7","21","32","1,069","161","844","64","4"
"Baxter","1,343","3","0","0","0","3","19","8","10","1","0"
"Bean Station","2,720","26","0","0","1","25","143","43","82","18","0"
"Belle Meade","3,089","1","0","0","0","1","25","3","18","4","0"
"Bells","2,323","22","0","1","1","20","66","26","36","4","1"
"Benton","1,133","3","0","0","0","3","26","8","18","0","0"
"Berry Hill","688","13","0","0","6","7","91","9","69","13","0"
"Bethel Springs","773","0","0","0","0","0","0","0","0","0","0"
"Big Sandy","524","5","0","0","0","5","9","2","6","1","0"
"Bluff City","1,594","7","0","0","0","7","36","9","24","3","0"
"Bolivar","5,726","52","2","4","8","38","354","102","228","24","2"
"Bradford","1,092","3","0","0","0","3","27","7","18","2","0"
"Brentwood","30,907","21","0","1","7","13","550","73","461","16","3"
"Brighton","2,254","5","0","1","0","4","46","9","30","7","0"
"Bristol","25,195","139","0","9","12","118","1,394","234","1,088","72","2"
"Brownsville","10,817","173","0","11","15","147","636","173","447","16","2"
"Bruceton","1,521","12","0","0","1","11","7","0","7","0","0"
"Burns","1,417","4","0","0","0","4","22","5","13","4","0"
"Calhoun","516","2","0","0","0","2","13","1","11","1","0"
"Camden","3,787","14","0","3","1","10","150","43","93","14","0"
"Carthage","2,273","20","0","2","1","17","107","18","84","5","0"
"Caryville","2,391","10","0","1","3","6","66","9","47","10","0"
"Celina","1,386","3","0","0","1","2","42","13","26","3","0"
"Centerville","4,021","4","0","1","0","3","101","35","57","9","0"
"Chapel Hill","987","1","0","0","1","0","20","6","13","1","0"
"Charleston","649","0","0","0","0","0","17","3","13","1","0"
"Chattanooga","156,480","1,754","23","116","442","1,173","12,606","2,190","9,365","1,051","23"
"Church Hill","6,287","17","0","0","0","17","166","42","115","9","0"
"Clarksburg","379","0","0","0","0","0","6","1","4","1","0"
"Clarksville","110,117","881","5","52","138","686","4,129","1,071","2,802","256","25"
"Clinton","9,446","43","2","1","8","32","391","91","262","38","3"
"Collegedale","7,241","11","0","2","2","7","218","42","173","3","0"
"Collierville","36,946","64","3","2","11","48","614","98","460","56","5"
"Collinwood","1,045","1","0","0","0","1","7","1","5","1","0"
"Columbia","33,952","433","3","22","72","336","1,796","347","1,341","108","6"
"Coopertown","3,209","15","0","0","1","14","50","11","36","3","0"
"Copperhill","498","1","0","0","0","1","9","5","3","1","0"
"Cornersville","948","0","0","0","0","0","5","2","3","0","0"
"Covington","9,083","98","0","1","10","87","549","170","349","30","1"
"Cowan","1,780","11","0","0","0","11","77","12","55","10","4"
"Cross Plains","1,514","6","0","0","0","6","24","6","17","1","1"
"Crossville","10,060","66","0","4","10","52","938","150","718","70","3"
"Crump","1,556","6","0","0","0","6","91","32","43","16","0"
"Cumberland City","322","2","0","0","1","1","14","5","9","0","0"
"Cumberland Gap","203","0","0","0","0","0","14","6","8","0","1"
"Dayton","6,507","28","0","2","5","21","394","39","345","10","0"
"Decatur","1,445","7","0","0","0","7","49","15","29","5","0"
"Decaturville","853","0","0","0","0","0","6","1","3","2","0"
"Decherd","2,225","20","0","1","0","19","77","32","40","5","2"
