"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Abernathy","2,824","5","0","2","0","3","23","7","16","0","0"
"Abilene","116,695","576","5","78","146","347","5,504","1,521","3,685","298","24"
"Addison","14,005","95","0","11","24","60","1,186","161","828","197","2"
"Alamo","16,190","60","0","0","14","46","1,345","136","1,117","92","3"
"Alamo Heights","7,427","3","0","0","1","2","272","26","240","6","0"
"Alice","19,765","164","1","10","11","142","1,768","308","1,392","68","14"
"Allen","67,432","53","0","9","14","30","1,528","286","1,188","54","3"
"Alpine","6,179","28","0","2","0","26","92","30","60","2","0"
"Alto","1,159","5","0","0","1","4","55","35","19","1","0"
"Alton","6,898","24","0","0","9","15","382","77","259","46","0"
"Alvarado","3,967","20","0","2","3","15","151","44","102","5","1"
"Alvin","22,506","53","0","2","12","39","848","191","612","45","1"
"Amarillo","183,765","1,537","10","88","347","1,092","11,850","2,549","8,245","1,056","62"
"Andrews","9,619","33","1","14","1","17","249","48","191","10","2"
"Angleton","19,012","78","0","3","8","67","525","99","388","38","2"
"Anson","2,411","1","0","0","0","1","12","7","4","1","0"
"Anthony","4,108","8","0","0","3","5","105","18","83","4","0"
"Aransas Pass","8,962","53","1","9","14","29","708","134","527","47","2"
"Arcola","1,214","2","0","0","0","2","24","15","7","2","6"
"Argyle","2,869","5","0","2","1","2","48","12","35","1","0"
"Arlington","365,380","2,369","24","178","768","1,399","20,403","3,984","14,609","1,810","52"
"Arp","936","1","0","0","0","1","10","4","5","1","0"
"Athens","12,567","53","0","17","11","25","500","129","335","36","0"
"Atlanta","5,708","49","1","9","8","31","241","49","182","10","0"
"Austin","693,019","3,393","26","312","1,182","1,873","41,668","7,285","31,835","2,548","115"
"Azle","10,470","36","0","0","3","33","512","91","392","29","12"
"Balch Springs","19,661","146","2","20","25","99","1,211","206","899","106","5"
"Balcones Heights","3,064","29","0","1","9","19","598","96","472","30","0"
"Ballinger","4,068","3","0","0","0","3","111","19","88","4","0"
"Bangs","1,649","3","0","0","0","3","57","8","48","1","1"
"Bartlett","1,715","9","0","1","0","8","33","8","24","1","0"
"Bastrop","7,121","20","0","3","8","9","394","34","341","19","6"
"Bay City","18,683","103","2","0","38","63","868","213","635","20","1"
"Bayou Vista","1,695","1","0","1","0","0","3","3","0","0","0"
"Baytown","68,428","291","4","32","112","143","3,042","705","2,100","237","15"
"Beaumont","114,141","1,130","11","97","337","685","8,320","2,057","5,735","528","47"
"Bedford","49,213","240","2","14","35","189","1,825","342","1,344","139","11"
"Beeville","13,809","48","1","2","2","43","486","108","363","15","1"
"Bellaire","17,227","38","0","3","20","15","454","83","355","16","0"
"Bellmead","9,795","137","0","10","13","114","946","131","770","45","2"
"Bellville","4,323","27","1","0","1","25","128","29","93","6","1"
"Belton","15,082","32","0","0","7","25","560","139","396","25","3"
