"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"American Fork","23,142","29","1","10","1","17","970","144","755","71","2"
"Big Water","431","2","0","0","0","2","4","4","0","0","0"
"Blanding","3,159","6","0","3","0","3","35","13","20","2","3"
"Bountiful","42,561","69","1","19","11","38","1,045","175","798","72","5"
"Brian Head","119","0","0","0","0","0","14","3","11","0","0"
"Brigham City","17,727","37","0","8","5","24","525","106","390","29","1"
"Cedar City","22,973","28","0","5","4","19","691","120","525","46","4"
"Centerville","15,165","11","0","3","3","5","369","66","277","26","7"
"Clearfield","28,145","37","0","14","6","17","891","120","714","57","5"
"Clinton","17,002","16","0","2","2","12","224","36","178","10","1"
"Draper","34,156","33","1","8","4","20","1,144","182","897","65","1"
"Ephraim","4,926","3","0","3","0","0","188","48","133","7","1"
"Grantsville","7,316","9","0","2","2","5","147","28","106","13","0"
"Harrisville","4,941","13","0","1","9","3","328","35","282","11","0"
"Helper","1,973","7","0","0","0","7","41","15","22","4","0"
"Hurricane","10,077","13","0","6","0","7","249","52","179","18","0"
"Kanab","3,647","6","0","0","0","6","48","10","38","0","0"
"Kaysville","22,482","16","0","6","3","7","481","100","363","18","4"
"La Verkin","3,976","9","0","4","0","5","71","17","49","5","0"
"Layton","63,269","95","2","32","17","44","1,897","289","1,500","108","8"
"Lehi","26,530","28","0","10","1","17","706","243","408","55","2"
"Logan","47,052","38","1","16","5","16","1,044","162","842","40","1"
"Mapleton","6,336","1","0","0","0","1","77","12","62","3","0"
"Midvale","27,930","111","0","28","17","66","1,605","178","1,232","195","1"
"Moab","4,988","24","0","4","3","17","212","37","165","10","0"
"Monticello","1,976","4","0","0","0","4","32","2","28","2","1"
"Murray","44,789","164","0","22","40","102","3,903","472","3,069","362","7"
"Nephi","5,204","19","0","6","0","13","62","10","51","1","0"
"North Ogden","16,878","3","0","1","0","2","248","45","191","12","0"
"North Park","9,973","5","0","2","1","2","196","38","151","7","0"
"North Salt Lake","9,877","8","0","0","2","6","462","68","350","44","1"
"Ogden","81,166","383","5","40","121","217","4,931","797","3,723","411","0"
"Orem","91,607","65","0","16","13","36","3,483","392","2,909","182","1"
"Park City","8,148","15","0","4","4","7","485","63","399","23","0"
"Payson","15,032","16","0","1","3","12","601","166","398","37","1"
"Perry","3,014","5","0","2","1","2","42","8","32","2","1"
"Pleasant View","6,252","4","0","1","0","3","177","26","144","7","0"
"Price","8,473","14","1","3","1","9","379","56","312","11","4"
"Provo","102,983","182","3","55","17","107","3,298","673","2,417","208","11"
"Richfield","7,286","8","0","0","0","8","297","36","254","7","0"
"Riverdale","8,162","12","0","2","4","6","518","41","450","27","1"
"Roosevelt","4,587","6","0","3","0","3","171","9","153","9","1"
"Roy","36,498","53","0","17","7","29","764","113","603","48","4"
"Salem","5,001","2","0","0","0","2","128","16","101","11","0"
"Salina","2,487","7","0","0","0","7","174","17","151","6","0"
"Salt Lake City","184,627","1,283","10","72","417","784","15,859","2,172","11,608","2,079","60"
"Sandy","93,013","161","1","14","27","119","3,240","474","2,530","236","14"
"Santaquin/Genola","7,209","4","0","0","0","4","134","30","97","7","0"
"Smithfield","8,064","3","1","2","0","0","92","9","76","7","0"
"South Jordan","38,031","30","0","6","3","21","889","116","724","49","6"
"South Ogden","15,640","20","2","5","9","4","503","70","410","23","5"
"South Salt Lake","22,235","195","1","44","38","112","2,197","284","1,559","354","5"
"Spanish Fork","23,609","16","0","4","2","10","816","142","643","31","4"
"Springville","22,232","30","0","9","6","15","855","138","689","28","2"
"St. George","61,795","224","1","13","12","198","1,865","385","1,249","231","4"
"Stockton","592","2","0","1","0","1","11","3","8","0","0"
"Sunset","5,169","10","0","4","1","5","131","28","100","3","0"
"Syracuse","16,703","17","0","4","0","13","224","50","164","10","2"
"Tooele","28,844","47","2","9","4","32","905","144","697","64","12"
"Tremonton","6,414","7","0","1","0","6","259","31","224","4","0"
"Vernal","8,207","21","0","5","5","11","304","56","224","24","3"
"Wendover","1,680","5","0","0","0","5","43","11","29","3","0"
"West Bountiful","4,915","7","0","0","0","7","179","10","164","5","0"
"West Valley","116,477","519","10","89","93","327","7,086","1,039","5,233","814","28"
"Willard","1,706","5","0","0","0","5","69","4","65","0","0"
"Woods Cross","8,124","9","0","2","2","5","251","47","180","24","3"
