"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Abingdon","8,053","17","1","4","3","9","376","35","318","23","0"
"Alexandria","130,056","462","3","22","199","238","3,331","294","2,570","467","11"
"Altavista","3,415","7","0","0","3","4","133","15","108","10","0"
"Amherst","2,253","4","0","0","0","4","31","7","23","1","0"
"Appalachia","1,800","0","0","0","0","0","36","0","34","2","0"
"Ashland","7,043","28","0","6","14","8","290","31","242","17","1"
"Bedford","6,319","21","1","1","8","11","165","16","146","3","0"
"Berryville","3,155","10","0","1","2","7","94","20","73","1","1"
"Big Stone Gap","5,917","12","2","1","1","8","178","27","147","4","0"
"Blacksburg","39,778","55","0","8","13","34","562","105","435","22","4"
"Blackstone","3,644","25","0","2","4","19","156","26","120","10","2"
"Bluefield","5,103","5","0","0","1","4","202","26","173","3","1"
"Boykins","612","2","0","0","0","2","10","1","9","0","0"
"Bridgewater","5,377","1","0","0","0","1","42","11","29","2","1"
"Bristol","17,558","89","2","8","16","63","789","108","640","41","4"
"Broadway","2,464","2","0","0","0","2","10","3","7","0","0"
"Brookneal","1,262","5","0","0","1","4","11","4","7","0","1"
"Cedar Bluff","1,092","3","0","0","0","3","15","5","8","2","0"
"Charlottesville","37,133","307","2","35","72","198","1,875","264","1,442","169","11"
"Chase City","2,428","5","1","0","0","4","81","6","75","0","1"
"Chesapeake","217,823","1,117","14","51","298","754","7,870","1,426","5,905","539","26"
"Chilhowie","1,810","5","0","0","0","5","34","8","24","2","0"
"Chincoteague","4,480","8","0","0","2","6","74","14","55","5","1"
"Christiansburg","17,747","28","0","5","5","18","638","76","518","44","3"
"Clarksville","1,314","2","0","0","1","1","17","1","16","0","1"
"Clifton Forge","4,726","8","0","0","0","8","91","28","61","2","1"
"Clinchco","418","0","0","0","0","0","0","0","0","0","0"
"Clintwood","1,533","2","0","0","0","2","39","10","29","0","1"
"Coeburn","2,014","5","1","1","1","2","25","8","13","4","1"
"Colonial Beach","3,349","3","0","0","0","3","64","6","50","8","0"
"Colonial Heights","17,764","37","1","3","11","22","797","69","685","43","16"
"Courtland","1,261","0","0","0","0","0","0","0","0","0","0"
"Covington","6,346","13","0","2","1","10","173","28","140","5","3"
"Crewe","2,348","5","0","1","1","3","49","0","47","2","1"
"Culpeper","11,230","42","0","7","13","22","493","43","436","14","2"
"Danville","47,040","248","8","12","88","140","2,178","322","1,745","111","13"
"Dayton","1,364","1","0","1","0","0","13","0","10","3","0"
"Dublin","2,259","1","0","0","1","0","89","5","82","2","1"
"Dumfries","4,918","14","0","0","7","7","131","26","79","26","0"
"Elkton","2,067","3","0","0","1","2","19","10","6","3","0"
"Emporia","5,756","53","0","7","17","29","441","52","374","15","2"
"Exmore","1,425","3","0","0","2","1","21","11","10","0","0"
"Falls Church","10,937","23","0","2","12","9","319","34","243","42","9"
"Farmville","7,112","3","1","0","1","1","104","22","78","4","0"
"Franklin","8,593","52","0","2","27","23","300","42","239","19","0"
"Fredericksburg","20,753","109","0","14","41","54","974","77","835","62","6"
"Front Royal","14,415","29","0","5","7","17","451","46","357","48","3"
"Galax","6,753","41","0","8","4","29","299","33","252","14","1"
"Gate City","2,110","6","0","0","0","6","60","8","47","5","0"
"Gordonsville","1,600","1","0","0","0","1","51","2","45","4","0"
"Grottoes","2,197","0","0","0","0","0","16","2","13","1","0"
"Grundy","1,037","0","0","0","0","0","18","1","16","1","0"
"Hampton","148,057","595","11","47","276","261","5,388","887","3,941","560","50"
"Harrisonburg","41,659","98","2","14","35","47","1,164","205","883","76","5"
"Herndon","21,979","46","0","6","10","30","394","39","328","27","3"
"Hillsville","2,782","14","0","3","0","11","86","11","67","8","0"
"Honaker","935","1","0","0","0","1","22","7","13","2","3"
"Hopewell","22,692","174","0","11","56","107","1,168","265","765","138","16"
"Hurt","1,266","0","0","0","0","0","2","0","2","0","0"
"Independence","943","1","0","0","0","1","11","2","8","1","0"
"Jonesville","1,004","0","0","0","0","0","6","1","5","0","0"
"Kenbridge","1,331","4","0","1","1","2","15","8","5","2","0"
"La Crosse","615","0","0","0","0","0","7","0","6","1","0"
"Lawrenceville","1,252","7","0","0","1","6","23","6","16","1","0"
"Lebanon","3,274","10","0","1","2","7","147","16","128","3","0"
"Leesburg","35,331","84","0","8","22","54","720","40","631","49","1"
"Lexington","7,010","7","0","0","5","2","102","14","82","6","1"
"Louisa","1,498","1","0","0","0","1","35","6","28","1","0"
"Luray","4,948","6","1","2","0","3","140","13","121","6","1"
"Lynchburg","65,869","257","6","23","73","155","2,390","412","1,805","173","15"
"Manassas","38,158","188","0","21","64","103","1,196","137","937","122","12"
"Marion","6,257","30","2","2","0","26","278","25","240","13","2"
"Martinsville","15,256","55","0","3","21","31","509","74","410","25","8"
"Middleburg","854","0","0","0","0","0","34","5","28","1","0"
"Mount Jackson","1,757","2","0","0","0","2","27","4","22","1","0"
"Narrows","2,176","1","0","0","0","1","28","7","19","2","0"
"New Market","1,824","1","0","0","0","1","12","3","8","1","0"
"Newport News","184,538","1,439","20","103","542","774","8,216","1,470","5,887","859","75"
"Norfolk","241,267","1,841","59","92","886","804","13,061","1,769","10,153","1,139","43"
"Norton","3,807","11","0","2","0","9","233","20","204","9","0"
"Onancock","1,515","2","0","0","1","1","65","6","55","4","0"
"Onley","505","2","0","0","1","1","35","0","33","2","0"
"Orange","4,389","11","1","2","1","7","159","12","143","4","1"
"Pearisburg","2,809","3","0","0","1","2","74","7","63","4","0"
"Petersburg","33,230","364","9","25","149","181","2,625","803","1,534","288","25"
"Pocahontas","439","0","0","0","0","0","2","1","1","0","0"
"Poquoson","11,869","4","0","0","0","4","166","21","136","9","1"
"Portsmouth","100,724","901","22","41","366","472","5,164","1,049","3,708","407","15"
"Pound","1,100","5","0","0","1","4","42","7","32","3","1"
"Pulaski","9,301","35","0","3","9","23","448","103","325","20","3"
"Purcellville","4,544","7","0","4","1","2","142","10","128","4","0"
"Quantico","621","1","0","1","0","0","17","6","11","0","0"
"Radford","14,983","50","0","10","8","32","517","129","357","31","9"
"Richlands","4,179","8","0","1","4","3","210","40","166","4","2"
"Richmond","195,271","2,385","84","80","1,196","1,025","12,898","2,529","8,168","2,201","83"
"Roanoke","93,685","895","16","55","228","596","6,369","1,011","4,912","446","37"
"Rocky Mount","4,621","13","0","2","1","10","145","6","135","4","0"
"Rural Retreat","1,360","0","0","0","0","0","0","0","0","0","0"
"Salem","24,698","31","0","5","13","13","636","78","521","37","1"
"Saltville","2,304","4","0","3","0","1","59","24","34","1","2"
"Shenandoah","1,904","0","0","0","0","0","43","13","29","1","0"
"South Boston","8,269","34","0","1","9","24","391","63","313","15","3"
"South Hill","4,648","33","1","0","6","26","204","27","165","12","1"
"Stanley","1,354","0","0","0","0","0","10","0","10","0","1"
"Stephens City","1,240","2","0","1","0","1","42","6","35","1","0"
"St. Paul","981","0","0","0","0","0","1","1","0","0","0"
"Strasburg","4,248","6","0","0","0","6","123","9","112","2","1"
"Suffolk","77,691","466","9","34","119","304","2,743","434","2,192","117","43"
"Tappahannock","2,175","20","2","1","5","12","217","29","181","7","3"
"Tazewell","4,219","9","0","2","1","6","134","24","103","7","0"
"Timberville","1,728","3","0","0","0","3","11","2","8","1","0"
"Victoria","1,802","1","0","1","0","0","24","3","17","4","0"
"Vinton","7,854","11","0","2","3","6","291","35","237","19","1"
"Virginia Beach","446,448","1,140","20","96","622","402","13,342","2,213","10,376","753","116"
"Warrenton","8,415","25","0","2","6","17","186","21","162","3","1"
"Warsaw","1,387","0","0","0","0","0","12","0","12","0","0"
"Waverly","2,231","8","0","1","0","7","36","8","26","2","0"
"Waynesboro","21,054","97","2","9","16","70","722","116","566","40","10"
"Weber City","1,307","1","0","0","0","1","35","7","28","0","0"
"West Point","3,029","3","0","0","1","2","49","5","41","3","1"
"Williamsburg","11,630","23","1","3","13","6","307","26","259","22","0"
"Winchester","25,137","118","1","6","34","77","1,373","135","1,177","61","8"
"Wise","3,280","2","0","1","0","1","128","11","109","8","1"
"Woodstock","4,213","0","0","0","0","0","21","1","20","0","0"
"Wytheville","8,031","12","0","3","4","5","311","35","263","13","2"
