"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Albright","248","0","0","0","0","0","0","0","0","0","0"
"Alderson","1,097","2","0","0","1","1","3","3","0","0","0"
"Athens","1,092","0","0","0","0","0","0","0","0","0","0"
"Barboursville","3,201","6","0","0","1","5","358","35","313","10","0"
"Beckley","17,008","120","0","2","20","98","1,262","163","1,023","76","4"
"Belington","1,792","2","0","0","0","2","5","1","4","0","0"
"Benwood","1,513","4","0","0","0","4","3","2","1","0","0"
"Bethany","992","0","0","0","0","0","0","0","0","0","0"
"Bethlehem","2,558","0","0","0","0","0","8","1","6","1","0"
"Bluefield","11,231","50","1","0","12","37","321","101","191","29","5"
"Bradshaw","267","0","0","0","0","0","1","0","1","0","0"
"Bramwell","416","0","0","0","0","0","1","1","0","0","0"
"Bridgeport","7,468","2","0","0","0","2","279","25","248","6","0"
"Buckhannon","5,871","6","0","0","0","6","90","20","59","11","0"
"Cameron","1,161","4","0","0","0","4","9","1","7","1","0"
"Ceredo","1,647","5","0","0","0","5","28","7","18","3","0"
"Chapmanville","1,154","14","0","0","2","12","84","9","65","10","0"
"Charleston","51,728","555","7","16","128","404","3,836","818","2,712","306","28"
"Chesapeake","1,582","0","0","0","0","0","7","1","4","2","0"
"Chester","2,458","0","0","0","0","0","37","7","28","2","1"
"Clarksburg","16,536","87","3","9","12","63","804","163","595","46","10"
"Clearview","568","0","0","0","0","0","0","0","0","0","0"
"Dunbar","7,843","26","0","2","2","22","378","97","240","41","6"
"East Bank","905","0","0","0","0","0","5","1","4","0","0"
"Elkins","7,026","26","1","6","3","16","216","48","152","16","2"
"Fairmont","19,008","54","0","12","19","23","480","127","316","37","13"
"Fairview","436","1","0","0","0","1","0","0","0","0","0"
"Fayetteville","2,672","0","0","0","0","0","30","3","26","1","0"
"Follansbee","3,014","3","0","0","2","1","12","3","9","0","0"
"Glasgow","754","0","0","0","0","0","3","1","2","0","0"
"Glen Dale","1,491","0","0","0","0","0","42","9","33","0","1"
"Glenville","1,476","2","0","1","0","1","20","8","11","1","0"
"Grafton","5,393","5","0","0","0","5","40","22","16","2","0"
"Handley","348","0","0","0","0","0","0","0","0","0","0"
"Harpers Ferry/Bolivar","1,379","0","0","0","0","0","4","1","3","0","0"
"Hartford City","520","0","0","0","0","0","0","0","0","0","0"
"Henderson","318","0","0","0","0","0","0","0","0","0","0"
"Hundred","333","0","0","0","0","0","0","0","0","0","0"
"Huntington","49,932","325","11","36","164","114","3,677","1,071","2,296","310","28"
"Hurricane","5,793","8","0","0","1","7","139","8","116","15","1"
"Kenova","3,426","11","0","0","1","10","183","16","151","16","0"
"Kermit","228","0","0","0","0","0","0","0","0","0","0"
"Keyser","5,507","17","0","1","4","12","171","23","139","9","0"
"Kimball","366","0","0","0","0","0","0","0","0","0","0"
"Kingwood","2,916","0","0","0","0","0","0","0","0","0","0"
"Lewisburg","3,592","2","0","2","0","0","76","6","68","2","0"
"Logan","1,560","16","1","0","7","8","317","42","268","7","3"
"Mabscott","1,370","3","0","0","0","3","21","1","17","3","0"
"Man","726","0","0","0","0","0","2","1","1","0","0"
"Mannington","2,090","1","0","0","0","1","8","2","6","0","0"
"Marlinton","1,272","2","0","0","0","2","12","3","8","1","0"
"Marmet","1,640","0","0","0","0","0","5","0","5","0","0"
"Martinsburg","15,648","87","0","1","30","56","982","98","840","44","3"
"Masontown","645","0","0","0","0","0","2","0","2","0","0"
"Matoaka","309","0","0","0","0","0","2","0","2","0","0"
"McMechen","1,858","0","0","0","0","0","11","2","9","0","0"
"Milton","2,279","1","0","0","1","0","36","8","26","2","0"
"Monongah","916","1","0","0","0","1","13","4","9","0","0"
"Montgomery","2,025","0","0","0","0","0","49","7","41","1","0"
"Moorefield","2,413","12","0","2","1","9","40","6","32","2","0"
"Morgantown","28,183","109","0","21","30","58","1,030","251","758","21","6"
"Moundsville","9,703","13","1","2","1","9","269","72","180","17","2"
"Mullens","1,679","1","0","0","0","1","9","1","7","1","0"
"New Cumberland","1,051","0","0","0","0","0","3","1","2","0","0"
"New Haven","1,538","0","0","0","0","0","7","3","4","0","0"
"New Martinsville","5,765","3","0","1","0","2","64","14","45","5","1"
"Northfork","463","0","0","0","0","0","0","0","0","0","0"
"Nutter Fort","1,653","4","0","0","0","4","18","5","11","2","0"
"Oceana","1,493","5","0","0","0","5","81","11","67","3","1"
"Paden City","2,738","1","0","0","0","1","2","0","2","0","0"
"Parkersburg","32,186","140","3","12","30","95","1,645","347","1,191","107","25"
"Pennsboro","1,195","0","0","0","0","0","3","3","0","0","0"
"Philippi","2,783","10","0","1","1","8","92","31","56","5","1"
"Poca","1,025","0","0","0","0","0","7","1","6","0","0"
"Point Pleasant","4,539","8","0","0","2","6","263","74","180","9","3"
"Princeton","6,248","70","1","1","14","54","419","100","300","19","3"
"Rainelle","1,511","0","0","0","0","0","0","0","0","0","0"
"Ranson","3,435","6","0","1","0","5","16","4","9","3","0"
"Ravenswood","4,016","7","1","0","0","6","29","5","21","3","0"
"Ripley","3,282","9","0","0","2","7","86","11","73","2","0"
"Rivesville","914","1","0","0","0","1","0","0","0","0","0"
"Romney","1,962","1","0","0","0","1","12","3","8","1","1"
"Ronceverte","1,547","4","0","0","0","4","17","3","14","0","1"
"Rowlesburg","616","4","0","0","0","4","1","0","1","0","0"
"Smithers","864","4","0","0","2","2","34","5","29","0","0"
"South Charleston","12,880","55","2","7","10","36","606","87","471","48","5"
"Spencer","2,279","4","0","0","0","4","86","14","70","2","0"
"St. Albans","11,182","20","0","0","0","20","407","89","268","50","4"
"St. Marys","1,977","3","0","0","0","3","7","1","5","1","0"
"Stonewood","1,844","3","0","0","0","3","8","2","5","1","0"
"Terra Alta","1,484","2","0","0","0","2","14","3","10","1","0"
"Triadelphia","785","0","0","0","0","0","0","0","0","0","0"
"Vienna","10,776","18","0","0","3","15","339","20","312","7","0"
"Wardensville","247","0","0","0","0","0","0","0","0","0","0"
"Welch","2,417","16","0","0","0","16","153","31","116","6","0"
"West Logan","400","0","0","0","0","0","2","1","1","0","0"
"West Milford","645","0","0","0","0","0","0","0","0","0","0"
"Weston","4,230","2","0","0","0","2","3","0","3","0","0"
"Westover","3,925","20","0","0","3","17","98","27","66","5","0"
"West Union","804","0","0","0","0","0","11","7","3","1","0"
"Wheeling","29,916","138","0","20","32","86","961","227","645","89","5"
"White Sulphur Springs","2,378","5","0","0","0","5","1","1","0","0","0"
"Williamson","3,218","13","0","0","0","13","70","16","46","8","2"
"Williamstown","2,949","1","0","0","0","1","55","7","48","0","0"
"Winfield","1,979","4","0","0","0","4","27","1","26","0","0"
