"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Algoma","3,234","0","0","0","0","0","127","7","115","5","1"
"Altoona","6,501","8","0","2","1","5","138","31","102","5","0"
"Amery","2,876","13","0","0","0","13","68","13","50","5","0"
"Antigo","8,385","45","0","0","0","45","465","62","387","16","0"
"Appleton","70,640","173","0","27","16","130","2,083","403","1,635","45","10"
"Arcadia","2,344","4","0","0","2","2","61","3","51","7","0"
"Ashland","8,423","36","1","4","0","31","444","41","389","14","5"
"Ashwaubenon","17,134","7","0","1","2","4","898","78","796","24","0"
"Bangor","1,395","4","0","0","0","4","16","3","13","0","0"
"Baraboo","10,824","31","0","5","0","26","447","49","378","20","0"
"Barron","3,201","6","0","3","0","3","70","9","51","10","1"
"Bayfield","610","4","0","0","0","4","9","0","9","0","0"
"Bayside","4,444","0","0","0","0","0","46","8","35","3","0"
"Beaver Dam","15,089","5","0","0","1","4","428","37","386","5","2"
"Belleville","2,022","5","0","0","5","0","39","1","36","2","0"
"Beloit","35,980","150","4","13","48","85","1,859","306","1,444","109","10"
"Beloit Town","7,427","13","0","3","1","9","181","52","121","8","4"
"Berlin","5,291","7","0","2","0","5","153","16","133","4","0"
"Black River Falls","3,581","4","0","0","1","3","91","24","66","1","0"
"Blair","1,278","4","0","0","0","4","23","4","19","0","1"
"Bloomer","3,330","0","0","0","0","0","63","7","55","1","0"
"Bloomfield","5,691","3","0","2","0","1","59","21","37","1","0"
"Boscobel","3,370","4","0","0","0","4","14","3","11","0","0"
"Brillion","2,920","2","0","0","0","2","24","8","16","0","0"
"Brodhead","3,101","5","0","0","0","5","25","4","21","0","0"
"Brookfield Township","6,370","6","0","0","5","1","193","20","161","12","0"
"Brown Deer","11,954","22","0","2","11","9","532","34","481","17","0"
"Burlington","11,097","2","0","2","0","0","378","48","313","17","4"
"Burlington Town","6,656","6","0","0","1","5","99","12","81","6","0"
"Butler","1,850","4","0","0","1","3","63","12","46","5","0"
"Caledonia","24,339","12","0","1","8","3","305","69","211","25","2"
"Campbellsport","1,933","0","0","0","0","0","25","7","18","0","1"
"Campbell Township","4,499","9","0","0","2","7","61","17","43","1","0"
"Cedarburg","11,359","5","0","2","0","3","155","12","139","4","1"
"Chenequa","595","0","0","0","0","0","3","2","1","0","0"
"Chetek","2,158","6","0","1","0","5","66","20","42","4","0"
"Chilton","3,626","7","0","1","0","6","56","7","48","1","0"
"Chippewa Falls","12,784","11","0","3","0","8","290","36","242","12","0"
"Cleveland","1,403","1","0","0","0","1","17","1","16","0","0"
"Clinton","3,020","2","0","0","0","2","48","2","45","1","0"
"Colby-Abbotsford","3,608","5","0","2","0","3","60","7","52","1","0"
"Columbus","5,014","7","0","0","0","7","99","7","92","0","0"
"Cornell","1,411","3","0","0","1","2","25","1","23","1","0"
"Cottage Grove","8,811","9","0","1","1","7","119","20","96","3","0"
"Crandon","1,866","2","0","0","0","2","76","10","56","10","0"
"Cross Plains","3,368","1","0","0","1","0","37","4","33","0","0"
"Cuba City","2,130","2","0","0","0","2","56","13","42","1","0"
"Cudahy","18,201","41","1","5","18","17","625","116","473","36","11"
"Cumberland","2,270","6","0","0","3","3","105","21","82","2","0"
"Dane","878","0","0","0","0","0","0","0","0","0","0"
"Darlington","2,370","3","0","0","0","3","35","4","29","2","0"
"Deerfield","2,077","2","0","1","0","1","44","10","34","0","0"
"Deforest","8,223","4","0","1","2","1","192","22","167","3","0"
"Delafield","6,773","1","0","0","0","1","104","20","83","1","1"
"Delavan","8,356","6","1","1","0","4","482","45","417","20","0"
"Delavan Town","4,594","7","2","1","3","1","118","42","71","5","0"
"Denmark","1,994","1","0","0","0","1","26","4","22","0","0"
"De Pere","22,988","6","0","3","0","3","415","63","334","18","1"
"Dodgeville","4,765","2","0","0","0","2","132","6","121","5","0"
"Durand","1,930","2","0","2","0","0","16","2","13","1","0"
"Eagle River","1,588","2","0","0","2","0","111","6","101","4","0"
"East Troy","4,207","2","0","0","1","1","152","10","122","20","0"
"Eau Claire","62,885","116","0","7","24","85","1,929","329","1,522","78","10"
"Edgerton","5,049","0","0","0","0","0","48","15","30","3","0"
"Eleva","647","0","0","0","0","0","15","1","13","1","0"
"Elkhart Lake","1,060","0","0","0","0","0","32","1","31","0","0"
"Elkhorn","8,582","8","0","1","1","6","210","26","180","4","1"
"Ellsworth","3,040","1","0","0","0","1","61","10","49","2","0"
"Elm Grove","6,266","1","0","0","1","0","94","18","76","0","0"
"Elroy","1,544","1","0","0","0","1","56","9","47","0","0"
"Evansville","4,481","18","0","0","0","18","58","15","42","1","0"
"Everest","14,996","16","0","0","4","12","331","64","254","13","1"
"Fennimore","2,369","1","0","0","1","0","50","10","39","1","0"
"Fitchburg","21,929","75","0","5","22","48","561","74","455","32","4"
"Fond du Lac","42,617","75","0","3","11","61","1,195","138","1,015","42","1"
"Fontana","1,965","1","0","0","0","1","34","3","30","1","0"
"Fort Atkinson","11,929","9","0","2","2","5","359","36","311","12","0"
"Fox Lake","1,467","1","0","0","1","0","16","5","9","2","0"
"Fox Point","6,847","2","0","2","0","0","80","6","68","6","0"
"Fox Valley","17,137","7","1","4","1","1","506","46","452","8","1"
"Franklin","32,565","24","0","3","5","16","589","99","464","26","2"
"Frederic","1,257","2","0","0","0","2","15","3","12","0","0"
"Geneva Town","4,161","3","0","0","0","3","118","13","104","1","0"
"Genoa City","2,613","0","0","0","0","0","48","10","36","2","0"
"Germantown","19,198","9","0","5","4","0","390","58","313","19","4"
"Glendale","13,072","23","0","1","16","6","605","30","533","42","0"
"Grafton","11,645","3","0","0","1","2","165","6","154","5","0"
"Grand Chute","20,135","11","0","2","4","5","819","71","707","41","1"
"Grantsburg","1,427","2","0","0","0","2","35","11","23","1","0"
"Green Bay","101,599","495","5","58","72","360","2,931","605","2,099","227","12"
"Greendale","14,064","9","0","0","4","5","514","26","481","7","3"
"Greenfield","36,042","34","0","3","21","10","1,120","159","893","68","3"
"Green Lake","1,125","1","0","1","0","0","29","2","27","0","1"
"Hales Corners","7,617","11","0","2","5","4","188","14","172","2","1"
"Hartford","12,687","25","0","0","0","25","350","34","292","24","0"
"Hartland","8,637","1","0","0","1","0","125","22","101","2","0"
"Hayward","2,285","6","0","2","0","4","161","26","129","6","0"
"Hazel Green","1,204","0","0","0","0","0","9","7","1","1","0"
"Hobart-Lawrence","7,688","0","0","0","0","0","72","15","49","8","0"
"Holmen","7,115","3","0","0","0","3","136","25","108","3","0"
"Horicon","3,690","2","0","1","0","1","48","9","38","1","1"
"Hudson","10,807","15","1","2","3","9","599","59","524","16","0"
"Hurley","1,714","9","1","0","1","7","72","10","53","9","0"
"Iron Ridge","990","0","0","0","0","0","8","1","7","0","0"
"Jackson","5,913","10","0","1","1","8","37","7","27","3","0"
"Janesville","61,908","170","0","34","64","72","2,968","515","2,317","136","10"
"Jefferson","7,546","19","0","0","3","16","228","11","204","13","0"
"Juneau","2,701","0","0","0","0","0","60","6","51","3","0"
"Kaukauna","14,534","8","0","1","0","7","270","16","244","10","0"
"Kenosha","94,261","249","3","35","124","87","2,899","575","2,130","194","9"
"Kewaskum","3,519","1","0","1","0","0","82","6","71","5","1"
"Kewaunee","2,879","1","0","0","0","1","37","4","32","1","0"
"Kiel","3,498","1","0","0","0","1","73","2","69","2","0"
"Kohler","1,987","1","0","0","1","0","54","2","52","0","0"
"La Crosse","50,945","99","1","16","20","62","1,627","213","1,348","66","6"
"Ladysmith","3,853","3","0","0","1","2","141","13","128","0","0"
"Lake Delton","2,990","18","0","3","5","10","477","29","439","9","1"
"Lake Hallie","4,523","3","0","1","0","2","159","24","130","5","0"
"Lake Mills","4,993","3","0","2","0","1","55","9","46","0","0"
"Lancaster","4,000","0","0","0","0","0","25","5","20","0","0"
"Lodi","3,010","2","0","0","0","2","97","3","92","2","0"
"Luxemburg","2,154","1","0","0","0","1","20","1","19","0","0"
"Madison","221,419","839","2","80","329","428","7,737","1,449","5,682","606","65"
"Maple Bluff","1,320","0","0","0","0","0","17","4","13","0","0"
"Marinette","11,430","12","1","2","2","7","404","57","339","8","1"
"Markesan","1,370","0","0","0","0","0","28","1","27","0","0"
