"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Anchorage","277,692","2,592","17","248","465","1,862","11,721","1,733","8,543","1,445","106"
"Bethel","6,322","61","2","6","4","49","99","44","28","27","1"
"Bristol Bay Borough","1,123","12","0","0","0","12","23","8","11","4","0"
"Cordova","2,349","11","0","0","0","11","41","3","26","12","1"
"Craig","1,229","16","0","0","0","16","19","8","7","4","0"
"Dillingham","2,492","49","1","19","1","28","69","6","60","3","0"
"Fairbanks","31,626","268","1","67","47","153","1,617","297","1,163","157","14"
"Haines","2,294","4","0","0","0","4","52","7","43","2","0"
"Homer","5,416","39","0","0","1","38","216","26","173","17","2"
"Houston","1,630","9","0","0","2","7","33","10","17","6","4"
"Juneau","31,285","123","2","32","9","80","1,475","194","1,225","56","4"
"Kenai","7,536","19","0","2","1","16","319","25","274","20","2"
"Ketchikan","7,481","36","0","10","3","23","509","53","425","31","6"
"Kodiak","6,333","25","0","0","2","23","196","24","147","25","1"
"Kotzebue","3,268","13","0","1","0","12","33","9","13","11","0"
"North Pole","1,795","4","0","1","1","2","110","21","78","11","2"
"North Slope Borough","6,991","58","1","12","7","38","154","57","70","27","7"
"Palmer","6,987","61","0","2","6","53","235","16","211","8","2"
"Petersburg","3,039","0","0","0","0","0","123","8","102","13","0"
"Seward","3,045","10","0","0","3","7","130","12","112","6","0"
"Sitka","9,073","16","0","4","1","11","297","24","255","18","1"
"Skagway","836","1","0","0","0","1","12","4","8","0","0"
"Soldotna","4,126","22","0","3","0","19","279","33","232","14","1"
"St. Paul","464","12","1","0","1","10","0","0","0","0","0"
"Unalaska","4,389","11","0","1","1","9","80","10","65","5","0"
"Wrangell","2,137","4","1","0","1","2","97","6","88","3","0"
