"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Altheimer","1,174","2","0","0","0","2","30","19","10","1","0"
"Arkadelphia","10,668","41","0","3","10","28","381","162","208","11","0"
"Arkansas City","555","3","0","0","0","3","12","9","3","0","0"
"Ashdown","4,644","12","0","0","5","7","149","25","121","3","0"
"Atkins","2,923","1","0","0","0","1","83","33","49","1","0"
"Augusta","2,484","16","1","0","0","15","120","14","102","4","3"
"Austin","695","6","0","0","0","6","14","4","10","0","0"
"Bald Knob","3,354","8","0","0","1","7","62","21","36","5","0"
"Barling","4,367","9","0","1","0","8","76","21","51","4","0"
"Bay","1,975","2","0","1","0","1","44","26","17","1","0"
"Bearden","1,059","0","0","0","0","0","35","17","18","0","0"
"Beebe","5,687","30","0","2","3","25","407","114","271","22","1"
"Benton","25,966","82","0","10","9","63","1,615","258","1,264","93","1"
"Bentonville","29,875","72","0","19","9","44","802","118","642","42","3"
"Berryville","4,991","17","0","15","1","1","226","74","139","13","2"
"Blytheville","16,828","141","2","19","36","84","1,466","491","889","86","9"
"Booneville","4,210","9","0","2","1","6","165","54","108","3","1"
"Bradford","837","3","0","0","0","3","15","4","6","5","0"
"Brinkley","3,560","1","0","0","1","0","39","34","5","0","0"
"Bull Shoals","2,084","2","0","0","0","2","15","8","7","0","0"
"Cabot","21,279","151","0","12","6","133","884","245","601","38","5"
"Caddo Valley","611","1","0","0","0","1","18","8","9","1","0"
"Camden","12,343","68","0","5","16","47","824","202","596","26","6"
"Caraway","1,370","0","0","0","0","0","2","2","0","0","0"
"Carlisle","2,447","3","0","0","0","3","59","29","29","1","0"
"Cave Springs","1,440","1","0","0","0","1","7","1","6","0","0"
"Centerton","5,540","21","0","6","1","14","119","44","72","3","0"
"Charleston","3,060","3","0","0","0","3","36","10","24","2","0"
"Cherokee Village","4,686","6","1","2","0","3","70","16","53","1","2"
"Clinton","2,503","2","0","0","0","2","68","13","45","10","0"
"Conway","52,592","187","3","35","61","88","2,420","393","1,843","184","6"
"Corning","3,495","5","0","0","0","5","48","17","29","2","0"
"Crossett","5,868","43","0","5","6","32","271","66","201","4","5"
"Danville","2,470","6","0","1","0","5","14","7","7","0","0"
"Dardanelle","4,386","23","0","2","2","19","70","62","7","1","0"
"Decatur","1,367","6","0","1","0","5","29","17","11","1","0"
"De Queen","6,021","29","3","3","1","22","269","90","156","23","1"
"Des Arc","1,842","8","0","0","1","7","34","16","17","1","0"
"De Witt","3,453","10","0","0","3","7","158","38","113","7","0"
"Diaz","1,214","2","0","0","0","2","21","9","12","0","0"
"Dierks","1,266","0","0","0","0","0","13","8","4","1","0"
"Dover","1,375","3","0","0","0","3","23","10","11","2","0"
"Dumas","4,917","50","0","7","20","23","187","54","124","9","1"
"Earle","2,928","7","0","1","0","6","90","76","14","0","3"
"El Dorado","20,701","182","2","1","34","145","1,277","518","714","45","6"
"England","3,063","16","0","0","1","15","72","28","39","5","1"
"Etowah","349","0","0","0","0","0","5","2","3","0","0"
"Eureka Springs","2,377","18","0","0","1","17","89","20","69","0","0"
"Fairfield Bay","2,531","3","0","0","0","3","44","14","29","1","0"
"Farmington","4,426","7","0","2","0","5","60","19","36","5","0"
"Fayetteville","67,416","357","0","41","35","281","3,229","602","2,455","172","11"
"Flippin","1,412","6","0","0","1","5","44","12","32","0","0"
"Fordyce","4,459","45","3","2","10","30","190","76","103","11","1"
"Forrest City","14,239","132","0","8","42","82","1,071","207","806","58","5"
"Fort Smith","83,422","876","11","83","131","651","5,491","1,089","4,039","363","28"
"Gassville","1,953","1","1","0","0","0","33","11","22","0","0"
"Gentry","2,643","9","0","1","0","8","44","22","22","0","0"
"Gosnell","3,703","49","0","1","4","44","109","50","54","5","4"
"Gravette","2,301","5","0","1","0","4","30","14","15","1","2"
"Greenbrier","3,656","0","0","0","0","0","6","0","6","0","0"
"Green Forest","2,892","7","0","2","0","5","41","10","31","0","0"
"Greenland","1,073","5","0","0","0","5","29","13","14","2","0"
"Greenwood","8,004","19","0","2","1","16","152","48","102","2","1"
"Greers Ferry","977","6","0","0","0","6","12","7","5","0","1"
"Gurdon","2,258","17","0","0","0","17","61","17","42","2","0"
"Hamburg","2,876","11","0","3","3","5","49","15","34","0","1"
"Hampton","1,529","3","0","0","1","2","16","5","11","0","0"
"Harrisburg","2,190","3","0","0","0","3","146","67","68","11","1"
"Harrison","12,910","54","0","9","1","44","567","163","375","29","4"
"Hazen","1,580","7","0","0","0","7","31","4","26","1","1"
"Heber Springs","7,096","14","0","7","1","6","330","83","244","3","1"
"Helena-West Helena","13,718","236","3","5","26","202","1,147","475","621","51","11"
"Hermitage","771","1","0","1","0","0","9","7","2","0","0"
"Highland","1,035","3","0","0","0","3","28","10","18","0","1"
"Hope","10,586","108","2","8","17","81","917","267","612","38","5"
"Horseshoe Bend","2,313","1","0","0","0","1","68","26","39","3","1"
"Hot Springs","38,279","511","4","23","133","351","4,614","1,162","3,215","237","2"
"Hoxie","2,748","2","0","1","0","1","22","8","10","4","0"
"Jacksonville","30,714","222","4","12","46","160","1,815","440","1,252","123","9"
"Jonesboro","60,035","467","3","39","88","337","3,807","1,579","2,080","148","7"
"Kensett","1,727","8","0","0","2","6","37","19","17","1","0"
"Lake City","2,025","0","0","0","0","0","17","12","5","0","0"
"Lakeview","815","2","0","0","0","2","9","2","7","0","0"
"Lake Village","2,638","5","0","2","1","2","89","30","57","2","1"
"Leachville","1,868","6","0","1","0","5","37","17","19","1","2"
"Lepanto","2,103","16","0","1","2","13","89","30","53","6","0"
"Lincoln","1,926","1","0","0","0","1","38","20","12","6","2"
"Little Flock","2,813","2","0","2","0","0","19","14","5","0","0"
