"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Alachua","7,684","81","0","1","11","69","407","89","285","33","5"
"Altamonte Springs","41,749","212","0","14","69","129","1,678","255","1,236","187","8"
"Altha","520","1","0","0","0","1","8","3","5","0","0"
"Apalachicola","2,379","2","0","0","0","2","89","33","55","1","0"
"Apopka","35,314","393","1","18","133","241","1,762","459","1,171","132","12"
"Arcadia","7,272","70","0","3","11","56","247","60","175","12","0"
"Atlantic Beach","13,663","61","1","4","13","43","482","123","335","24","0"
"Atlantis","2,178","10","0","0","1","9","41","6","31","4","0"
"Auburndale","12,590","87","0","1","39","47","765","187","545","33","0"
"Aventura","29,887","60","0","1","46","13","1,737","126","1,542","69","0"
"Avon Park","9,022","115","0","3","9","103","361","151","210","0","0"
"Bal Harbour Village","3,327","7","0","1","2","4","74","6","67","1","1"
"Bartow","16,553","203","1","14","47","141","1,061","299","688","74","0"
"Bay Harbor Island","5,179","13","0","0","4","9","79","17","56","6","0"
"Belleair","4,240","1","0","0","0","1","56","4","50","2","0"
"Belleair Beach","1,655","1","0","0","0","1","16","3","12","1","0"
"Belleair Bluffs","2,262","12","0","0","2","10","53","4","41","8","0"
"Belle Glade","15,683","204","1","18","58","127","794","219","498","77","1"
"Belleview","3,921","29","1","5","7","16","269","61","201","7","3"
"Biscayne Park","3,181","5","0","0","1","4","82","51","24","7","0"
"Blountstown","2,474","6","0","0","0","6","50","11","35","4","0"
"Boca Raton","88,093","238","3","13","72","150","2,951","551","2,232","168","2"
"Bonifay","2,757","2","0","0","0","2","48","30","12","6","0"
"Bowling Green","2,977","16","0","0","1","15","68","18","42","8","0"
"Boynton Beach","68,013","660","9","8","183","460","3,412","693","2,361","358","8"
"Bradenton","54,826","410","4","10","137","259","2,640","580","1,799","261","1"
"Bradenton Beach","1,587","8","1","0","2","5","79","11","63","5","0"
"Brooksville","7,766","74","0","3","12","59","415","75","320","20","3"
"Bushnell","2,155","19","0","0","5","14","120","18","95","7","0"
"Cape Coral","142,371","406","6","52","83","265","4,908","1,462","3,115","331","21"
"Carrabelle","1,312","4","0","0","0","4","46","19","22","5","0"
"Casselberry","24,708","129","0","9","30","90","965","200","685","80","5"
"Cedar Grove","5,314","10","0","3","1","6","107","30","70","7","0"
"Cedar Key","974","1","0","0","0","1","15","5","10","0","1"
"Center Hill","974","15","0","1","0","14","7","6","1","0","0"
"Chattahoochee","3,783","58","0","3","2","53","81","25","52","4","0"
"Chiefland","2,130","36","0","0","4","32","196","47","149","0","0"
"Chipley","3,744","24","0","0","3","21","127","48","73","6","0"
"Clearwater","110,520","862","4","44","200","614","4,837","882","3,527","428","31"
"Clermont","11,813","128","0","14","18","96","659","177","455","27","2"
"Clewiston","7,294","60","3","3","22","32","265","40","205","20","0"
"Cocoa","17,183","398","5","21","76","296","1,159","356","716","87","5"
"Cocoa Beach","12,645","124","0","9","19","96","1,056","115","871","70","3"
"Coconut Creek","49,844","103","0","7","24","72","1,096","175","801","120","2"
"Coleman","690","0","0","0","0","0","6","1","4","1","0"
"Cooper City","30,528","88","0","2","18","68","572","113","426","33","6"
"Coral Gables","43,594","118","0","4","35","79","2,133","366","1,653","114","1"
"Coral Springs","130,976","292","2","2","86","202","2,949","487","2,209","253","7"
"Crescent City","1,848","36","1","1","5","29","110","29","74","7","0"
"Crestview","18,006","98","1","11","16","70","714","70","599","45","1"
"Cross City","1,838","11","0","0","4","7","119","42","76","1","0"
"Crystal River","3,661","38","0","3","6","29","321","68","238","15","1"
"Dade City","6,938","90","0","3","22","65","354","121","203","30","1"
"Dania","29,267","225","2","8","72","143","1,471","275","991","205","1"
"Davenport","2,051","7","0","0","0","7","72","25","41","6","0"
"Davie","85,624","295","2","20","80","193","2,865","450","2,102","313","7"
"Daytona Beach","65,507","896","4","55","302","535","5,132","1,615","2,873","644","19"
"Daytona Beach Shores","4,898","29","0","2","7","20","283","126","130","27","0"
"Deerfield Beach","77,636","561","7","23","141","390","2,591","478","1,835","278","10"
"Deland","24,786","206","2","3","76","125","2,096","645","1,295","156","1"
"Delray Beach","65,849","678","5","22","150","501","3,332","587","2,430","315","5"
"Doral","22,264","126","2","10","29","85","2,654","349","2,033","272","0"
"Dundee","3,116","35","0","2","6","27","199","31","152","16","1"
"Dunedin","37,309","131","3","20","15","93","907","172","673","62","4"
"Dunnellon","2,004","16","0","3","4","9","51","16","35","0","0"
"Eatonville","2,430","57","0","5","9","43","87","15","42","30","1"
"Edgewater","21,488","73","2","4","8","59","631","163","441","27","4"
"Edgewood","2,133","10","0","2","4","4","127","32","89","6","0"
"El Portal","2,468","13","0","1","2","10","98","38","48","12","0"
"Eustis","17,981","64","3","2","10","49","375","91","258","26","1"
"Fellsmere","4,881","13","1","0","4","8","61","23","30","8","0"
"Fernandina Beach","11,454","49","1","2","8","38","510","113","369","28","2"
"Flagler Beach","3,233","12","0","1","1","10","164","30","126","8","0"
"Florida City","9,063","269","0","7","84","178","1,196","259","843","94","5"
"Fort Lauderdale","170,203","1,683","21","83","832","747","9,937","2,239","6,678","1,020","49"
"Fort Meade","5,839","31","0","1","5","25","220","63","146","11","0"
"Fort Myers","59,413","937","15","38","327","557","2,910","561","1,691","658","22"
"Fort Pierce","39,202","800","4","37","231","528","2,926","831","1,797","298","15"
"Fort Walton Beach","20,151","138","1","15","32","90","844","163","608","73","1"
"Frostproof","3,000","5","0","0","0","5","102","28","64","10","0"
"Fruitland Park","3,638","9","0","1","3","5","101","24","66","11","1"
"Gainesville","110,009","1,090","7","96","250","737","5,763","1,420","3,877","466","11"
"Golden Beach","921","3","0","0","0","3","15","2","12","1","0"
"Graceville","2,464","0","0","0","0","0","76","17","55","4","0"
"Greenacres City","33,074","332","2","11","60","259","1,232","295","827","110","1"
"Green Cove Springs","6,188","77","0","1","10","66","256","81","158","17","0"
"Greensboro","625","15","0","0","5","10","39","28","10","1","0"
"Groveland","5,293","12","0","0","2","10","160","48","102","10","0"
"Gulf Breeze","6,564","5","0","0","5","0","179","32","140","7","3"
"Gulfport","12,875","57","0","1","19","37","626","188","379","59","0"
"Gulf Stream","764","1","0","0","0","1","8","1","7","0","0"
"Haines City","16,647","99","0","3","46","50","932","276","618","38","0"
"Hallandale","37,708","392","1","8","98","285","1,579","340","1,073","166","2"
"Havana","1,730","20","0","0","1","19","69","21","41","7","0"
"Hialeah","224,203","1,263","5","26","374","858","8,674","1,673","5,416","1,585","28"
"Hialeah Gardens","20,266","63","1","1","23","38","788","198","465","125","0"
"Highland Beach","4,193","5","0","0","1","4","39","7","27","5","0"
"High Springs","4,227","15","0","1","2","12","194","55","121","18","1"
"Hillsboro Beach","2,368","3","0","0","0","3","18","3","14","1","0"
"Holly Hill","12,843","118","2","7","35","74","866","219","520","127","2"
"Hollywood","148,085","738","8","58","384","288","6,254","1,338","4,113","803","10"
"Holmes Beach","5,186","12","0","0","2","10","164","30","125","9","0"
"Homestead","45,244","1,039","5","7","437","590","3,115","958","1,833","324","8"
"Howey-in-the-Hills","1,214","0","0","0","0","0","5","0","5","0","0"
"Hypoluxo","2,656","5","0","1","0","4","34","14","14","6","0"
"Indialantic","3,128","8","0","0","4","4","92","20","68","4","0"
"Indian Creek Village","39","0","0","0","0","0","0","0","0","0","0"
"Indian Harbour Beach","8,583","14","0","1","6","7","87","19","66","2","2"
"Indian River Shores","3,610","0","0","0","0","0","35","11","23","1","0"
"Indian Rocks Beach","5,354","17","0","3","1","13","138","21","107","10","0"
"Indian Shores","3,917","7","0","2","0","5","74","15","47","12","0"
"Inglis","1,638","8","0","0","0","8","41","4","32","5","0"
"Jacksonville","795,822","6,663","110","218","2,304","4,031","43,103","9,615","29,167","4,321","172"
"Jacksonville Beach","22,137","200","3","9","57","131","1,461","219","1,124","118","12"
"Juno Beach","3,452","4","0","0","1","3","103","20","81","2","0"
"Jupiter","48,717","163","2","11","55","95","1,353","340","937","76","10"
"Jupiter Inlet Colony","397","0","0","0","0","0","10","3","7","0","0"
"Jupiter Island","672","2","2","0","0","0","17","9","8","0","0"
"Kenneth City","4,494","31","0","2","9","20","186","33","137","16","0"
"Key Biscayne","10,329","6","0","1","0","5","285","29","241","15","0"
"Key Colony Beach","809","1","0","0","0","1","16","0","16","0","0"
"Key West","24,339","207","1","30","71","105","1,627","366","1,021","240","0"
"Kissimmee","60,365","476","7","14","134","321","2,349","665","1,458","226","13"
"Lady Lake","13,467","32","0","3","5","24","332","81","217","34","0"
"Lake Alfred","3,996","12","0","1","1","10","130","27","93","10","0"
"Lake City","11,155","187","1","6","27","153","861","131","700","30","6"
"Lake Clarke Shores","3,518","1","0","0","0","1","48","25","15","8","0"
