"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adairsville","3,189","11","0","0","2","9","259","49","189","21"," "
"Albany","77,815","553","8","31","243","271","5,279","1,645","3,235","399"," "
"Alpharetta","41,417","119","0","13","40","66","1,560","162","1,317","81"," "
"Aragon","1,092","0","0","0","0","0","38","9","29","0","1"
"Athens-Clarke County","106,700","373","5","53","125","190","5,634","1,116","4,154","364","21"
"Atlanta","485,804","7,548","110","171","2,959","4,308","32,231","7,401","18,952","5,878","175"
"Attapulgus","496","0","0","0","0","0","10","2","8","0","0"
"Avondale Estates","2,707","2","0","0","2","0","78","14","55","9"," "
"Ball Ground","837","1","0","0","0","1","30","7","21","2"," "
"Blythe","813","0","0","0","0","0","21","4","16","1","0"
"Bowdon","2,026","0","0","0","0","0","97","13","83","1","0"
"Bremen","5,522","15","0","1","1","13","216","38","169","9"," "
"Brooklet","1,214","6","2","0","0","4","56","3","49","4"," "
"Broxton","1,515","12","0","0","0","12","77","14","61","2"," "
"Brunswick","16,468","449","2","8","89","350","1,343","345","930","68"," "
"Buchanan","1,051","1","0","0","0","1","57","13","42","2"," "
"Byron","3,355","14","0","1","3","10","114","19","80","15"," "
"Calhoun","14,006","47","2","2","23","20","743","90","619","34"," "
"Carrollton","22,538","167","4","6","60","97","1,729","278","1,390","61"," "
"Cartersville","18,220","121","1","11","42","67","1,218","281","819","118"," "
"Chamblee","10,077","88","1","1","72","14","719","85","540","94"," "
"Clarkesville","1,553","7","0","0","2","5","134","23","108","3"," "
"Clarkston2","7,305"," ","0","3","20"," ","275","141","86","48"," "
"College Park","20,829","327","3","17","137","170","1,979","392","1,247","340"," "
"Columbus","191,221","1,187","17","19","582","569","13,825","2,773","9,202","1,850"," "
"Commerce","6,044","37","0","3","2","32","355","49","290","16"," "
"Conyers","12,597","84","0","6","41","37","1,040","155","755","130"," "
"Coolidge","576","0","0","0","0","0","8","2","5","1","0"
"Cordele","11,862","71","2","9","24","36","847","188","631","28"," "
"Cornelia","3,892","20","0","0","0","20","199","16","176","7"," "
"Covington","14,301","72","1","12","21","38","812","224","512","76","0"
"Cumming","5,988","15","1","1","2","11","382","36","327","19"," "
"Dalton","33,172","148","1","10","32","105","1,390","209","1,065","116"," "
"Dillard","260","0","0","0","0","0","0","0","0","0","0"
"Doraville","10,189","51","2","1","16","32","450","59","314","77"," "
"Douglasville","28,453","186","2","7","55","122","2,688","387","2,067","234"," "
"Duluth","25,268","91","0","1","15","75","536","103","391","42"," "
"East Point","41,986","413","7","14","203","189","2,803","816","1,533","454"," "
"Elberton","4,865","42","0","2","15","25","473","91","377","5"," "
"Emerson","1,344","17","0","0","1","16","61","9","47","5"," "
"Euharlee","3,983","7","0","0","0","7","59","18","40","1"," "
"Fairburn","8,839","54","1","1","27","25","586","185","327","74"," "
"Fayetteville","14,824","20","0","0","10","10","628","51","538","39"," "
"Forest Park","22,914","218","3","4","125","86","1,385","272","934","179","8"
"Fort Gaines","1,093","2","0","0","0","2","6","2","4","0"," "
"Fort Oglethorpe","9,252","58","0","3","9","46","669","81","558","30"," "
"Fort Valley","8,460","143","0","0","24","119","517","131","373","13"," "
"Gainesville","33,486","217","2","17","77","121","1,959","228","1,584","147"," "
"Greensboro","3,409","25","0","0","4","21","249","39","188","22"," "
"Hahira","1,977","0","0","0","0","0","40","6","30","4","0"
"Hampton","4,895","10","0","0","4","6","116","42","66","8","0"
"Helen","690","9","0","0","0","9","71","6","60","5","0"
"Jackson","4,498","2","0","0","2","0","145","14","127","4","0"
"Jasper","2,928","6","0","0","1","5","154","16","132","6"," "
"Jonesboro","4,048","23","0","1","13","9","248","68","146","34","0"
"LaGrange","28,241","174","1","26","70","77","1,878","369","1,394","115"," "
"Lake Park","578","0","0","0","0","0","17","4","11","2","0"
"Lawrenceville","29,305","120","2","6","59","53","1,182","323","714","145","0"
"Luthersville","871","1","0","0","1","0","40","19","21","0","0"
"Macon","97,345","853","12","53","358","430","9,486","2,355","5,891","1,240","115"
"Madison","3,956","11","0","2","1","8","192","38","149","5","0"
"Manchester","3,838","21","0","0","4","17","254","84","150","20","0"
"Marietta","63,228","400","1","19","235","145","2,622","548","1,626","448","0"
"McDonough","16,022","188","0","4","23","161","859","161","621","77","0"
"McIntyre","739","2","0","0","0","2","19","4","14","1","0"
"McRae","4,421","42","2","1","2","37","141","38","100","3","0"
"Milledgeville","20,020","70","2","8","21","39","871","139","683","49","3"
"Molena","503","0","0","0","0","0","0","0","0","0","0"
"Monroe","12,725","82","1","3","21","57","675","117","497","61","2"
"Montezuma","4,125","20","0","0","2","18","175","39","127","9","1"
"Morrow","5,453","64","1","0","39","24","1,075","60","896","119","0"
"Newington","329","0","0","0","0","0","1","0","1","0","0"
"Newnan","25,446","174","0","8","38","128","1,288","223","985","80","2"
"Newton","895","0","0","0","0","0","2","2","0","0","0"
"Norcross","10,205","159","0","4","80","75","558","140","296","122","1"
"Norman Park","887","0","0","0","0","0","17","6","8","3","0"
"Oglethorpe","1,194","15","0","0","1","14","17","9","6","2","0"
"Omega","1,404","2","0","0","0","2","6","3","2","1","0"
"Oxford","2,285","3","0","0","0","3","26","7","13","6","0"
"Palmetto","4,826","17","0","0","7","10","149","40","98","11","0"
"Peachtree City","35,633","16","1","2","5","8","384","37","285","62","1"
"Pearson","1,962","16","0","2","1","13","142","35","100","7","0"
"Pendergrass","493","0","0","0","0","0","5","0","2","3","0"
"Perry","11,372","50","0","2","4","44","231","52","158","21","0"
"Pine Mountain","1,271","7","0","0","4","3","92","13","73","6","0"
"Powder Springs","14,973","55","0","5","10","40","374","99","248","27","0"
"Reidsville","2,477","12","0","2","3","7","134","18","108","8","0"
"Riverdale","15,972","115","0","2","75","38","1,045","224","636","185","0"
"Rockmart","4,448","18","0","5","4","9","162","32","116","14","0"
"Rome","36,966","309","1","19","53","236","2,354","433","1,798","123","17"
"Rossville","3,526","10","0","1","5","4","276","53","203","20","0"
"Roswell","88,679","178","0","12","93","73","2,218","445","1,586","187","1"
"Sandersville","6,225","42","0","6","9","27","451","87","345","19","1"
"Savannah-Chatham Metropolitan","213,488","1,184","29","65","690","400","9,924","2,039","6,665","1,220","76"
"Senoia","2,806","2","0","0","1","1","60","18","40","2","0"
"Shiloh","446","0","0","0","0","0","2","1","1","0","0"
"Sky Valley","224","0","0","0","0","0","0","0","0","0","0"
"Smyrna","49,173","223","1","7","126","89","1,949","454","1,208","287","2"
"Snellville","19,856","51","0","0","20","31","858","118","672","68","0"
"St. Marys","16,931","59","0","6","12","41","482","129","333","20","3"
"Stone Mountain","7,307","17","0","4","6","7","206","114","35","57","0"
"Suwanee","12,956","29","0","1","16","12","362","57","275","30","0"
"Sylvania","2,674","18","0","2","2","14","104","17","85","2","0"
"Tallulah Falls","164","0","0","0","0","0","3","1","0","2","0"
"Tifton","16,851","174","0","6","50","118","1,395","199","1,149","47","0"
"Trenton","2,224","5","0","0","0","5","35","5","26","4","0"
"Trion","2,114","5","0","0","0","5","65","11","48","6","0"
"Tunnel Hill","1,106","7","0","0","1","6","60","9","43","8","0"
"Valdosta","46,657","298","2","23","97","176","3,054","699","2,228","127","0"
"Vidalia","11,391","104","2","5","28","69","741","215","498","28","0"
"Villa Rica","10,215","77","0","6","16","55","806","120","626","60","0"
"Warm Springs","494","0","0","0","0","0","5","3","2","0","0"
"Warner Robins","59,767","310","3","15","127","165","3,058","661","2,237","160","11"
"Washington","4,283","25","0","2","1","22","116","22","88","6","0"
"Waverly Hall","799","0","0","0","0","0","12","3","8","1","0"
"Waycross","15,597","121","1","8","28","84","1,047","160","835","52","5"
"Waynesboro","6,192","66","1","1","26","38","531","73","420","38","0"
"Willacoochee","1,554","2","0","0","0","2","18","5","13","0","0"
"Winterville","1,093","0","0","0","0","0","1","0","1","0","0"
"Wrens","2,334","12","1","0","3","8","101","23","72","6","0"
"Zebulon","1,232","1","0","0","0","1","23","5","16","2","0"
