"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Albion","2,338","0","0","0","0","0","6","1","5","0","0"
"Alexandria","5,907","4","0","0","3","1","323","43","265","15","1"
"Anderson","57,881","287","6","42","75","164","2,794","607","1,961","226","17"
"Angola","7,942","9","0","3","4","2","553","34","505","14","2"
"Attica","3,407","6","0","1","1","4","107","29","72","6","2"
"Auburn","12,771","28","0","3","16","9","493","83","389","21","0"
"Bargersville","2,477","0","0","0","0","0","0","0","0","0","0"
"Bedford","13,641","33","0","4","3","26","388","72","297","19","0"
"Beech Grove","14,162","48","1","9","30","8","476","89","333","54","3"
"Berne","4,185","5","0","2","1","2","82","18","62","2","0"
"Bloomington","69,474","238","1","26","65","146","2,884","663","2,077","144","28"
"Bluffton","9,523","4","0","0","2","2","191","29","159","3","0"
"Boonville","6,827","2","0","0","1","1","164","1","160","3","0"
"Brazil","8,268","3","0","0","1","2","214","36","161","17","0"
"Bremen","4,599","4","0","2","0","2","80","17","61","2","2"
"Brownsburg","18,411","6","0","1","3","2","388","47","326","15","1"
"Burns Harbor","825","1","0","0","0","1","30","7","20","3","0"
"Carmel","59,635","26","0","6","13","7","1,016","130","833","53","5"
"Cedar Lake","9,967","13","0","1","1","11","404","79","312","13","1"
"Charlestown2","8,105","4","0","1","0","3","321","64","245","12","0"
"Chesterfield","2,816","2","0","0","1","1","83","16","65","2","0"
"Chesterton","12,112","1","0","1","0","0","321","71","229","21","2"
"Clarks Hill","664","1","0","0","0","1","21","10","10","1","1"
"Clarksville","21,200","94","0","9","39","46","2,020","279","1,579","162","4"
"Clinton","4,938","4","0","0","0","4","59","3","44","12","3"
"Columbia City","8,077","12","0","1","3","8","103","17","81","5","1"
"Columbus","39,641","76","2","12","15","47","2,554","277","2,153","124","9"
"Connersville","14,463","14","0","2","3","9","1,127","199","886","42","1"
"Corydon","2,805","0","0","0","0","0","34","6","24","4","0"
"Crawfordsville","15,255","25","0","7","8","10","807","159","628","20","1"
