"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Abilene","6,454","2","0","1","0","1","274","31","233","10","6"
"Andover","9,178","8","0","2","0","6","289","48","224","17","0"
"Anthony","2,318","10","0","3","0","7","25","3","21","1","0"
"Arkansas City","11,663","75","0","9","1","65","480","60","395","25","5"
"Atchison","10,241","41","1","4","5","31","333","60","260","13","2"
"Atwood","1,147","1","0","1","0","0","24","1","22","1","0"
"Auburn","1,139","0","0","0","0","0","0","0","0","0","0"
"Augusta","8,669","21","0","3","2","16","466","49","402","15","1"
"Baldwin City","3,772","4","1","2","0","1","122","16","104","2","0"
"Basehor","3,310","3","0","0","0","3","78","9","63","6","1"
"Baxter Springs","4,276","6","0","1","0","5","120","19","91","10","3"
"Bel Aire","6,603","3","0","0","0","3","40","7","32","1","0"
"Belle Plaine","1,629","1","0","0","0","1","41","9","26","6","0"
"Beloit","3,729","5","0","0","0","5","69","16","48","5","2"
"Bonner Springs","6,985","16","0","2","1","13","363","51","261","51","12"
"Buhler","1,344","1","0","0","0","1","21","3","18","0","0"
"Chanute","9,070","43","0","6","2","35","306","66","228","12","3"
"Chapman","1,252","1","0","1","0","0","16","4","12","0","0"
"Chetopa","1,240","5","0","0","0","5","32","7","21","4","0"
"Claflin","693","1","0","0","0","1","5","2","3","0","0"
"Clay Center","4,409","14","0","4","0","10","144","36","102","6","2"
"Coffeyville","10,432","101","2","14","15","70","699","145","514","40","7"
"Colby","5,066","20","0","6","0","14","192","41","139","12","1"
"Colony","393","0","0","0","0","0","0","0","0","0","0"
"Columbus","3,282","8","0","1","0","7","94","29","62","3","4"
"Concordia","5,409","21","0","4","0","17","171","38","123","10","1"
"Council Grove","2,291","11","0","0","0","11","55","11","42","2","0"
"Derby","20,688","35","0","7","5","23","670","79","562","29","6"
"Dodge City","26,288","136","1","23","23","89","1,356","254","1,056","46","2"
"Edwardsville","4,535","14","0","1","4","9","146","30","92","24","0"
"El Dorado","12,748","34","0","4","2","28","648","123","491","34","3"
"Elkhart","2,050","6","0","0","0","6","56","16","38","2","2"
"Ellinwood","2,134","1","0","0","0","1","45","8","35","2","0"
"Ellis","1,825","4","0","1","0","3","23","0","21","2","0"
"Ellsworth","2,907","3","0","2","0","1","49","8","40","1","0"
"Elwood","1,161","12","0","0","0","12","89","40","44","5","1"
