"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Addis","2,303","11","0","0","0","11","2","0","2","0","0"
"Alexandria","43,311","1,054","4","29","185","836","4,494","1,299","2,937","258","11"
"Baker","12,559","57","1","6","10","40","750","146","545","59","5"
"Basile","2,258","4","0","0","0","4","14","3","11","0","0"
"Baton Rouge","210,486","2,954","57","93","1,049","1,755","14,684","4,021","9,209","1,454","223"
"Blanchard","2,208","1","0","0","0","1","36","13","23","0"," "
"Bogalusa","12,288","168","4","19","37","108","896","271","548","77","5"
"Bossier City","57,350","1,201","1","40","91","1,069","2,866","582","2,010","274","25"
"Broussard","6,402","42","0","2","9","31","504","72","412","20","0"
"Clinton","1,822","42","0","2","2","38","94","21","71","2","0"
"Coushatta","2,090","29","0","2","2","25","76","22","50","4","0"
"Covington","8,860","67","1","4","8","54","276","62","193","21","2"
"Crowley","13,138","110","3","8","14","85","703","226","453","24","0"
"Denham Springs","9,674","159","1","6","53","99","1,149","212","853","84","0"
"De Ridder","9,456","28","0","5","6","17","158","43","115","0","0"
"Eunice","10,926","26","3","0","9","14","716","177","500","39","1"
"Farmerville","3,471","51","0","2","11","38","178","48","129","1","0"
"Folsom","617","2","0","0","0","2","11","6","5","0","0"
"Franklin","7,414","67","1","1","5","60","545","73","442","30"," "
"French Settlement","998","2","0","0","0","2","14","1","12","1","0"
"Golden Meadow","2,033","4","0","0","0","4","14","1","11","2","0"
"Gonzales","8,056","32","0","1","5","26","218","18","178","22","0"
"Gramercy","6,422","27","0","0","2","25","109","8","96","5","0"
"Gretna","16,266","169","1","7","49","112","811","182","517","112"," "
"Hammond","17,152","453","2","19","113","319","2,619","1,024","1,461","134"," "
"Harahan","9,209","24","0","0","3","21","131","28","95","8","3"
"Haughton","2,645","30","0","0","2","28","16","1","15","0"," "
"Homer","3,367","35","0","0","5","30","170","68","101","1","0"
"Houma","30,431","337","4","21","69","243","1,676","283","1,311","82","13"
"Iowa","2,456","18","0","1","2","15","123","19","97","7","0"
"Jackson","3,577","24","0","1","1","22","65","8","57","0","0"
"Jeanerette","5,635","15","0","1","0","14","118","22","86","10","0"
"Jennings","10,097","79","0","7","7","65","464","97","323","44"," "
"Kenner","66,266","370","9","17","114","230","2,698","555","1,701","442","17"
"Kentwood","2,058","16","0","0","1","15","170","25","140","5","1"
"Lafayette","106,189","1,142","10","73","231","828","6,393","1,296","4,566","531","17"
"Lake Arthur","2,760","11","1","2","0","8","117","21","87","9","0"
"Lake Charles","66,876","708","4","51","158","495","3,557","1,843","1,351","363","2"
"Lake Providence","4,345","48","0","2","3","43","32","19","12","1","0"
"Leesville","5,839","54","0","2","3","49","350","46","294","10","0"
"Mamou","3,254","49","1","4","0","44","144","29","110","5","0"
"Mandeville","11,026","43","1","2","5","35","481","57","407","17","1"
"Minden","12,589","35","1","0","7","27","223","72","139","12","0"
"Monroe","49,207","425","12","27","71","315","4,592","1,170","3,270","152"," "
"Morgan City","11,308","63","1","4","9","49","490","145","326","19","0"
"New Orleans","431,153","2,255","162","87","761","1,245","12,178","4,087","5,228","2,863"," "
"Olla","1,288","3","0","0","0","3","58","11","45","2","0"
"Pearl River","1,937","20","0","0","2","18","137","13","116","8","0"
"Pineville","13,349","52","0","10","5","37","680","128","513","39","0"
"Plaquemine","6,367","80","2","1","8","69","346","44","298","4","2"
"Pollock","359","0","0","0","0","0","7","3","4","0","0"
"Ponchatoula","5,482","74","1","5","6","62","581","188","363","30","0"
"Ruston","19,589","125","0","2","29","94","723","159","544","20","0"
"Shreveport","188,505","2,249","28","140","586","1,495","12,693","2,922","8,508","1,263","166"
"Slidell","25,441","192","2","8","39","143","2,019","338","1,506","175","0"
"Sterlington","1,181","3","0","0","1","2","7","2","5","0","0"
"St. Gabriel","5,186","39","1","2","0","36","131","64","63","4","13"
"Thibodaux","13,657","131","1","11","26","93","616","107","502","7","2"
"Tickfaw","609","5","0","1","1","3","41","6","34","1","0"
"Vidalia","3,990","25","0","0","1","24","172","47","125","0","0"
"Westlake","4,327","22","0","0","0","22","183","25","141","17","3"
"West Monroe","12,358","87","1","11","16","59","883","176","673","34","2"
"Westwego","9,942","41","1","1","12","27","263","54","176","33","2"
"Zachary","11,619","31","0","2","2","27","257","45","181","31","0"
