"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Baker","1,644","4","0","0","0","4","18","4","12","2","0"
"Belgrade","7,100","12","0","5","0","7","226","21","186","19","7"
"Billings","99,667","209","2","28","44","135","4,304","465","3,518","321","33"
"Boulder","1,450","5","0","4","0","1","15","2","13","0","1"
"Bozeman","33,856","85","0","13","13","59","1,476","132","1,228","116","22"
"Colstrip","2,353","5","0","0","0","5","54","8","45","1","2"
"Columbia Falls","4,483","16","0","0","1","15","191","6","178","7","0"
"Columbus","1,915","8","0","2","0","6","80","11","68","1","1"
"Cut Bank","3,197","34","0","2","0","32","133","15","117","1","0"
"Dillon","4,026","8","1","0","0","7","87","5","75","7","0"
"East Helena","1,866","5","0","1","0","4","35","2","29","4","0"
"Eureka","1,038","2","0","0","0","2","77","5","71","1","1"
"Fort Benton","1,489","6","0","1","0","5","37","8","28","1","1"
"Glasgow","3,047","5","0","4","0","1","57","7","45","5","0"
"Glendive","4,715","7","0","1","0","6","150","10","137","3","0"
"Great Falls","56,878","186","2","11","29","144","2,772","224","2,424","124","49"
"Hamilton","4,486","24","0","3","0","21","243","35","201","7","2"
"Havre","9,480","51","1","5","1","44","458","37","400","21","1"
"Helena","27,645","83","2","12","9","60","1,071","127","892","52","14"
"Kalispell","18,657","61","1","9","1","50","1,052","69","912","71","7"
"Laurel","6,403","10","0","1","0","9","215","14","192","9","1"
"Lewistown","6,157","7","0","1","0","6","93","13","74","6","0"
"Libby","2,673","14","0","1","0","13","125","6","114","5","0"
"Livingston","7,214","19","0","2","1","16","189","23","150","16","2"
"Missoula","63,526","186","0","38","30","118","3,125","331","2,644","150","19"
"Plains","1,259","5","0","0","0","5","30","5","23","2","0"
"Polson","4,874","28","0","1","2","25","254","19","217","18","0"
"Red Lodge","2,424","12","0","3","0","9","66","15","43","8","0"
"Ronan City","1,987","15","0","1","1","13","63","12","44","7","0"
"Stevensville","1,873","24","0","2","0","22","48","1","44","3","1"
"Thompson Falls","1,405","7","0","0","0","7","46","5","38","3","0"
"Whitefish","7,135","16","0","0","1","15","243","44","188","11","0"
