"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Alamogordo","36,738","118","1","19","9","89","915","145","742","28","4"
"Albuquerque","500,955","4,550","34","286","1,171","3,059","31,757","6,352","19,890","5,515","61"
"Artesia","10,623","41","0","4","8","29","589","298","267","24","0"
"Aztec","7,180","63","1","6","4","52","257","50","184","23","3"
"Bayard","2,430","7","0","0","0","7","48","11","37","0","0"
"Belen","7,218","64","1","2","10","51","491","167","242","82","5"
"Bloomfield","7,543","131","0","7","2","122","211","48","149","14","0"
"Bosque Farms","4,023","2","0","0","0","2","50","7","27","16","1"
"Clovis","33,810","221","3","22","46","150","2,075","540","1,434","101","30"
"Corrales","7,742","9","0","1","0","8","67","33","33","1","0"
"Deming","15,078","23","0","1","6","16","681","231","362","88","0"
"Dexter","1,247","6","0","0","0","6","22","9","12","1","0"
"Eunice","2,637","11","0","0","1","10","77","41","35","1","0"
"Farmington","43,748","300","1","56","31","212","1,406","378","897","131","10"
"Grants","9,166","59","0","0","10","49","367","201","134","32","1"
"Hobbs","29,400","453","6","21","47","379","2,012","388","1,552","72","9"
"Jal","2,048","0","0","0","0","0","15","4","11","0","0"
"Las Cruces","83,795","515","3","94","97","321","3,906","760","2,864","282","14"
"Las Vegas","14,211","164","0","20","14","130","671","210","401","60","10"
"Los Alamos","19,078","45","0","9","2","34","307","62","239","6","1"
"Los Lunas","11,492","58","0","7","14","37","495","121","285","89","1"
"Lovington","9,734","48","0","2","4","42","292","103","176","13","0"
"Milan","2,558","11","1","0","0","10","111","27","74","10","0"
"Moriarty","1,833","10","0","0","2","8","84","36","41","7","0"
"Raton","7,038","29","1","0","1","27","121","48","69","4","1"
"Red River","502","9","0","4","2","3","17","1","15","1","0"
"Rio Rancho","67,504","265","0","16","15","234","1,589","484","925","180","10"
"Roswell","45,813","344","3","21","45","275","2,265","508","1,651","106","17"
"Ruidoso","8,932","41","0","6","5","30","330","145","162","23","0"
"Ruidoso Downs","1,999","5","0","0","0","5","121","42","71","8","0"
"Santa Fe","71,591","419","9","42","104","264","4,249","2,209","1,824","216","17"
"Silver City","10,135","91","2","7","7","75","717","198","467","52","3"
"Taos","5,196","43","1","7","2","33","422","90","314","18","0"
"Truth or Consequences","7,167","32","0","1","4","27","314","84","214","16","0"
