"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Adams Village","1,667","0","0","0","0","0","7","0","7","0","0"
"Addison Town and Village","2,595","7","0","0","0","7","27","7","19","1","1"
"Akron Village","3,075","3","0","0","0","3","30","5","21","4","0"
"Albany","93,773","1,217","5","50","388","774","4,820","1,058","3,521","241"," "
"Albion Village","5,781","30","0","2","7","21","373","50","315","8","1"
"Alexandria Bay Village","1,103","5","0","0","0","5","16","4","12","0","0"
"Alfred Village","5,022","8","0","1","0","7","49","9","38","2","0"
"Allegany Village","1,836","2","0","0","0","2","17","0","17","0","0"
"Altamont Village","1,725","2","0","0","2","0","1","0","1","0","0"
"Amherst Town","112,284","122","2","11","31","78","1,882","277","1,571","34","6"
"Amity Town and Belmont Village","2,197","0","0","0","0","0","1","1","0","0","0"
"Amityville Village","9,502","10","0","0","5","5","231","60","159","12","1"
"Amsterdam","17,797","89","0","0","2","87","163","36","126","1","2"
"Angelica Village","879","0","0","0","0","0","1","1","0","0","0"
"Angola Village","2,200","1","0","0","0","1","59","13","45","1","0"
"Arcade Village","1,956","11","0","3","0","8","64","5","57","2","7"
"Ardsley Village","4,828","1","0","0","0","1","41","11","30","0","0"
"Asharoken Village","652","0","0","0","0","0","2","1","1","0","0"
"Attica Village","2,503","3","0","1","0","2","29","3","26","0","0"
"Baldwinsville Village","7,168","8","0","0","1","7","226","26","191","9","0"
"Ballston Spa Village","5,589","2","0","1","0","1","127","18","107","2","1"
"Batavia","15,703","37","1","5","8","23","655","88","560","7","0"
"Bath Village","5,604","14","0","7","1","6","170","24","145","1"," "
"Beacon","14,876","83","0","2","37","44","282","72","180","30","6"
"Bedford Town","18,546","7","0","0","2","5","149","17","125","7","1"
"Bethlehem Town","32,991","24","0","1","5","18","568","87","464","17","2"
"Binghamton","45,614","206","2","9","63","132","2,353","288","2,016","49","5"
"Blooming Grove Town","12,241","11","0","0","0","11","157","38","110","9","0"
"Bolivar Village","1,142","2","0","0","0","2","11","1","10","0","0"
"Bolton Town","2,169","1","0","0","0","1","8","2","6","0","0"
"Boonville Village","2,101","3","0","0","0","3","8","1","6","1","0"
"Brant Town","1,876","0","0","0","0","0","9","0","9","0","0"
"Briarcliff Manor Village","7,959","2","0","0","0","2","51","8","37","6","0"
"Brighton Town","34,713","33","0","3","11","19","1,052","140","862","50","1"
"Brockport Village","8,156","14","0","2","5","7","162","30","130","2","2"
"Bronxville Village","6,472","1","0","0","1","0","38","3","24","11","0"
"Buffalo","280,494","3,957","74","174","1,708","2,001","15,436","4,447","8,864","2,125","159"
"Cairo Town","6,655","0","0","0","0","0","32","3","29","0","0"
"Caledonia Village","2,229","2","0","0","0","2","74","14","60","0","0"
"Cambridge Village","1,880","2","0","0","0","2","43","12","30","1","0"
"Camden Village","2,294","5","0","0","0","5","39","9","28","2","0"
"Camillus Town and Village","23,330","13","0","0","3","10","286","52","218","16","0"
"Canisteo Village","2,287","11","0","2","0","9","50","16","34","0","0"
"Cape Vincent Village","782","0","0","0","0","0","4","2","1","1","0"
"Carmel Town","34,804","28","0","1","10","17","314","63","236","15","3"
"Carroll Town","3,547","2","0","0","0","2","11","3","8","0","0"
"Carthage Village","3,800","6","0","0","0","6","83","11","70","2","1"
"Catskill Village","4,379","12","3","2","1","6","194","23","162","9","1"
"Cattaraugus Village","1,032","2","0","0","0","2","4","4","0","0","0"
"Cayuga Heights Village","3,709","0","0","0","0","0","45","0","45","0","0"
"Cazenovia Village","2,705","0","0","0","0","0","10","0","9","1","0"
"Central Square Village","1,662","1","0","0","0","1","19","2","17","0","0"
"Chatham Village","1,766","16","0","1","2","13","67","18","47","2","0"
"Cheektowaga Town","80,995","221","2","14","75","130","2,419","415","1,867","137","5"
"Chester Town","9,710","1","0","0","0","1","36","12","22","2","3"
"Chester Village","3,614","10","0","1","5","4","168","6","160","2","2"
"Chittenango Village","4,914","6","0","0","0","6","102","20","78","4","1"
"Cicero Town","28,045","25","0","0","11","14","449","70","367","12","0"
"Clarkstown Town","78,642","66","1","5","15","45","1,602","103","1,436","63","1"
"Clayton Village","1,871","2","0","0","0","2","13","8","4","1","0"
"Clay Town","54,356","16","0","1","7","8","502","96","392","14"," "
"Clifton Springs Village","2,201","3","0","0","0","3","33","5","28","0","0"
"Clyde Village","2,187","5","0","0","0","5","94","22","71","1","0"
"Cobleskill Village","4,719","10","1","0","1","8","163","16","142","5","0"
"Coeymans Town","8,057","20","0","0","2","18","63","11","50","2","0"
"Cohoes","15,125","50","0","2","5","43","187","55","115","17","1"
"Colchester Town","2,061","1","0","0","0","1","3","3","0","0","0"
"Cold Spring Village","2,014","3","0","0","0","3","25","10","15","0","0"
"Colonie Town","77,357","94","0","2","31","61","2,890","310","2,472","108","20"
"Cooperstown Village","1,943","3","0","0","1","2","38","3","35","0","0"
"Copake Town","3,357","2","0","0","0","2","26","9","15","2","0"
"Corning","10,579","51","1","5","12","33","460","61","391","8","7"
"Cornwall-on-Hudson Village","3,118","4","0","0","1","3","34","4","29","1","0"
"Cornwall Town","9,742","12","0","1","2","9","16","6","10","0","0"
"Cortland","18,572","77","0","18","8","51","393","86","290","17","5"
"Coxsackie Village","2,861","6","0","0","0","6","21","3","15","3","0"
"Crawford Town","9,276","10","0","1","3","6","180","33","138","9","0"
"Croton-on-Hudson Village","7,824","2","0","0","2","0","91","15","69","7","0"
"Cuba Town","3,382","16","0","0","0","16","38","11","25","2","0"
"Dansville Village","4,652","6","0","0","0","6","264","12","249","3","0"
"Deerpark Town","8,347","8","0","1","0","7","168","38","120","10","0"
"Delhi Village","2,727","6","0","0","0","6","2","0","2","0","0"
"Depew Village","15,840","24","0","3","6","15","321","53","260","8","1"
"Deposit Village","1,640","12","0","2","0","10","13","7","5","1","1"
"Dewitt Town","22,015","24","0","0","16","8","552","95","436","21","1"
"Dexter Village","1,141","0","0","0","0","0","0","0","0","0","0"
"Dobbs Ferry Village","11,100","11","0","0","5","6","136","22","109","5","1"
"Dolgeville Village","2,101","4","0","0","0","4","46","6","38","2","0"
"Dryden Village","1,838","4","0","1","1","2","93","8","83","2","0"
"Dunkirk","12,526","62","0","6","17","39","323","59","260","4","2"
"Durham Town","2,748","0","0","0","0","0","0","0","0","0","0"
"East Aurora-Aurora Town","13,824","3","0","0","1","2","188","20","163","5","1"
"Eastchester Town","18,675","11","0","0","7","4","199","20","170","9","0"
"East Fishkill Town","28,835","101","1","1","1","98","380","38","324","18"," "
"East Greenbush Town","16,374","25","0","3","3","19","438","56","370","12","0"
"East Hampton Town","18,989","30","0","4","3","23","382","97","271","14","1"
"East Hampton Village","1,361","1","0","0","0","1","148","16","131","1","0"
"East Rochester Village","6,383","21","0","0","5","16","133","28","102","3","4"
"East Syracuse Village","3,084","14","0","1","7","6","146","12","129","5","2"
"Eden Town","7,938","3","0","0","0","3","54","9","41","4","0"
"Ellenville Village","3,965","11","2","2","5","2","158","24","130","4","1"
"Ellicott Town","5,403","5","0","1","1","3","270","48","218","4","0"
"Ellicottville","1,846","2","0","0","0","2","106","7","96","3","0"
"Elmira","30,008","113","1","2","45","65","1,457","281","1,146","30","3"
"Elmira Heights Village","4,022","5","0","1","0","4","123","12","107","4","0"
"Elmira Town","6,023","1","0","0","0","1","11","7","3","1","0"
"Elmsford Village","4,740","10","0","0","2","8","76","12","55","9","0"
"Endicott Village","12,673","47","2","6","14","25","489","83","400","6","0"
"Evans Town","15,080","15","0","2","1","12","312","73","226","13","4"
"Fairport Village","5,591","0","0","0","0","0","66","13","47","6","4"
"Fallsburg Town","11,772","24","0","2","3","19","213","87","116","10","0"
"Fishkill Town","18,691","11","1","2","3","5","250","39","194","17","0"
"Fishkill Village","1,754","9","0","0","0","9","64","12","52","0","0"
"Floral Park Village","15,779","6","0","0","6","0","132","19","106","7","3"
"Florida Village","2,788","0","0","0","0","0","22","6","16","0","0"
"Fort Edward Village","3,128","10","0","1","0","9","72","13","58","1","4"
"Fort Plain Village","2,217","2","0","0","0","2","14","3","11","0","0"
"Frankfort Town","4,967","8","0","0","0","8","25","8","14","3","0"
"Frankfort Village","2,459","0","0","0","0","0","33","5","27","1","0"
"Franklinville Village","1,783","9","0","0","0","9","10","3","7","0","0"
"Fredonia Village","10,764","14","0","0","0","14","228","17","207","4","0"
"Freeport Village","43,636","234","1","2","123","108","879","114","642","123","5"
