"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Ada","5,854","2","0","1","0","1","72","15","55","2","0"
"Alliance","22,829","89","0","23","24","42","1,054","244","768","42","7"
"Amberley Village","3,280","1","0","1","0","0","39","9","28","2","0"
"Amherst","11,886","8","0","1","6","1","195","31","163","1","2"
"Arcanum","2,034","0","0","0","0","0","30","10","17","3","0"
"Archbold","4,510","1","0","0","1","0","77","6","69","2","0"
"Ashland","21,576","21","1","11","6","3","612","82","519","11","1"
"Ashville","3,256","2","0","1","0","1","134","23","104","7","1"
"Athens","20,943","26","0","7","7","12","569","102","457","10","2"
"Aurora","14,370","10","0","4","2","4","154","26","124","4","3"
"Austintown","36,659","53","1","0","38","14","1,766","272","1,372","122","0"
"Bainbridge Township","11,265","7","0","0","3","4","347","45","299","3","0"
"Barberton","27,225","44","0","12","15","17","1,240","236","919","85","6"
"Beavercreek","39,703","43","0","6","15","22","1,205","121","1,020","64","8"
"Beaver Township","6,210","3","0","2","1","0","178","38","132","8","1"
"Bedford Heights","10,868","29","0","1","10","18","292","53","176","63","2"
"Bellaire","4,744","10","0","2","4","4","45","5","35","5","0"
"Bellbrook","6,968","3","0","1","1","1","104","11","92","1","1"
"Bellefontaine","13,025","60","0","5","6","49","696","94","575","27","0"
"Bellville","1,756","2","0","0","2","0","99","2","96","1","0"
"Belpre","6,568","7","0","3","0","4","136","32","96","8","0"
"Berea","18,264","14","0","1","5","8","400","48","332","20","3"
"Bethel","2,593","5","0","0","2","3","247","23","217","7","1"
"Bethesda","1,381","1","0","0","0","1","8","4","4","0","0"
"Bexley","12,337","33","0","2","23","8","421","128","277","16","0"
"Blendon Township","7,621","8","0","2","5","1","249","45","187","17","1"
"Blue Ash","11,761","8","0","1","6","1","338","41","280","17","0"
"Bluffton","4,018","2","0","0","0","2","88","23","60","5","0"
"Boardman","40,954","85","0","9","51","25","1,900","240","1,541","119","4"
"Bowling Green","29,829","32","0","1","10","21","1,056","99","909","48","0"
"Bradford","1,893","0","0","0","0","0","8","2","6","0","0"
"Brecksville","13,266","4","0","0","0","4","67","15","50","2","0"
"Brimfield Township","7,930","11","0","3","3","5","220","49","161","10","2"
"Broadview Heights","17,526","24","1","1","5","17","107","18","71","18","0"
"Brooklyn","10,914","52","0","5","25","22","627","73","480","74","0"
"Brooklyn Heights","1,512","0","0","0","0","0","37","7","26","4","0"
"Brook Park","20,083","24","0","7","7","10","389","44","309","36","0"
"Brookville","5,323","7","0","3","2","2","88","20","65","3","0"
"Bryan","8,370","18","0","8","1","9","313","55","239","19","2"
"Buckeye Lake","3,064","7","0","4","2","1","89","34","36","19","0"
"Byesville","2,600","0","0","0","0","0","5","0","5","0","0"
"Cambridge","11,576","34","0","9","8","17","1,088","163","872","53"," "
"Canal Fulton","5,060","9","0","2","3","4","142","28","110","4","0"
"Canfield","7,162","0","0","0","0","0","99","8","91","0","1"
"Canton","79,575","813","9","67","459","278","6,222","1,812","3,871","539","28"
"Celina","10,361","19","0","5","1","13","403","71","308","24","3"
"Centerville","23,190","13","0","4","3","6","647","72","554","21","6"
"Champion Township","9,546","18","2","2","2","12","194","36","133","25","0"
"Chardon","5,286","9","0","0","2","7","87","7","77","3","2"
"Cheviot","8,245","17","0","4","7","6","269","49","207","13","2"
"Chillicothe","22,108","58","0","12","35","11","2,390","340","1,963","87","13"
"Cincinnati","309,104","3,766","89","291","2,339","1,047","22,107","6,009","13,523","2,575","270"
"Circleville","13,576","21","0","4","8","9","976","228","703","45","3"
"Cleveland","452,759","7,004","75","445","4,288","2,196","28,220","9,650","12,036","6,534","502"
"Cleveland Heights","48,088","19","1","0","17","1","605","80","438","87","0"
"Cleves","2,577","4","0","0","1","3","101","17","78","6","0"
"Clinton Township","4,025","28","0","1","25","2","537","80","412","45","3"
"Clyde","6,150","6","0","0","3","3","209","41","161","7","2"
"Coldwater","4,443","2","0","2","0","0","104","24","70","10","0"
