"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Albany","45,532","40","1","1","25","13","2,705","297","2,192","216","20"
"Amity","1,487","0","0","0","0","0","49","5","41","3","0"
"Astoria","9,944","27","0","2","4","21","464","93","335","36","1"
"Athena","1,238","0","0","0","0","0","21","4","14","3","0"
"Aumsville","3,255","3","0","1","1","1","37","5","29","3","0"
"Aurora","893","0","0","0","0","0","14","6","7","1","0"
"Baker City","9,862","24","1","1","1","21","201","26","159","16","4"
"Bandon","2,956","1","0","0","1","0","67","16","50","1","1"
"Banks","1,588","0","0","0","0","0","17","4","13","0","0"
"Beaverton","87,181","208","1","18","30","159","2,205","311","1,634","260","28"
"Bend","68,253","149","1","22","32","94","2,912","489","2,193","230","27"
"Boardman","3,101","14","0","3","1","10","95","21","58","16","0"
"Brookings","6,400","6","1","0","3","2","211","22","180","9","1"
"Burns","2,800","3","0","0","0","3","117","34","78","5","0"
"Canby","15,235","23","0","6","4","13","388","60","304","24","1"
"Cannon Beach","1,728","0","0","0","0","0","57","11","46","0","0"
"Carlton","1,526","0","0","0","0","0","15","6","9","0","0"
"Central Point","15,929","3","0","3","0","0","315","46","256","13","1"
"Clatskanie","1,658","9","0","2","1","6","51","7","41","3","0"
"Coburg","1,015","1","0","0","0","1","31","5","23","3","0"
"Columbia City","1,826","0","0","0","0","0","14","3","11","0","0"
"Coos Bay","16,082","28","0","12","7","9","570","121","399","50","6"
"Coquille","4,324","0","0","0","0","0","61","15","46","0","3"
"Cornelius","10,997","11","0","1","5","5","274","69","177","28","4"
"Cottage Grove","8,867","12","0","1","6","5","496","90","370","36","8"
"Creswell","4,708","27","0","2","2","23","217","79","118","20","1"
"Dallas","14,231","23","0","6","3","14","334","51","259","24","6"
"Eagle Point","7,619","1","0","1","0","0","152","22","126","4","0"
"Elgin","1,669","2","0","0","0","2","31","9","19","3","0"
"Enterprise","1,830","5","0","0","0","5","28","3","24","1","0"
"Estacada","2,475","7","0","2","2","3","136","25","91","20","0"
"Eugene","146,885","370","3","44","155","168","8,113","1,561","5,386","1,166","54"
"Fairview","9,480","14","0","2","2","10","372","62","247","63","2"
"Florence","7,970","9","0","2","2","5","308","37","249","22","1"
"Forest Grove","20,012","10","0","3","1","6","656","83","539","34","2"
"Gaston","778","0","0","0","0","0","20","5","15","0","0"
"Gearhart","1,095","1","0","0","1","0","10","2","7","1","0"
"Gervais","2,330","8","0","1","1","6","105","24","67","14","0"
"Gladstone","12,316","32","2","8","10","12","465","61","364","40","2"
"Gold Beach","1,962","7","0","0","1","6","39","10","22","7","0"
"Grants Pass","29,356","49","0","16","13","20","1,859","177","1,557","125","1"
"Gresham","97,647","562","6","72","170","314","4,026","645","2,525","856","46"
"Hermiston","14,897","34","0","3","7","24","834","148","619","67","2"
"Hillsboro","85,919","192","2","34","77","79","2,752","299","2,204","249","16"
