"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Abington Township","55,314","61","0","3","46","12","1,141","131","958","52","5"
"Adamstown","1,302","0","0","0","0","0","17","1","14","2","0"
"Adams Township, Butler County","8,160","9","0","2","0","7","76","6","66","4","0"
"Akron","4,013","1","0","0","0","1","44","8","31","5","2"
"Albion","1,559","1","0","0","0","1","20","9","10","1","1"
"Alburtis","2,205","3","0","0","0","3","20","0","20","0","1"
"Aldan","4,298","6","0","1","3","2","105","12","87","6","0"
"Aliquippa","11,115","67","5","1","19","42","299","87","180","32","0"
"Allegheny Township, Blair County","6,933","29","0","3","4","22","220","41","175","4","0"
"Allegheny Township, Westmoreland County","8,170","3","0","0","0","3","65","8","51","6","0"
"Allentown","107,087","1,081","16","42","684","339","6,059","1,433","4,131","495","35"
"Altoona","47,218","245","0","32","84","129","1,502","439","976","87","23"
"Ambler","6,355","5","0","0","4","1","157","12","125","20","0"
"Amity Township","11,077","3","0","0","1","2","104","21","74","9","4"
"Annville Township","4,679","10","0","3","0","7","51","14","35","2","0"
"Arnold","5,406","21","0","2","8","11","95","29","44","22","0"
"Ashland","3,162","3","0","0","0","3","55","9","46","0","0"
"Ashley","2,728","0","0","0","0","0","16","0","10","6","0"
"Ashville","267","0","0","0","0","0","0","0","0","0","0"
"Aspinwall","2,791","5","0","1","3","1","28","9","17","2","0"
"Aston Township","16,829","32","0","6","10","16","296","35","236","25","2"
"Athens","3,304","4","0","1","0","3","73","14","59","0","0"
"Auburn","814","0","0","0","0","0","2","0","2","0","0"
"Avalon","4,966","7","0","0","5","2","93","18","64","11","0"
"Baldwin Borough","18,859","23","0","0","1","22","168","26","119","23","0"
"Baldwin Township","2,103","8","0","0","0","8","25","6","17","2","0"
"Bally","1,103","0","0","0","0","0","2","1","1","0","0"
"Bangor","5,310","30","0","5","2","23","164","19","131","14","0"
"Barrett Township","4,283","4","0","0","0","4","59","16","42","1","1"
"Beaver","4,554","4","0","0","1","3","136","14","117","5","0"
"Beaver Falls","9,410","96","0","4","19","73","411","40","347","24","6"
"Bedford","3,054","3","0","0","1","2","33","6","23","4","0"
"Bedminster Township","4,944","6","1","0","0","5","81","9","70","2","0"
"Bell Acres","1,385","0","0","0","0","0","3","3","0","0","0"
"Bellefonte","6,166","1","0","1","0","0","148","12","135","1","0"
"Bellwood","1,918","2","0","0","0","2","15","4","11","0","0"
"Bensalem Township","58,797","122","2","10","50","60","2,272","321","1,706","245","8"
