"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen","24,284","64","0","17","2","45","469","84","355","30","6"
"Avon","547","0","0","0","0","0","0","0","0","0","0"
"Belle Fourche","4,711","3","0","2","0","1","6","1","5","0","0"
"Bonesteel","272","0","0","0","0","0","0","0","0","0","0"
"Box Elder","3,015","4","0","1","0","3","54","22","32","0","0"
"Brandon","7,231","6","0","0","0","6","49","9","40","0","0"
"Bridgewater","597","0","0","0","0","0","0","0","0","0","0"
"Burke","611","0","0","0","0","0","0","0","0","0","0"
"Canton","3,189","3","0","1","0","2","27","4","22","1","0"
"Corsica","630","0","0","0","0","0","0","0","0","0","0"
"Deadwood","1,306","2","0","0","0","2","43","3","39","1","0"
"Delmont","246","0","0","0","0","0","0","0","0","0","0"
"Estelline","692","0","0","0","0","0","8","0","8","0","0"
"Eureka","996","0","0","0","0","0","0","0","0","0","0"
"Faith","478","0","0","0","0","0","0","0","0","0","0"
"Freeman","1,232","0","0","0","0","0","0","0","0","0","0"
"Gettysburg","1,178","0","0","0","0","0","13","2","10","1","0"
"Glenham","128","0","0","0","0","0","0","0","0","0","0"
"Hermosa","338","0","0","0","0","0","0","0","0","0","0"
"Hot Springs","4,134","1","1","0","0","0","43","24","19","0","1"
"Jefferson","595","0","0","0","0","0","0","0","0","0","0"
"Kadoka","673","1","0","0","0","1","9","8","1","0","0"
"Kimball","698","0","0","0","0","0","0","0","0","0","0"
"Lennox","2,108","0","0","0","0","0","4","1","3","0","0"
"Leola","414","0","0","0","0","0","0","0","0","0","0"
"Madison","6,271","3","0","2","0","1","138","29","104","5","2"
"Martin","1,056","8","0","1","0","7","30","13","17","0","1"
"McIntosh","219","0","0","0","0","0","0","0","0","0","0"
"Menno","702","0","0","0","0","0","0","0","0","0","0"
"Miller","1,375","0","0","0","0","0","8","0","8","0","0"
"Mitchell","14,809","20","0","1","2","17","370","42","310","18","2"
"New Effington","228","0","0","0","0","0","0","0","0","0","0"
"North Sioux City","2,513","2","0","0","0","2","3","1","2","0","0"
"Rapid City","62,647","232","0","56","38","138","2,190","407","1,679","104","12"
"Rosholt","442","0","0","0","0","0","0","0","0","0","0"
"Scotland","836","0","0","0","0","0","0","0","0","0","0"
"Sioux Falls","140,593","426","7","115","34","270","3,596","768","2,616","212","27"
"Springfield","1,534","0","0","0","0","0","0","0","0","0","0"
"Sturgis","6,308","11","0","3","0","8","162","23","121","18","0"
"Tyndall","1,164","0","0","0","0","0","0","0","0","0","0"
"Vermillion","10,041","16","0","7","0","9","314","23","285","6","1"
"Wagner","1,613","2","0","0","0","2","36","3","29","4","0"
"Winner","2,940","3","0","2","0","1","44","3","37","4","0"
"Yankton","13,822","28","0","10","3","15","293","35","249","9","1"
