"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Barre","9,141","17","0","3","1","13","282","40","229","13","6"
"Barre Town","8,013","1","0","1","0","0","144","31","105","8","0"
"Bellows Falls","3,023","3","0","0","0","3","47","9","35","3","1"
"Bennington","15,396","24","0","8","1","15","403","93","278","32","2"
"Berlin","2,892","0","0","0","0","0","23","1","22","0","0"
"Bradford","823","0","0","0","0","0","0","0","0","0","0"
"Brandon","3,952","2","0","0","0","2","130","33","93","4","0"
"Brattleboro","11,865","29","0","1","8","20","408","68","330","10","4"
"Bristol","3,800","0","0","0","0","0","0","0","0","0","0"
"Burlington","38,584","155","1","23","16","115","1,564","260","1,260","44","3"
"Castleton","4,374","1","0","0","0","1","50","21","28","1","0"
"Chester","3,116","6","0","0","0","6","60","21","36","3","0"
"Colchester","17,189","24","0","1","4","19","569","90","462","17","3"
"Dover","1,447","2","0","1","0","1","145","14","128","3","0"
"Essex","19,172","17","2","3","2","10","453","72","369","12","0"
"Fair Haven","2,973","1","0","0","0","1","28","6","20","2","0"
"Hardwick","3,234","15","0","2","0","13","111","38","70","3","0"
"Hinesburg","4,431","2","0","1","1","0","99","25","71","3","0"
"Ludlow","2,698","1","0","0","0","1","38","5","33","0","0"
"Lyndonville","1,224","0","0","0","0","0","0","0","0","0","0"
"Manchester","4,365","7","0","2","1","4","103","23","75","5","0"
"Milton","10,183","19","0","0","7","12","248","72","169","7","0"
"Morristown","5,530","7","0","1","0","6","147","32","111","4","0"
"Newport","5,214","3","0","1","1","1","121","13","106","2","0"
"Northfield","5,824","12","0","1","1","10","61","8","49","4","0"
"Norwich","3,572","1","0","0","0","1","47","13","33","1","0"
"Randolph","5,061","4","0","1","0","3","41","9","31","1","1"
"Richmond","4,116","0","0","0","0","0","36","12","22","2","0"
"Rutland","17,069","49","0","5","8","36","872","121","719","32","30"
"Shelburne","7,005","3","0","0","0","3","96","21","72","3","1"
"Springfield","8,903","20","0","2","3","15","319","71","231","17","1"
"St. Albans","7,486","56","0","3","9","44","391","55","325","11","0"
"St. Johnsbury","7,505","12","0","2","2","8","103","18","83","2","0"
"Stowe","4,739","4","0","0","0","4","208","34","173","1","0"
"Swanton","6,463","2","0","0","0","2","68","30","36","2","0"
"Thetford","2,788","0","0","0","0","0","13","3","7","3","0"
"Vergennes","2,767","1","0","1","0","0","38","7","30","1","0"
"Waterbury","5,218","3","0","0","0","3","39","6","33","0","0"
"Weathersfield","2,857","3","0","0","0","3","24","10","13","1","0"
"Williston","8,254","4","0","0","2","2","254","35","215","4","0"
"Wilmington","2,334","1","0","0","0","1","72","11","57","4","0"
"Windsor","3,740","11","0","1","4","6","60","34","23","3","2"
"Winhall","763","0","0","0","0","0","103","18","85","0","1"
"Winooski","6,362","29","0","7","9","13","288","66","214","8","1"
"Woodstock","3,228","1","0","0","1","0","20","0","19","1","0"
