"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Aberdeen","16,639","41","0","5","11","25","1,021","160","759","102","3"
"Airway Heights","4,727","24","0","3","1","20","166","33","112","21","2"
"Algona","2,689","18","0","2","2","14","24","8","10","6","2"
"Anacortes","16,359","30","0","6","5","19","690","111","555","24","8"
"Arlington","15,539","28","0","3","4","21","1,204","139","863","202","1"
"Asotin","1,143","4","0","1","0","3","34","12","18","4","1"
"Auburn","47,895","305","0","24","122","159","3,544","686","2,216","642","37"
"Bainbridge Island","22,328","30","0","6","4","20","508","125","367","16","8"
"Battle Ground","13,464","30","0","12","3","15","505","85","391","29","5"
"Bellevue","119,150","184","3","42","71","68","4,245","591","3,178","476","33"
"Bellingham","75,828","196","0","33","76","87","5,334","791","4,267","276","20"
"Bingen","701","1","0","0","1","0","27","8","16","3","0"
"Black Diamond","3,997","4","0","4","0","0","50","10","37","3","0"
"Blaine","4,404","11","0","1","3","7","191","41","144","6","2"
"Bonney Lake","14,862","43","0","5","5","33","581","96","428","57","9"
"Bothell","31,447","40","0","9","18","13","972","222","561","189","6"
"Bremerton","38,478","346","1","70","76","199","1,687","407","1,102","178","17"
"Brewster","2,177","28","0","2","1","25","148","42","101","5","1"
"Brier","6,453","2","1","0","0","1","104","25","62","17","1"
"Buckley","4,550","4","0","2","0","2","137","27","92","18","0"
"Burien","31,265","179","2","14","59","104","1,899","383","1,009","507","21"
"Burlington","8,389","31","0","7","16","8","1,169","109","958","102","2"
"Camas","16,957","23","0","4","7","12","490","80","394","16","8"
"Carnation","1,859","1","0","0","0","1","10","2","8","0","0"
"Castle Rock","2,140","12","1","5","3","3","115","32","64","19","0"
"Centralia","15,669","78","0","9","13","56","979","168","707","104","10"
"Chehalis","7,329","33","0","9","4","20","549","59","463","27","3"
"Cheney","10,534","18","0","3","4","11","289","54","225","10","1"
"Chewelah","2,324","14","0","1","0","13","113","15","95","3","0"
"Clarkston","7,430","12","0","1","0","11","362","33","304","25","0"
"Cle Elum","1,827","2","0","0","0","2","195","37","135","23","0"
"Clyde Hill","2,994","3","0","0","0","3","47","12","33","2","0"
"Colfax","2,828","7","0","0","0","7","30","5","21","4","1"
"College Place","9,099","4","0","3","0","1","135","8","124","3","0"
"Colton","372","0","0","0","0","0","0","0","0","0","0"
"Colville","5,115","6","0","2","3","1","171","24","142","5","0"
"Connell","3,031","4","0","1","1","2","49","12","34","3","0"
"Cosmopolis","1,674","6","0","0","0","6","37","6","30","1","0"
"Coulee City","648","0","0","0","0","0","16","4","11","1","1"
"Coulee Dam","1,099","4","0","0","0","4","19","1","16","2","0"
"Coupeville","1,844","0","0","0","0","0","87","20","60","7","0"
"Covington","16,895","35","0","9","15","11","525","136","315","74","8"
"Des Moines","29,261","97","0","11","42","44","1,211","234","607","370","4"
"Dupont","5,466","6","0","1","0","5","75","11","59","5","2"
"Duvall","5,808","0","0","0","0","0","38","11","22","5","0"
"East Wenatchee","8,971","36","0","4","10","22","751","111","617","23","3"
"Eatonville","2,368","6","0","1","0","5","65","21","35","9","0"
"Edgewood","9,885","6","0","1","1","4","239","94","124","21","1"
"Edmonds","40,623","58","0","4","24","30","1,339","226","864","249","16"
"Ellensburg","17,205","29","0","11","8","10","1,032","198","791","43","0"
"Elma","3,218","5","0","2","1","2","275","55","192","28","0"
"Enumclaw","11,083","5","0","4","0","1","326","50","219","57","14"
"Ephrata","7,301","18","0","7","3","8","504","119","367","18","3"
"Everett","98,264","602","3","43","240","316","9,063","1,352","5,468","2,243","12"
"Everson","2,103","4","0","3","0","1","93","22","63","8","0"
"Federal Way","84,516","331","1","64","146","120","5,182","753","3,230","1,199","26"
"Ferndale","10,148","21","0","1","5","15","569","111","426","32","6"
"Fife","5,663","34","0","4","13","17","745","117","478","150","0"
"Fircrest","6,191","11","0","0","3","8","183","40","124","19","1"
"Forks","3,247","13","0","6","1","6","200","49","148","3","0"
"Gig Harbor","6,734","17","0","1","4","12","484","70","378","36","1"
"Goldendale","3,777","5","0","0","0","5","179","34","130","15","1"
"Grand Coulee","941","8","0","4","1","3","106","56","48","2","0"
"Grandview","9,061","15","0","4","3","8","584","117","393","74","1"
"Granger","2,885","10","0","3","0","7","163","53","96","14","1"
"Granite Falls","2,912","6","0","0","0","6","145","32","88","25","3"
"Hoquiam","9,185","14","2","5","2","5","502","111","346","45","0"
"Ilwaco","998","2","0","1","0","1","40","17","20","3","0"
"Issaquah","17,352","8","0","0","3","5","907","137","652","118","4"
"Kalama","1,971","1","0","0","0","1","95","30","62","3","6"
"Kelso","12,058","63","1","13","20","29","1,123","213","795","115","8"
"Kenmore","19,900","33","0","6","14","13","580","176","334","70","12"
"Kennewick","62,045","296","2","28","33","233","2,651","484","1,993","174","30"
"Kent","83,206","563","2","83","224","254","6,252","1,223","3,466","1,563","39"
"Kettle Falls","1,615","2","0","0","2","0","59","10","47","2","0"
"Kirkland","46,601","91","6","18","33","34","1,846","316","1,288","242","29"
"La Center","1,905","4","0","1","0","3","20","3","14","3","0"
"Lacey","33,941","90","1","8","27","54","1,609","240","1,230","139","3"
"Lake Forest Park","12,690","8","0","0","6","2","330","73","218","39","1"
"Lake Stevens","7,688","18","0","4","3","11","381","80","259","42","1"
"Lakewood","58,662","512","7","54","147","304","3,730","785","2,409","536","15"
"Langley","1,035","1","0","1","0","0","49","14","34","1","0"
"Liberty Lake","5,709","5","0","0","1","4","101","27","59","15","0"
"Long Beach","1,410","5","1","0","1","3","91","21","66","4","0"
"Longview","36,758","146","3","40","39","64","2,906","593","2,045","268","22"
"Lynden","10,881","11","0","0","0","11","229","27","196","6","0"
"Lynnwood","34,080","99","0","5","60","34","3,040","302","2,116","622","12"
"Mabton","2,073","0","0","0","0","0","46","21","11","14","1"
"Malden","204","3","0","1","0","2","7","5","1","1","0"
"Maple Valley","15,413","25","1","4","2","18","334","85","200","49","8"
