"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Afton","1,852","3","0","0","0","3","28","11","17","0","0"
"Baggs","358","0","0","0","0","0","11","5","4","2","0"
"Basin","1,238","2","0","0","0","2","26","4","21","1","0"
"Buffalo","4,338","16","0","0","0","16","103","15","83","5","0"
"Casper","52,318","130","0","20","12","98","2,581","441","2,023","117","14"
"Cheyenne","56,356","117","2","29","23","63","2,364","266","1,975","123","14"
"Cody","9,202","38","0","5","0","33","240","23","209","8","1"
"Diamondville","703","1","0","0","0","1","21","11","10","0","0"
"Douglas","5,644","14","0","0","0","14","159","22","133","4","0"
"Evanston","11,587","12","0","4","1","7","414","36","365","13","0"
"Evansville","2,354","6","0","1","1","4","108","9","92","7","0"
"Gillette","22,939","27","0","4","2","21","1,004","64","893","47","12"
"Glenrock","2,377","5","0","1","0","4","36","7","28","1","0"
"Green River","11,919","75","0","2","0","73","386","64","301","21","1"
"Guernsey","1,131","0","0","0","0","0","7","2","5","0","0"
"Hanna","873","6","0","0","0","6","2","2","0","0","0"
"Jackson","9,139","70","0","18","4","48","336","42","268","26","0"
"Kemmerer","2,589","3","0","0","0","3","34","5","29","0","0"
"Lander","6,975","16","0","0","0","16","231","27","196","8","3"
"Laramie","26,342","30","2","1","1","26","844","126","662","56","2"
"Lovell","2,303","4","0","0","0","4","41","2","39","0","0"
"Lusk","1,363","1","0","0","0","1","21","1","19","1","0"
"Mills","2,930","18","1","0","0","17","81","5","68","8","0"
"Moorcroft","854","1","0","0","0","1","3","0","3","0","0"
"Newcastle","3,257","5","0","2","0","3","109","31","77","1","1"
"Pine Bluffs","1,175","1","0","0","0","1","34","15","18","1","0"
"Powell","5,347","12","0","3","0","9","213","24","185","4","3"
"Rawlins","8,755","40","0","2","4","34","399","47","332","20","2"
"Riverton","9,536","38","0","5","3","30","380","55","303","22","9"
"Rock Springs","18,982","136","1","10","5","120","800","146","601","53","12"
"Saratoga","1,733","9","0","0","0","9","41","2","38","1","0"
"Sheridan","16,516","16","0","1","1","14","482","68","398","16","1"
"Sundance","1,197","2","0","0","0","2","40","3","37","0","0"
"Thermopolis","2,938","3","0","0","0","3","121","0","119","2","0"
"Torrington","5,595","25","0","2","0","23","187","30","150","7","0"
"Wheatland","3,503","8","0","2","0","6","122","10","108","4","0"
"Worland","5,023","11","0","0","0","11","40","9","30","1","0"
