"City","Population","Violent 
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Anchorage","284,142","2,405","22","257","453","1,673","11,107","1,454","8,397","1,256","145"
"Bethel","6,488","61","2","15","0","44","107","25","63","19","2"
"Bristol Bay Borough","1,028","8","0","0","0","8","49","11","24","14","1"
"Cordova","2,322","9","0","0","0","9","14","1","10","3","0"
"Craig","1,186","41","0","0","0","41","18","5","10","3","2"
"Dillingham","2,494","76","1","24","3","48","78","18","40","20","0"
"Fairbanks","31,287","258","5","43","42","168","1,358","236","957","165","6"
"Haines","2,260","16","0","1","0","15","74","24","46","4","0"
"Homer","5,629","52","0","2","1","49","220","32","165","23","1"
"Houston","1,992","3","0","0","0","3","40","8","24","8","0"
"Juneau","30,746","126","1","22","17","86","1,364","174","1,137","53","10"
"Kenai","7,620","30","1","2","3","24","318","32","265","21","0"
"Ketchikan","7,384","21","0","9","1","11","476","41","407","28","4"
"Kodiak","6,242","33","0","5","1","27","209","13","175","21","6"
"North Pole","1,869","9","0","1","1","7","116","24","85","7","0"
"North Slope Borough","6,569","70","0","15","7","48","149","52","70","27","8"
"Palmer","7,931","65","0","4","1","60","282","23","242","17","2"
"Petersburg","2,890","1","0","0","0","1","117","6","103","8","0"
"Seward","3,054","3","0","1","0","2","146","21","118","7","2"
"Sitka","8,932","31","0","9","0","22","290","21","250","19","2"
"Skagway","827","1","0","0","0","1","14","1","11","2","0"
"Soldotna","4,198","21","0","2","1","18","218","14","189","15","0"
"St. Paul","431","6","0","2","0","4","7","6","1","0","0"
"Unalaska","4,155","15","0","4","1","10","74","7","59","8","0"
"Wasilla","9,931","47","0","2","2","43","553","58","442","53","0"
"Wrangell","2,028","1","0","0","0","1","77","5","67","5","0"
