"City","Population","Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Apache Junction","30,925","140","4","18","26","92","1,677","316","1,127","234","5"
"Benson","4,913","10","0","1","4","5","240","50","157","33","1"
"Bisbee","6,077","41","0","1","2","38","307","44","255","8","0"
"Buckeye","34,618","51","1","6","9","35","1,582","560","858","164","6"
"Bullhead City","41,209","114","4","2","33","75","1,999","491","1,367","141","10"
"Camp Verde","10,780","32","1","1","1","29","327","59","242","26","3"
"Casa Grande","35,951","307","2","5","79","221","3,024","968","1,710","346","17"
"Chandler","250,868","823","9","51","246","517","7,934","1,231","5,871","832","68"
"Chino Valley2","10,886","","0","2","0","","228","42","172","14","0"
"Clarkdale","3,904","6","0","1","0","5","65","32","28","5","0"
"Clifton","2,285","10","0","0","0","10","75","21","44","10","5"
"Colorado City","4,816","1","0","0","0","1","5","2","3","0","0"
"Coolidge","7,875","92","1","6","13","72","770","237","457","76","13"
"Cottonwood","11,455","52","1","0","8","43","531","72","421","38","3"
"Douglas","17,077","30","0","4","7","19","619","94","461","64","3"
"Eagar","4,324","12","0","0","0","12","90","23","59","8","0"
"Eloy","10,795","90","0","17","17","56","654","168","424","62","15"
"Flagstaff","58,978","316","3","51","63","199","3,678","471","3,087","120","70"
"Florence","16,964","49","0","0","2","47","173","25","133","15","0"
"Fredonia","1,066","1","0","1","0","0","17","2","14","1","0"
"Gilbert","206,681","236","1","23","56","156","4,951","996","3,530","425","19"
"Glendale","250,444","1,508","15","58","542","893","12,452","2,766","6,719","2,967","67"
"Globe","7,097","72","0","5","6","61","414","124","275","15","7"
"Goodyear","53,834","143","1","31","27","84","2,497","1,179","996","322",""
"Hayden","1,267","18","0","1","1","16","62","28","32","2","6"
"Holbrook","5,186","96","0","7","5","84","442","161","259","22","2"
"Huachuca City","1,886","3","0","1","0","2","34","10","20","4","0"
"Kearny","3,000","15","0","0","0","15","71","34","37","0","1"
"Kingman","28,306","89","1","8","16","64","2,070","415","1,485","170","5"
"Lake Havasu City","58,699","134","5","20","8","101","1,813","307","1,388","118","10"
"Mammoth","2,347","4","0","0","0","4","20","7","8","5","0"
"Marana","33,374","65","0","10","16","39","1,149","180","841","128","10"
"Mesa","454,576","2,224","22","175","620","1,407","19,945","2,922","14,063","2,960","54"
"Miami","1,809","23","0","0","1","22","95","32","57","6","14"
"Oro Valley","40,364","24","0","6","5","13","759","134","580","45","11"
"Paradise Valley","14,594","7","0","0","1","6","352","204","124","24","1"
"Parker","3,211","25","0","0","2","23","237","58","160","19","2"
"Peoria","147,223","355","6","41","102","206","5,802","1,329","3,697","776","17"
"Phoenix","1,541,698","11,159","213","509","4,942","5,495","89,825","19,212","49,754","20,859","487"
"Pima","1,967","2","0","0","0","2","50","17","30","3","0"
"Prescott","42,674","130","1","7","19","103","1,387","279","1,059","49","2"
"Prescott Valley","38,204","194","0","14","10","170","851","168","635","48","6"
"Quartzsite","3,473","7","0","0","0","7","54","9","44","1","0"
"Sahuarita2","16,011","29","0","4","4","21","","","325","42","2"
"Scottsdale","235,243","438","5","41","143","249","8,138","1,523","5,863","752","31"
"Sedona","11,484","9","0","3","1","5","275","84","180","11","3"
"Show Low","11,588","108","0","2","5","101","493","155","299","39","1"
"Sierra Vista","43,441","134","4","20","19","91","1,644","283","1,230","131","26"
"Snowflake-Taylor","9,448","64","0","0","0","64","250","90","139","21","3"
"Somerton","11,370","22","0","0","2","20","220","49","132","39","1"
"South Tucson","5,579","186","0","3","88","95","939","145","705","89","1"
"Springerville","2,002","5","0","1","0","4","73","21","46","6","0"
"Surprise","98,965","154","6","15","34","99","2,493","534","1,719","240","20"
"Tempe","171,320","916","10","63","330","513","11,424","1,866","7,959","1,599","69"
"Thatcher","4,285","3","0","0","0","3","104","19","83","2","1"
"Tolleson","7,121","72","1","2","12","57","911","232","567","112","2"
"Tucson3","523,299","4,103","49","277","1,432","2,345","","4,787","","6,767","280"
"Wellton","1,898","2","0","0","0","2","36","18","16","2","0"
"Wickenburg","6,507","21","0","3","2","16","264","85","134","45","0"
"Willcox","3,842","6","0","0","1","5","345","85","213","47","2"
"Winslow","10,018","56","3","0","5","48","476","76","378","22","2"
"Youngtown","5,062","21","0","0","0","21","118","36","57","25","1"
"Yuma","88,874","601","6","32","75","488","3,913","888","2,393","632","30"
