"City","Population","Violent 
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Alamosa","8,714","57","1","11","16","29","565","79","475","11","3"
"Arvada","105,197","217","6","29","46","136","2,590","423","1,929","238","25"
"Aspen","5,700","27","0","3","1","23","335","34","285","16","0"
"Ault","1,419","8","0","0","0","8","63","9","46","8","2"
"Aurora","307,621","1,687","14","191","583","899","11,790","2,321","7,750","1,719","83"
"Avon","6,517","23","0","1","5","17","204","32","161","11","0"
"Basalt","3,093","3","0","0","0","3","8","0","7","1","0"
"Bayfield","1,823","1","0","0","0","1","28","9","18","1","1"
"Berthoud","5,142","5","0","0","0","5","86","14","68","4","1"
"Black Hawk","106","3","0","0","1","2","127","2","123","2","1"
"Boulder","91,047","219","1","37","27","154","2,410","404","1,910","96","40"
"Bow Mar","807","0","0","0","0","0","11","4","7","0","1"
"Breckenridge","2,822","12","0","4","0","8","171","5","157","9","0"
"Brighton","31,215","80","0","22","11","47","1,109","145","869","95","5"
"Broomfield","46,393","46","0","11","11","24","1,250","135","1,047","68","14"
"Brush","5,216","16","0","0","1","15","122","19","101","2","0"
"Buena Vista","2,149","2","0","0","0","2","12","1","11","0","0"
"Burlington","3,454","9","0","3","0","6","117","17","98","2","0"
"Campo","131","0","0","0","0","0","0","0","0","0","0"
"Canon City","16,198","120","2","27","1","90","614","88","501","25","2"
"Carbondale","6,128","12","0","3","0","9","141","17","114","10","1"
"Castle Rock","43,523","20","0","3","2","15","539","137","383","19","7"
"Cedaredge","2,270","1","0","0","0","1","35","13","22","0","0"
"Centennial","97,746","180","0","34","36","110","1,604","356","1,119","129","36"
"Center","2,452","7","0","0","0","7","33","13","18","2","0"
"Central City","514","1","0","1","0","0","25","0","23","2","0"
"Cherry Hills Village","6,218","8","0","3","0","5","112","29","81","2","0"
"Colorado Springs","374,112","1,985","27","285","528","1,145","16,554","3,179","11,888","1,487","109"
"Columbine Valley","1,274","0","0","0","0","0","5","2","1","2","0"
"Commerce City","42,386","160","3","12","29","116","1,526","377","940","209","6"
"Cortez","8,513","21","0","0","0","21","318","20","288","10","0"
"Craig","9,262","33","0","5","5","23","231","46","175","10","3"
"Crested Butte","1,557","0","0","0","0","0","44","4","39","1","0"
"Cripple Creek","1,062","13","0","1","0","12","63","7","52","4","1"
"Dacono","3,865","3","0","0","0","3","63","10","42","11","0"
"De Beque","485","1","0","0","0","1","22","8","13","1","0"
"Delta","8,473","44","1","2","0","41","236","51","170","15","1"
"Denver","573,387","3,552","47","296","1,045","2,164","22,409","5,694","11,594","5,121","178"
"Dillon","777","1","0","0","0","1","33","1","30","2","1"
"Durango","15,785","74","1","24","6","43","916","89","778","49","4"
"Eagle","5,275","3","0","1","0","2","121","23","86","12","0"
"Eaton","4,281","2","0","0","0","2","36","13","23","0","0"
"Edgewater","5,117","14","0","5","4","5","347","34","278","35","2"
"Elizabeth","1,509","2","0","0","0","2","47","15","24","8","0"
"Empire","332","2","0","0","0","2","5","1","4","0","0"
"Englewood","32,362","149","2","7","47","93","2,830","529","2,005","296","9"
"Erie","15,759","3","0","1","0","2","109","37","63","9","4"
"Estes Park","6,078","1","0","0","0","1","135","23","108","4","2"
"Evans","19,420","40","1","2","7","30","430","81","306","43","6"
"Federal Heights","11,697","55","0","12","19","24","464","53","333","78","0"
"Firestone","8,463","11","0","3","0","8","200","47","137","16","4"
"Florence","3,692","13","0","1","0","12","90","11","72","7","0"
"Fort Collins","130,935","418","1","70","33","314","4,476","695","3,487","294","23"
"Fort Lupton","7,464","13","0","0","1","12","190","33","142","15","6"
"Fort Morgan","10,774","27","0","4","4","19","383","71","301","11","6"
"Fraser/Winter Park","1,621","15","0","1","1","13","108","25","77","6","2"
"Frederick","8,541","42","1","2","1","38","126","27","90","9","1"
"Frisco","2,509","6","0","0","0","6","52","9","43","0","2"
"Fruita","7,115","30","0","3","3","24","184","33","138","13","6"
"Glendale","4,800","32","1","3","17","11","425","34","334","57","0"
"Glenwood Springs","8,904","41","1","6","3","31","468","82","360","26","3"
"Golden","17,244","25","0","1","1","23","446","50","362","34","7"
"Grand Junction","47,235","290","0","36","31","223","2,532","327","2,033","172","35"
"Greeley","90,707","423","4","50","48","321","3,566","703","2,610","253","17"
"Green Mountain Falls","794","11","0","1","0","10","31","11","19","1","1"
"Greenwood Village","13,744","19","0","1","9","9","702","144","520","38","5"
"Gunnison","5,296","21","0","3","6","12","394","95","285","14","0"
"Haxtun","1,000","2","0","0","0","2","0","0","0","0","0"
"Hayden","1,521","2","0","1","0","1","56","7","47","2","3"
"Holyoke","2,297","2","0","0","0","2","12","2","10","0","0"
"Hotchkiss","1,099","5","0","0","1","4","26","5","20","1","0"
"Idaho Springs","1,779","4","0","0","1","3","61","5","53","3","1"
"Ignacio","624","6","0","0","0","6","3","2","1","0","1"
"Johnstown","9,021","18","1","0","1","16","131","26","92","13","0"
"Kersey","1,421","1","0","0","0","1","32","2","24","6","0"
"Kiowa","609","2","0","0","0","2","16","5","10","1","0"
"Lafayette","24,340","69","1","4","9","55","464","92","349","23","9"
"La Junta","7,198","30","0","3","5","22","281","50","218","13","3"
"Lakeside","19","0","0","0","0","0","57","5","51","1","0"
"Lakewood","139,407","619","1","83","152","383","5,937","954","4,121","862","10"
"Lamar","8,287","24","0","1","3","20","411","67","337","7","0"
"La Salle","1,927","15","0","1","0","14","44","6","36","2","0"
"Las Animas","2,503","3","1","1","0","1","51","8","37","6","2"
"La Veta","883","1","0","0","0","1","1","1","0","0","0"
"Leadville","2,690","22","0","0","0","22","47","10","36","1","0"
"Limon","1,785","1","0","0","0","1","21","2","16","3","0"
"Littleton","40,343","67","0","13","20","34","1,253","220","881","152","6"
"Log Lane Village","1,009","0","0","0","0","0","8","2","6","0","0"
"Lone Tree","9,349","16","0","1","6","9","564","42","494","28","2"
"Louisville","18,335","22","0","0","1","21","284","64","203","17","8"
"Loveland","62,586","114","1","17","17","79","1,734","251","1,408","75","25"
"Mancos","1,242","17","0","0","2","15","26","8","16","2","0"
"Manitou Springs","5,085","14","0","1","2","11","199","32","157","10","1"
"Meeker","2,309","12","0","0","0","12","40","6","29","5","0"
"Milliken","6,380","2","0","1","0","1","89","17","62","10","0"
"Minturn","1,141","1","0","0","0","1","15","0","14","1","0"
"Monte Vista","4,102","21","0","2","0","19","109","23","83","3","3"
"Montrose","17,024","56","0","4","5","47","724","124","579","21","11"
"Monument","2,633","6","0","0","2","4","137","31","101","5","2"
"Morrison","405","5","0","0","0","5","20","4","16","0","0"
"Mountain View","517","4","0","0","2","2","19","7","9","3","1"
"Mount Crested Butte","772","2","0","0","0","2","50","3","47","0","0"
"Nederland","1,323","10","0","0","0","10","20","7","11","2","0"
"New Castle","3,526","11","0","0","0","11","76","8","65","3","0"
"Northglenn","33,226","94","3","9","17","65","1,237","215","877","145","2"
"Olathe","1,739","2","0","1","0","1","27","4","18","5","0"
"Pagosa Springs","1,699","4","0","0","1","3","96","17","78","1","1"
"Parachute","1,217","6","0","0","2","4","42","11","26","5","1"
"Parker","44,624","35","0","6","9","20","687","120","531","36","12"
"Platteville","2,646","21","0","0","0","21","43","8","29","6","0"
"Pueblo","103,958","725","6","43","206","470","6,613","1,499","4,526","588","52"
"Rangely","2,089","3","0","0","0","3","26","2","22","2","0"
"Rocky Ford","4,096","28","0","2","1","25","94","24","67","3","2"
"Salida","5,394","15","0","2","0","13","171","11","151","9","2"
"Sheridan","5,443","21","0","3","7","11","331","56","226","49","3"
"Silt","2,516","15","0","2","0","13","43","13","26","4","2"
"Silverthorne","3,812","6","0","2","0","4","84","7","77","0","2"
"Snowmass Village","1,732","0","0","0","0","0","59","4","52","3","0"
"South Fork","552","0","0","0","0","0","8","4","4","0","0"
"Springfield","1,323","0","0","0","0","0","0","0","0","0","0"
"Steamboat Springs","9,233","58","1","2","1","54","468","57","391","20","2"
"Sterling","12,549","33","0","7","4","22","355","73","260","22","4"
"Telluride","2,274","7","0","0","0","7","174","13","155","6","1"
"Thornton","113,289","380","2","72","50","256","3,996","740","2,817","439","28"
"Trinidad","9,135","51","1","2","2","46","249","82","152","15","2"
"Vail","4,622","9","0","0","0","9","281","25","245","11","2"
"Victor","419","1","0","0","0","1","9","0","9","0","0"
"Walsenburg","3,914","20","0","1","0","19","122","32","85","5","1"
"Walsh","661","0","0","0","0","0","0","0","0","0","0"
"Westminster","106,383","221","0","22","48","151","3,474","454","2,521","499","19"
"Wheat Ridge","30,718","143","0","28","33","82","1,393","225","988","180","12"
"Wiggins","960","0","0","0","0","0","0","0","0","0","0"
"Windsor","17,031","4","0","2","0","2","310","48","240","22","6"
"Woodland Park","6,747","16","1","2","1","12","104","14","87","3","0"
"Wray","2,156","0","0","0","0","0","2","0","2","0","0"
"Yuma","3,245","5","0","0","0","5","80","8","65","7","0"
