"City","Population","Violent
crime","Murder
and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Alachua","8,833","68","1","3","10","54","412","80","306","26","1"
"Altamonte Springs","40,513","216","4","13","66","133","1,627","289","1,157","181","9"
"Altha","516","0","0","0","0","0","6","2","4","0","0"
"Apalachicola","2,331","9","0","0","0","9","89","18","68","3","1"
"Apopka","36,895","362","2","25","132","203","1,663","465","1,054","144","18"
"Arcadia","7,151","73","1","3","15","54","288","106","167","15","4"
"Astatula","1,747","0","0","0","0","0","7","5","2","0","0"
"Atlantic Beach","13,256","96","0","5","27","64","507","115","364","28","0"
"Atlantis","2,131","5","0","0","2","3","33","10","21","2","0"
"Auburndale","13,236","84","0","6","30","48","873","253","584","36","1"
"Aventura","30,782","77","0","2","49","26","1,888","114","1,711","63","1"
"Avon Park","9,135","137","0","2","9","126","332","116","216","0","2"
"Bal Harbour Village","3,211","0","0","0","0","0","73","6","65","2","0"
"Bartow","16,594","160","1","5","37","117","1,102","266","788","48","0"
"Bay Harbor Island","4,996","12","0","0","2","10","84","32","42","10","0"
"Belleair","4,149","4","0","0","2","2","62","18","41","3","0"
"Belleair Beach","1,611","3","0","1","0","2","36","7","29","0","1"
"Belleair Bluffs","2,197","4","0","0","0","4","44","7","36","1","0"
"Belle Glade","15,231","471","3","10","121","337","1,402","442","876","84","10"
"Belleview","4,074","21","0","1","1","19","323","106","202","15","0"
"Biscayne Park","3,049","15","0","0","3","12","57","37","15","5","0"
"Blountstown","2,443","10","0","0","2","8","41","8","31","2","0"
"Boca Raton","86,868","236","5","16","83","132","3,441","675","2,596","170","2"
"Bonifay","2,712","6","0","1","3","2","22","10","9","3","0"
"Bowling Green","2,972","18","0","0","5","13","75","22","47","6","0"
"Boynton Beach","69,469","730","6","5","199","520","3,578","798","2,507","273","9"
"Bradenton","54,253","530","5","19","156","350","2,476","593","1,674","209","13"
"Bradenton Beach","1,557","4","0","0","1","3","78","15","62","1","0"
"Brooksville","7,651","64","0","4","12","48","332","52","255","25","1"
"Bunnell","1,639","56","0","2","9","45","110","23","75","12","0"
"Bushnell","2,200","10","0","1","4","5","129","29","96","4","0"
"Cape Coral","159,936","402","5","40","97","260","5,574","1,483","3,787","304","15"
"Carrabelle","1,290","15","0","2","0","13","60","19","31","10","1"
"Casselberry","24,663","178","1","12","54","111","1,038","196","758","84","3"
"Cedar Grove","5,201","21","0","4","2","15","102","28","48","26","2"
"Cedar Key","1,008","8","0","0","0","8","5","3","2","0","0"
"Center Hill","1,009","6","0","0","4","2","18","16","2","0","0"
"Chattahoochee","3,807","51","0","2","1","48","118","40","72","6","0"
"Chiefland","2,133","27","0","6","3","18","78","24","50","4","1"
"Chipley","3,768","15","1","0","0","14","76","20","52","4","0"
"Clearwater","107,501","868","10","34","240","584","4,678","862","3,469","347","31"
"Clermont","12,385","115","1","9","28","77","739","216","481","42","7"
"Clewiston","7,402","60","1","1","22","36","342","63","245","34","3"
"Cocoa","16,704","474","4","15","119","336","1,317","447","759","111","8"
"Cocoa Beach","12,128","146","0","6","26","114","969","94","829","46","1"
"Coconut Creek","51,033","95","0","5","26","64","1,080","172","820","88","3"
"Coleman","714","3","0","0","0","3","3","1","2","0","0"
"Cooper City","30,182","98","0","1","18","79","702","123","560","19","8"
"Coral Gables","42,794","132","1","8","53","70","2,195","404","1,672","119","1"
"Coral Springs","131,307","301","3","7","89","202","3,052","478","2,330","244","2"
"Crescent City","1,827","26","0","0","4","22","112","31","76","5","0"
"Crestview","18,753","101","3","13","21","64","770","82","634","54","11"
"Cross City","1,838","12","0","0","4","8","73","20","53","0","0"
"Crystal River","3,590","45","0","2","12","31","324","62","246","16","4"
"Cutler Bay","40,468","212","1","5","82","124","2,170","303","1,710","157","2"
"Dade City","7,079","77","0","7","10","60","432","109","297","26","1"
"Dania","29,011","274","1","12","103","158","1,583","331","1,046","206","5"
"Davenport","2,056","2","0","0","0","2","89","33","52","4","0"
"Davie","87,007","336","1","22","128","185","3,639","578","2,663","398","10"
"Daytona Beach","64,236","1,063","8","48","323","684","4,612","1,172","2,873","567","12"
"Daytona Beach Shores","5,063","45","1","0","3","41","223","91","98","34","0"
"Deerfield Beach","76,469","500","4","26","144","326","2,527","571","1,707","249","3"
"De Funiak Springs","4,987","53","0","2","7","44","185","71","109","5","1"
"Deland","26,610","167","1","4","46","116","1,442","355","950","137","0"
"Delray Beach","65,262","719","3","22","223","471","3,553","753","2,504","296","5"
"Doral","21,356","136","0","8","30","98","2,945","353","2,313","279","2"
"Dundee","3,148","13","0","1","2","10","191","38","133","20","0"
"Dunedin","36,702","118","1","12","27","78","885","187","650","48","3"
"Dunnellon","2,016","16","0","2","4","10","106","28","73","5","0"
"Eatonville","2,265","44","1","1","13","29","155","38","93","24","0"
"Edgewater","21,898","52","0","4","9","39","567","156","377","34","2"
"Edgewood","2,084","9","0","0","4","5","131","47","79","5","0"
"El Portal","2,384","15","0","0","5","10","99","52","40","7","0"
"Eustis","18,685","84","0","5","16","63","518","131","341","46","0"
"Fellsmere","4,850","11","0","0","4","7","70","12","42","16","0"
"Fernandina Beach","11,423","53","1","7","7","38","409","90","294","25","6"
"Flagler Beach","2,874","17","1","1","2","13","139","22","110","7","2"
"Florida City","9,704","261","0","4","96","161","1,315","280","962","73","2"
"Fort Lauderdale","187,995","1,523","25","56","736","706","9,712","2,266","6,581","865","48"
"Fort Meade","5,741","37","0","1","9","27","260","94","156","10","0"
"Fort Myers","61,810","921","17","26","335","543","3,357","576","2,265","516","18"
"Fort Pierce","39,456","844","4","45","229","566","2,708","818","1,670","220","11"
"Fort Walton Beach","19,245","106","0","11","25","70","826","161","601","64","0"
"Frostproof","2,915","20","0","3","4","13","138","55","79","4","0"
"Fruitland Park","3,983","17","0","0","1","16","120","20","87","13","2"
"Gainesville","108,289","1,122","5","93","237","787","5,795","1,522","3,837","436","22"
"Golden Beach","893","2","0","0","1","1","16","6","7","3","0"
"Graceville","2,432","1","0","0","0","1","62","13","45","4","0"
"Greenacres City","33,042","233","1","14","84","134","1,344","362","892","90","2"
"Greensboro","610","5","0","0","2","3","29","14","15","0","0"
"Groveland","6,519","20","0","2","0","18","152","35","104","13","0"
"Gulf Breeze","6,563","7","0","1","3","3","150","27","120","3","0"
"Gulfport","12,508","65","0","5","22","38","566","130","361","75","4"
"Gulf Stream","751","0","0","0","0","0","10","4","6","0","0"
"Haines City","18,172","96","1","5","36","54","632","193","375","64","0"
"Hallandale","40,147","444","2","9","116","317","1,665","364","1,131","170","21"
"Hampton","453","1","0","0","0","1","11","4","6","1","0"
"Havana","1,703","12","0","1","1","10","106","35","65","6","0"
"Hialeah","215,853","1,274","7","42","503","722","9,546","1,808","6,044","1,694","28"
"Hialeah Gardens","19,705","56","0","2","22","32","944","239","584","121","4"
"Highland Beach","4,106","0","0","0","0","0","27","7","19","1","0"
"High Springs","4,260","10","0","0","0","10","116","31","74","11","0"
"Hillsboro Beach","2,357","1","0","0","0","1","22","0","22","0","0"
"Holly Hill","13,510","135","0","5","47","83","820","233","507","80","2"
"Hollywood","146,673","827","13","62","433","319","6,713","1,429","4,303","981","5"
"Holmes Beach","5,086","8","1","1","0","6","196","29","160","7","0"
"Homestead","58,074","890","7","8","375","500","2,593","920","1,358","315","3"
"Howey-in-the-Hills","1,274","10","0","1","0","9","26","8","18","0","0"
"Hypoluxo","2,680","5","0","1","3","1","38","9","20","9","0"
"Indialantic","2,997","6","0","1","2","3","88","22","65","1","0"
"Indian Creek Village","39","0","0","0","0","0","2","0","2","0","0"
"Indian Harbour Beach","8,516","20","0","3","5","12","188","54","129","5","2"
"Indian River Shores","3,488","0","0","0","0","0","49","23","26","0","0"
"Indian Rocks Beach","5,227","19","0","6","1","12","148","28","109","11","0"
"Indian Shores","4,292","12","0","0","3","9","62","17","39","6","0"
"Inglis","1,658","4","0","0","0","4","21","2","11","8","0"
"Jacksonville","797,350","8,146","123","249","3,114","4,660","45,416","11,115","29,484","4,817","187"
"Jacksonville Beach","21,801","177","2","8","66","101","1,430","282","1,017","131","10"
"Jennings","841","3","0","0","1","2","9","3","6","0","0"
"Juno Beach","3,395","7","0","2","0","5","130","28","100","2","0"
"Jupiter","50,294","236","3","7","73","153","1,739","463","1,190","86","6"
"Jupiter Inlet Colony","392","0","0","0","0","0","2","1","1","0","0"
"Jupiter Island","653","0","0","0","0","0","19","13","6","0","0"
"Kenneth City","4,356","23","0","1","7","15","182","29","146","7","1"
"Key Biscayne","9,968","2","0","0","0","2","259","18","227","14","6"
"Key Colony Beach","787","0","0","0","0","0","18","2","16","0","0"
"Key West","22,968","183","1","26","50","106","1,609","282","1,139","188","0"
"Kissimmee","62,880","576","4","12","188","372","2,786","886","1,658","242","11"
"Lady Lake","13,838","28","0","6","0","22","310","70","219","21","0"
"Lake Alfred","4,280","11","0","2","2","7","170","24","125","21","0"
"Lake City","12,257","183","0","8","35","140","982","169","783","30","4"
"Lake Clarke Shores","3,397","9","0","0","2","7","73","24","41","8","0"
"Lake Hamilton","1,440","7","0","0","2","5","99","42","42","15","0"
"Lakeland","91,009","600","6","39","201","354","5,372","1,093","3,956","323","9"
"Lake Mary","15,234","13","0","1","4","8","280","96","174","10","1"
"Lake Park","8,919","119","0","7","48","64","796","100","616","80","0"
