"City","Population","Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle
theft","Arson1"
"Abbeville","2,604","1","0","0","0","1","2","1","1","0",""
"Acworth","19,646","85","0","0","16","69","518","51","426","41",""
"Adairsville","3,199","15","0","0","4","11","244","42","183","19",""
"Adel","5,398","42","0","5","13","24","315","89","211","15",""
"Albany","75,137","637","12","32","205","388","5,503","1,519","3,616","368",""
"Alpharetta","43,909","146","0","10","41","95","1,836","243","1,501","92",""
"Americus","16,448","135","2","15","34","84","1,135","383","716","36",""
"Aragon","1,071","0","0","0","0","0","23","1","22","0","0"
"Athens-Clarke County","113,389","435","7","38","142","248","5,493","1,306","3,836","351","36"
"Atlanta","497,290","8,075","129","148","3,577","4,221","36,232","8,859","20,353","7,020","155"
"Auburn","7,310","18","0","4","0","14","85","25","46","14",""
"Austell","6,976","62","0","2","6","54","266","56","175","35","0"
"Avondale Estates","2,817","5","0","0","3","2","104","25","73","6","0"
"Baldwin","2,980","0","0","0","0","0","63","7","53","3",""
"Ball Ground","910","1","0","0","0","1","25","8","15","2","0"
"Barnesville","5,987","38","0","0","5","33","193","45","139","9",""
"Barwick","447","0","0","0","0","0","0","0","0","0","0"
"Baxley","4,444","36","1","0","4","31","183","35","141","7","1"
"Blackshear","3,476","19","1","2","4","12","347","55","280","12",""
"Blakely","5,382","26","0","2","5","19","84","21","62","1",""
"Bloomingdale","2,644","7","0","0","0","7","70","13","49","8",""
"Blythe","802","0","0","0","0","0","12","5","6","1",""
"Bowdon","1,991","0","0","0","0","0","91","14","76","1",""
"Bremen","5,622","21","0","1","4","16","297","46","234","17",""
"Brooklet","1,240","1","0","1","0","0","44","6","37","1",""
"Broxton","1,480","17","0","0","1","16","106","18","82","6",""
"Brunswick","16,146","458","8","13","104","333","1,312","354","867","91",""
"Buchanan","1,010","1","0","0","0","1","48","12","33","3",""
"Buena Vista2","1,711","5","0","1","1","3","","14","","2","1"
"Byron","3,801","15","0","1","6","8","147","34","96","17","0"
"Cairo","9,655","34","0","4","14","16","340","109","214","17",""
"Calhoun","14,522","47","3","4","15","25","1,024","168","808","48",""
"Canton","22,071","62","1","15","10","36","565","49","467","49",""
"Carrollton3","22,149","","1","8","48","","1,660","264","1,334","62",""
"Cartersville","17,680","99","2","12","30","55","1,295","233","941","121",""
"Centerville","7,123","5","0","3","1","1","331","39","265","27","2"
"Chamblee","11,038","112","3","1","88","20","711","115","518","78",""
"Chatsworth","4,100","12","0","0","2","10","116","8","99","9","0"
"Chickamauga","2,535","12","0","0","0","12","91","13","75","3",""
"Clarkesville","1,646","3","0","1","0","2","96","12","81","3","0"
"Clarkston","7,546","77","0","5","24","48","343","162","102","79",""
"Claxton","2,399","7","1","0","3","3","92","12","73","7",""
"Cleveland","2,535","41","0","1","0","40","129","21","102","6",""
"Cochran","4,788","32","0","3","8","21","278","25","245","8",""
"College Park","20,573","379","3","19","181","176","1,936","475","1,165","296","12"
"Columbus","188,944","1,316","24","57","618","617","13,791","2,652","9,367","1,772","53"
"Commerce","6,189","36","0","3","7","26","256","52","188","16","1"
"Conyers","12,704","78","1","4","37","36","938","141","699","98",""
"Coolidge","558","2","0","0","0","2","4","1","2","1","0"
"Cordele","11,495","108","3","8","36","61","906","211","647","48",""
"Cornelia","3,822","14","0","4","1","9","179","16","152","11",""
"Covington","14,680","77","0","10","34","33","775","194","528","53","0"
"Cumming","6,150","10","0","4","4","2","375","20","332","23",""
"Cuthbert","3,481","13","0","0","3","10","69","16","53","0",""
"Dallas","10,199","151","0","3","16","132","335","68","251","16",""
"Dalton2","33,790","140","3","6","30","101","","230","1,026","",""
"Darien","1,727","10","1","0","2","7","11","5","4","2","0"
"Dawson","4,754","21","0","0","0","21","171","60","111","0",""
"Decatur","19,180","64","1","5","35","23","729","125","529","75",""
"Donalsonville","2,685","12","1","0","3","8","93","15","73","5",""
"Doraville","10,364","98","1","0","46","51","475","66","332","77",""
"Douglasville","30,422","169","0","10","55","104","2,247","325","1,735","187",""
"Dublin","17,434","192","1","3","32","156","1,330","247","1,020","63","0"
"Duluth","26,272","81","3","3","30","45","602","137","403","62","2"
"East Dublin","2,738","17","0","0","2","15","129","20","105","4",""
"Eastman","5,524","87","0","0","3","84","277","61","205","11",""
"East Point","42,497","445","6","14","211","214","2,706","855","1,488","363",""
"Elberton","4,655","44","0","0","10","34","497","104","376","17",""
"Ellaville","1,824","7","0","0","0","7","23","1","21","1",""
"Emerson","1,372","11","0","0","0","11","116","11","100","5","0"
"Euharlee","4,190","5","0","3","0","2","41","13","18","10","0"
"Fairburn","10,369","48","1","0","18","29","544","190","283","71","8"
"Fayetteville","15,603","31","0","1","11","19","550","38","482","30",""
"Flowery Branch","3,589","0","0","0","0","0","68","15","52","1",""
"Folkston","3,248","19","0","0","3","16","84","11","66","7",""
"Forest Park","22,174","185","3","6","119","57","1,349","270","908","171",""
"Forsyth","4,174","25","0","3","10","12","229","36","172","21","1"
"Fort Oglethorpe","9,809","30","0","3","8","19","675","100","552","23","0"
"Fort Valley","8,107","146","2","0","13","131","491","101","371","19",""
"Franklin","876","18","0","0","0","18","48","3","43","2",""
"Gainesville","34,494","184","2","18","55","109","1,920","293","1,494","133","6"
"Garden City","9,387","188","2","5","48","133","537","94","390","53",""
"Gordon","2,086","3","0","0","1","2","38","3","29","6","0"
"Gray","2,222","6","0","1","0","5","84","9","74","1","0"
"Greensboro","3,243","33","0","2","4","27","203","34","165","4",""
"Griffin","23,478","170","1","10","64","95","1,708","298","1,356","54",""
"Grovetown","8,476","26","0","4","2","20","256","78","156","22","1"
"Guyton","1,906","4","0","0","2","2","35","13","20","2",""
"Hahira","2,148","2","0","0","0","2","78","18","57","3",""
"Hampton","5,167","14","0","0","4","10","126","51","64","11","3"
"Hapeville","6,149","78","0","2","46","30","466","52","317","97",""
"Hartwell","4,358","15","0","1","1","13","387","45","335","7",""
"Hazlehurst","3,819","11","0","0","0","11","213","0","209","4","0"
"Helen","791","25","0","0","0","25","98","2","85","11","0"
"Hephzibah","4,306","21","0","5","4","12","126","17","97","12","0"
"Hiawassee","840","7","0","0","1","6","33","6","26","1",""
"Hinesville","29,466","225","4","16","44","161","2,055","479","1,511","65",""
"Hiram","1,959","64","0","2","8","54","425","50","345","30",""
"Hogansville","2,930","40","0","0","1","39","114","13","97","4",""
"Holly Springs","6,897","13","0","0","2","11","121","36","77","8",""
"Hoschton","1,586","1","0","0","0","1","33","2","27","4","0"
"Irwinton","577","0","0","0","0","0","8","4","4","0","0"
"Ivey","1,067","0","0","0","0","0","1","0","0","1","0"
"Jackson","4,478","5","0","0","1","4","141","12","127","2","0"
"Jefferson","6,906","60","0","0","5","55","340","65","255","20","0"
"Jonesboro","3,909","45","1","1","17","26","213","55","132","26","1"
"Kennesaw","32,643","34","1","2","10","21","544","94","413","37",""
"Keysville","259","0","0","0","0","0","0","0","0","0","0"
"Kingsland","12,705","89","0","5","5","79","501","93","393","15",""
"Lafayette","6,884","35","0","4","10","21","414","74","319","21",""
"LaGrange","27,867","118","2","7","50","59","1,704","375","1,215","114",""
"Lake City","2,733","15","0","0","15","0","286","22","221","43",""
"Lavonia","2,035","17","0","3","3","11","179","51","118","10",""
"Lawrenceville","29,797","129","1","6","86","36","1,026","221","675","130",""
"Leesburg","2,939","3","0","1","1","1","119","13","102","4","0"
"Lilburn","11,567","59","0","1","37","21","585","111","411","63",""
"Lincolnton","1,535","16","0","1","6","9","30","0","27","3",""
"Lithonia","2,356","40","0","1","14","25","112","42","47","23",""
"Lookout Mountain","1,561","0","0","0","0","0","16","2","14","0",""
"Ludowici","1,637","13","0","0","1","12","55","12","39","4",""
"Macon","93,205","732","22","43","302","365","7,997","1,979","5,166","852","74"
"Madison","3,913","9","0","0","4","5","137","29","97","11",""
"Manchester","3,808","26","0","0","5","21","228","64","147","17",""
"Marietta","63,523","479","4","16","297","162","2,579","618","1,553","408",""
"Maysville","1,639","7","0","0","0","7","37","5","28","4",""
"McDonough","18,504","202","0","5","30","167","797","158","570","69","3"
"McIntyre","707","3","0","0","0","3","24","3","21","0","0"
"McRae","4,492","62","0","1","2","59","116","17","90","9",""
"Milledgeville","19,896","77","1","6","18","52","1,130","192","897","41","3"
"Millen","3,525","44","0","0","2","42","75","47","25","3",""
"Molena","492","0","0","0","0","0","0","0","0","0",""
"Monroe","12,813","77","3","7","23","44","637","172","414","51",""
"Montezuma","3,969","27","0","0","8","19","194","64","127","3","2"
"Morrow","5,425","55","0","2","28","25","909","47","770","92",""
"Moultrie","15,375","133","6","6","51","70","1,220","261","912","47","17"
"Mount Airy","680","1","0","1","0","0","12","1","9","2","0"
"Mount Zion","1,549","1","0","0","1","0","20","6","12","2",""
"Nashville","4,830","37","1","3","11","22","318","103","204","11","4"
"Newnan","29,117","136","3","1","35","97","1,166","219","889","58","3"
"Newton","863","0","0","0","0","0","4","3","0","1","0"
"Nicholls","2,868","0","0","0","0","0","85","11","74","0",""
"Ocilla","3,211","20","1","3","4","12","220","28","177","15",""
"Oglethorpe","1,130","7","0","0","0","7","15","9","4","2",""
"Oxford","2,480","4","0","0","1","3","27","17","9","1","0"
"Palmetto3","5,103","17","0","0","11","6","","69","","24","2"
"Peachtree City","35,431","20","0","1","9","10","402","30","292","80",""
"Pearson","1,927","12","0","1","2","9","100","19","80","1","0"
"Pelham","3,902","41","1","3","6","31","209","39","168","2",""
"Pine Mountain","1,276","3","0","1","0","2","66","7","52","7",""
"Pooler","12,815","15","0","2","5","8","566","71","462","33",""
"Port Wentworth","3,396","4","0","0","1","3","145","25","92","28","0"
"Powder Springs","15,285","57","3","2","20","32","365","103","238","24","3"
"Reidsville","2,458","7","1","0","3","3","105","14","85","6",""
"Richmond Hill","10,324","37","0","2","20","15","221","34","168","19",""
"Rincon","7,371","95","0","4","11","80","236","38","184","14",""
"Ringgold","2,764","19","0","0","2","17","215","35","167","13","2"
"Riverdale","15,977","122","6","8","70","38","919","222","581","116",""
"Roberta","771","2","0","0","1","1","42","9","33","0","0"
"Rockmart","4,480","17","0","0","3","14","201","40","146","15","0"
"Rome","36,233","264","2","17","68","177","2,398","489","1,754","155","12"
"Rossville","3,473","16","0","1","4","11","239","46","179","14",""
"Roswell","88,879","191","2","17","107","65","2,261","499","1,612","150","0"
"Royston","2,730","1","0","0","0","1","85","2","82","1","0"
"Sandersville","6,134","47","1","4","19","23","470","97","352","21",""
"Sandy Springs","85,830","229","6","24","151","48","3,416","803","2,317","296",""
"Savannah-Chatham Metropolitan","208,116","1,319","26","78","743","472","9,851","2,315","6,369","1,167","88"
"Senoia","3,213","1","0","0","0","1","30","2","28","0","0"
"Shiloh","436","0","0","0","0","0","3","2","1","0","0"
"Smyrna","49,259","241","5","9","120","107","1,911","437","1,192","282",""
"Snellville","20,414","75","1","5","29","40","847","121","682","44","0"
"Statesboro","26,001","459","1","20","30","408","1,254","272","938","44",""
"Statham","2,795","13","0","0","1","12","120","20","84","16",""
"St. Marys3","16,153","","2","7","9","","529","102","404","23",""
"Stone Mountain","7,575","18","1","0","12","5","168","71","50","47",""
"Suwanee","14,959","39","1","1","26","11","397","67","308","22",""
"Sycamore","529","0","0","0","0","0","0","0","0","0","0"
"Sylvania","2,522","19","1","1","9","8","130","19","109","2",""
"Sylvester","5,874","16","0","1","3","12","290","72","199","19","1"
"Talbotton","998","8","0","0","2","6","26","11","14","1",""
"Tallapoosa","3,157","5","0","0","1","4","122","31","83","8","0"
"Tallulah Falls","157","0","0","0","0","0","1","1","0","0","0"
"Temple","4,350","26","0","0","4","22","139","22","109","8",""
"Thomaston","9,101","42","0","2","8","32","382","44","329","9",""
"Thomasville","19,108","71","0","3","26","42","1,053","212","804","37",""
"Thomson","6,922","40","0","4","13","23","411","123","282","6","0"
"Tifton","16,803","179","2","9","48","120","1,455","316","1,096","43",""
"Trenton","2,399","3","0","0","0","3","36","7","23","6","0"
"Trion","2,060","1","0","0","0","1","53","13","38","2",""
"Tunnel Hill","1,095","2","0","1","0","1","65","13","47","5","0"
"Tybee Island","3,774","12","0","2","3","7","81","7","71","3","1"
"Tyrone","6,696","5","0","1","1","3","102","27","69","6","0"
"Union City","17,217","219","4","4","59","152","1,680","433","988","259",""
"Valdosta","45,712","276","1","33","111","131","2,841","657","2,013","171",""
"Vidalia","11,253","117","0","12","44","61","921","244","638","39","0"
"Vienna","2,910","24","1","0","6","17","105","16","85","4",""
"Villa Rica","12,585","87","2","4","7","74","566","85","448","33",""
"Warner Robins","60,116","326","3","16","119","188","3,309","928","2,235","146","14"
"Warrenton","1,954","1","0","0","1","0","88","14","66","8",""
"Washington","4,093","29","0","4","3","22","109","27","78","4","0"
"Watkinsville","2,810","3","0","1","0","2","73","12","59","2","0"
"Waverly Hall","808","3","0","0","1","2","8","2","5","1",""
"Waycross","14,738","108","1","5","29","73","1,018","166","805","47",""
"Waynesboro","5,870","54","1","1","22","30","569","87","418","64","0"
"West Point","3,349","54","0","3","13","38","398","60","324","14",""
"Winder","13,607","146","0","6","24","116","886","180","651","55",""
"Wrens","2,251","20","0","0","3","17","97","28","67","2","1"
"Zebulon","1,230","2","0","0","1","1","42","11","29","2","0"
