"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adel","4,135","4","0","0","0","4","75","23","49","3","0"
"Albia","3,615","7","1","1","0","5","49","8","37","4","1"
"Algona","5,443","15","0","1","0","14","58","16","40","2","0"
"Altoona","13,882","22","0","4","2","16","485","44","416","25","0"
"Ames","51,622","200","2","18","12","168","1,602","500","1,040","62","2"
"Anamosa","5,675","3","0","0","0","3","111","22","84","5","1"
"Atlantic","6,842","2","0","0","0","2","125","26","94","5","0"
"Bettendorf","32,501","43","0","2","4","37","820","150","650","20","7"
"Bloomfield","2,575","5","0","1","0","4","9","5","4","0","1"
"Boone","12,768","74","0","18","1","55","295","105","185","5","9"
"Burlington","25,258","188","0","11","32","145","1,227","270","896","61","17"
"Camanche","4,298","1","0","0","1","0","59","7","50","2","0"
"Carlisle","3,599","2","0","0","0","2","56","17","36","3","2"
"Carroll","9,976","6","1","1","0","4","158","25","123","10","3"
"Carter Lake","3,304","21","1","3","2","15","225","41","162","22","2"
"Cedar Falls","36,995","102","1","16","9","76","821","116","666","39","7"
"Cedar Rapids","124,730","500","3","34","137","326","6,041","1,083","4,619","339","24"
"Centerville","5,662","16","0","4","1","11","246","49","181","16","2"
"Chariton","4,554","12","0","1","1","10","172","39","125","8","0"
"Charles City","7,574","9","0","0","0","9","130","23","99","8","0"
"Cherokee","4,911","5","0","0","0","5","89","21","68","0","0"
"Clarinda","5,558","11","0","1","1","9","176","45","115","16","4"
"Clarion","2,796","8","0","1","0","7","36","8","23","5","0"
"Clinton","26,937","188","0","25","22","141","1,270","299","891","80","15"
"Clive","14,231","47","0","5","4","38","356","56","271","29","3"
"Coralville","18,496","41","0","5","9","27","779","85","674","20","12"
"Council Bluffs","60,531","455","2","76","78","299","4,698","878","3,288","532","44"
"Cresco","3,763","3","0","0","0","3","73","19","48","6","2"
"Davenport","99,631","821","2","40","225","554","6,222","1,211","4,730","281","29"
"Decorah","8,066","7","0","0","0","7","106","11","86","9","2"
"Denison","7,427","7","0","0","1","6","96","16","76","4","0"
"Des Moines","192,948","1,514","4","185","387","938","11,794","2,095","8,631","1,068","90"
"De Witt","5,360","7","0","0","0","7","131","44","81","6","1"
"Dubuque","57,694","407","1","23","27","356","1,946","610","1,256","80","47"
"Dyersville","4,186","4","0","1","0","3","64","8","55","1","0"
"Eldora","2,789","3","0","1","0","2","47","3","43","1","0"
"Emmetsburg","3,633","1","0","0","0","1","34","11","19","4","0"
"Estherville","6,276","30","0","7","0","23","109","14","89","6","0"
"Evansdale","4,998","8","0","1","1","6","154","50","95","9","2"
"Fairfield","9,354","24","0","4","0","20","247","61","179","7","0"
"Forest City","4,202","13","0","0","0","13","18","5","11","2","1"
"Fort Dodge","25,330","158","1","8","34","115","1,555","333","1,089","133","19"
"Fort Madison","10,841","20","0","3","4","13","284","44","225","15","3"
"Garner","2,990","0","0","0","0","0","19","4","13","2","0"
"Glenwood","5,816","6","0","1","1","4","121","26","87","8","0"
"Hampton","4,226","9","0","0","1","8","12","0","11","1","0"
"Hawarden","2,426","5","0","0","1","4","17","10","7","0","0"
"Humboldt","4,379","4","0","0","1","3","45","10","28","7","0"
"Indianola","14,399","26","0","4","1","21","270","42","209","19","2"
"Iowa City","62,700","207","0","18","33","156","1,333","217","1,054","62","10"
"Jefferson","4,337","2","0","0","0","2","28","4","22","2","0"
"Johnston","15,622","13","0","2","4","7","283","48","227","8","1"
"Le Mars","9,375","26","1","5","0","20","250","57","182","11","1"
"Leon","1,923","2","0","0","0","2","50","3","44","3","0"
"Manchester","4,958","26","0","4","0","22","66","10","50","6","1"
"Maquoketa","6,006","12","0","2","0","10","136","49","82","5","0"
"Marion","31,772","40","0","5","5","30","510","137","353","20","7"
"Marshalltown","25,958","91","0","1","8","82","1,132","248","811","73","4"
"Mason City","27,541","60","0","8","18","34","1,141","242","872","27","7"
"Monticello","3,738","2","0","0","0","2","35","4","31","0","0"
"Mount Pleasant","8,918","33","0","1","0","32","270","61","198","11","1"
"Mount Vernon","4,210","4","0","1","0","3","60","7","53","0","0"
"Muscatine","22,705","132","1","18","4","109","733","158","551","24","8"
"Nevada","6,275","23","0","2","1","20","117","14","87","16","2"
"New Hampton","3,464","4","0","2","0","2","52","28","22","2","0"
"Norwalk","8,413","6","0","2","1","3","119","20","96","3","5"
"Oelwein","6,273","8","0","1","1","6","76","18","53","5","0"
"Orange City","5,897","1","0","1","0","0","40","4","35","1","0"
"Osage","3,447","7","0","0","0","7","59","13","44","2","0"
"Osceola","4,782","8","0","1","0","7","127","24","97","6","1"
"Oskaloosa","11,033","31","0","4","4","23","308","62","223","23","2"
"Ottumwa","24,822","191","0","12","5","174","1,287","269","951","67","6"
"Pella","10,280","26","0","3","0","23","186","61","117","8","3"
"Perry","9,001","46","0","1","0","45","143","12","116","15","6"
"Pleasant Hill","7,458","10","0","0","2","8","129","44","78","7","1"
"Polk City","3,098","0","0","0","0","0","32","3","27","2","0"
"Prairie City","1,459","2","0","0","0","2","17","7","9","1","0"
"Red Oak","5,907","16","2","5","1","8","219","57","150","12","5"
"Sac City","2,157","1","0","0","0","1","29","9","19","1","0"
"Sergeant Bluff","4,009","13","0","0","0","13","87","13","73","1","3"
"Sheldon","4,863","3","0","1","0","2","91","23","63","5","5"
"Shenandoah","5,172","4","0","0","0","4","135","14","109","12","4"
"Sioux City","82,942","373","2","40","33","298","2,842","578","2,110","154","19"
"Spencer","11,015","1","0","0","1","0","369","64","295","10","0"
"Spirit Lake","4,783","4","0","2","0","2","191","25","166","0","0"
"State Center","1,356","3","0","0","0","3","29","8","21","0","0"
"Storm Lake","9,855","42","0","6","4","32","418","112","298","8","4"
"Story City","3,187","0","0","0","0","0","47","13","30","4","1"
"Urbandale","38,381","67","0","7","16","44","760","153","571","36","9"
"Vinton","5,239","14","0","4","0","10","96","20","73","3","0"
"Waterloo","65,607","433","4","53","74","302","3,188","952","2,072","164","29"
"Waukee","11,945","21","0","3","0","18","198","53","135","10","1"
"Waverly","9,396","73","0","4","2","67","163","28","123","12","1"
"Webster City","8,004","35","0","1","1","33","198","49","130","19","3"
"West Burlington","3,376","13","0","3","1","9","241","33","203","5","0"
"West Des Moines","54,988","88","0","15","15","58","1,586","226","1,315","45","9"
"West Liberty","3,695","3","0","1","1","1","71","29","41","1","1"
