"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adairville","937","0","0","0","0","0","4","4","0","0","1"
"Albany","2,323","2","0","0","0","2","13","3","9","1","0"
"Alexandria","7,948","16","0","0","0","16","168","19","132","17","0"
"Anchorage","2,804","3","0","0","0","3","42","10","29","3","0"
"Auburn","1,509","3","0","0","0","3","18","4","12","2","0"
"Audubon Park","1,568","6","0","0","2","4","35","10","23","2","0"
"Barbourville","3,561","2","0","0","1","1","24","6","15","3","0"
"Bardstown","11,158","31","0","7","4","20","327","61","250","16","0"
"Beattyville","1,135","1","0","0","0","1","10","4","6","0","0"
"Bellefonte","846","0","0","0","0","0","4","1","3","0","0"
"Benham","547","0","0","0","0","0","1","1","0","0","0"
"Berea","13,946","22","0","3","8","11","399","101","274","24","0"
"Bloomfield","887","0","0","0","0","0","2","1","1","0","0"
"Bowling Green","53,663","348","1","49","87","211","2,739","545","2,072","122","3"
"Burnside","681","1","0","0","0","1","22","4","17","1","0"
"Butler","648","0","0","0","0","0","3","2","1","0","0"
"Cadiz","2,604","8","0","0","2","6","84","20","60","4","0"
"Calhoun","803","3","0","0","0","3","6","3","3","0","0"
"Campbellsville","10,957","29","0","3","9","17","414","100","298","16","1"
"Carlisle","2,133","3","0","0","0","3","14","7","6","1","0"
"Carrollton","3,888","16","1","3","4","8","124","27","92","5","0"
"Cave City","2,088","6","0","0","2","4","58","13","40","5","1"
"Central City","5,763","6","1","0","2","3","40","4","31","5","0"
"Clay City","1,365","1","0","0","0","1","43","16","26","1","0"
"Clinton","1,331","1","0","0","0","1","7","2","5","0","0"
"Cold Spring","5,758","23","0","0","3","20","175","10","159","6","0"
"Columbia","4,195","7","0","3","2","2","61","18","38","5","0"
"Corbin","8,344","25","0","2","3","20","352","74","254","24","0"
"Covington2","42,682","385","1","44","191","149","","659","1,357","","0"
"Crescent Springs","3,988","9","0","0","5","4","132","15","110","7","0"
"Cynthiana","6,291","16","0","2","3","11","323","70","233","20","0"
"Danville","15,377","53","0","7","24","22","507","113","370","24","0"
"Dawson Springs","2,947","4","0","3","0","1","32","11","18","3","0"
"Earlington","1,593","2","0","1","0","1","7","1","5","1","0"
"Edmonton","1,624","0","0","0","0","0","4","2","2","0","0"
"Elizabethtown","23,547","86","1","18","23","44","1,039","173","823","43","0"
"Elkton","1,962","6","0","5","0","1","30","8","18","4","0"
"Elsmere","7,848","16","0","2","8","6","127","31","81","15","0"
"Eminence","2,264","4","0","0","0","4","28","4","23","1","0"
"Erlanger","16,986","27","0","4","16","7","345","72","258","15","0"
"Evarts","1,056","4","0","1","0","3","11","1","9","1","0"
"Falmouth","2,129","6","0","1","0","5","68","27","38","3","0"
"Flatwoods","7,647","3","0","1","1","1","88","43","32","13","0"
"Fleming-Neon","805","0","0","0","0","0","7","0","5","2","0"
"Flemingsburg","3,105","2","0","1","0","1","34","10","22","2","0"
"Florence","27,405","220","0","13","44","163","1,302","173","1,032","97","3"
"Fort Thomas","15,266","11","1","2","2","6","214","38","155","21","0"
"Fort Wright","5,379","17","0","1","12","4","283","25","249","9","0"
"Franklin","8,101","32","1","7","16","8","268","57","198","13","0"
"Fulton","2,435","18","1","3","5","9","116","22","84","10","0"
"Georgetown","20,997","48","0","12","12","24","956","176","720","60","0"
"Glasgow","14,282","24","2","3","2","17","232","62","163","7","0"
"Glencoe","251","0","0","0","0","0","7","1","6","0","0"
"Graymoor-Devondale","3,008","4","0","1","1","2","48","11","33","4","0"
"Greensburg","2,408","0","0","0","0","0","6","3","3","0","0"
"Greenville","4,258","3","0","1","0","2","10","5","3","2","0"
"Guthrie","1,441","1","0","1","0","0","9","6","3","0","0"
"Hardinsburg","2,466","1","0","0","0","1","0","0","0","0","0"
"Harlan","1,893","8","0","0","3","5","115","21","93","1","0"
"Harrodsburg","8,164","15","0","2","7","6","161","49","92","20","1"
"Hartford","2,685","1","0","0","0","1","41","6","30","5","0"
"Hawesville","983","0","0","0","0","0","1","1","0","0","0"
"Hazard","4,862","7","0","0","0","7","242","48","185","9","0"
"Heritage Creek","1,654","0","0","0","0","0","10","5","4","1","0"
"Hickman","2,253","4","0","1","0","3","70","16","49","5","0"
"Hillview","7,506","10","1","1","1","7","127","31","84","12","1"
"Hodgenville","2,781","2","0","1","0","1","17","6","9","2","0"
"Horse Cave","2,345","2","0","0","0","2","10","2","7","1","0"
"Independence","21,038","18","0","4","1","13","333","84","227","22","0"
"Indian Hills","3,149","2","0","1","1","0","32","9","21","2","0"
"Inez","450","0","0","0","0","0","3","1","2","0","0"
"Irvine","2,699","9","0","1","2","6","112","38","68","6","0"
"Irvington","1,421","0","0","0","0","0","2","0","2","0","0"
"Jackson","2,401","0","0","0","0","0","46","16","27","3","1"
"Jamestown","1,738","3","0","0","0","3","47","11","35","1","0"
"Jeffersontown","25,837","48","1","8","24","15","584","120","385","79","1"
"Jenkins","2,288","1","0","0","0","1","21","7","12","2","0"
"La Grange","6,238","4","0","2","2","0","183","48","129","6","0"
"Lakeside Park-Crestview Hills","6,205","0","0","0","0","0","94","12","79","3","0"
"Lancaster","4,452","5","0","0","1","4","75","21","54","0","0"
"Lawrenceburg","9,710","13","0","1","3","9","139","37","101","1","0"
"Lebanon","5,980","17","0","2","0","15","244","69","162","13","0"
"Lebanon Junction","1,994","2","0","0","1","1","69","23","42","4","2"
"Leitchfield","6,561","2","0","0","0","2","77","24","45","8","1"
"Lewisburg","924","0","0","0","0","0","2","1","1","0","0"
"Lewisport","1,658","3","0","0","2","1","14","4","10","0","0"
"Lexington","272,815","1,790","16","111","550","1,113","9,349","2,114","6,623","612","30"
"London","7,922","21","0","1","9","11","529","78","415","36","0"
"Lone Oak","437","0","0","0","0","0","7","6","1","0","0"
"Louisa","2,076","2","0","0","1","1","16","4","11","1","0"
"Louisville Metro","624,030","4,238","71","194","1,910","2,063","29,543","7,588","18,772","3,183","214"
"Lynch","838","0","0","0","0","0","15","5","10","0","0"
"Lynnview","980","0","0","0","0","0","8","2","5","1","0"
"Manchester","1,945","6","1","0","0","5","26","4","14","8","0"
"Marion","3,022","1","0","0","0","1","51","13","35","3","0"
"Maysville","9,205","31","1","6","5","19","583","152","407","24","0"
"McKee","864","1","0","0","0","1","10","2","7","1","0"
"Millersburg","872","0","0","0","0","0","12","8","4","0","0"
"Monticello","6,120","3","0","0","1","2","185","51","128","6","0"
"Morganfield","3,365","12","0","3","2","7","114","15","94","5","0"
"Mortons Gap","953","0","0","0","0","0","3","1","0","2","0"
"Mount Sterling","6,569","21","0","3","6","12","412","68","321","23","0"
"Mount Vernon","2,622","2","0","0","2","0","42","11","28","3","3"
"Mount Washington","12,334","4","0","1","0","3","136","44","80","12","0"
"Muldraugh","1,309","0","0","0","0","0","9","3","6","0","0"
"Munfordville","1,624","2","0","1","0","1","27","7","19","1","0"
"Murray","15,811","28","0","7","8","13","675","124","532","19","0"
"New Castle","932","0","0","0","0","0","12","4","6","2","0"
"Newport","15,540","95","3","18","53","21","1,137","168","856","113","5"
"Nicholasville","25,495","61","0","11","22","28","1,098","226","810","62","0"
"Nortonville","1,250","0","0","0","0","0","2","0","2","0","0"
"Oak Grove","7,303","33","0","2","13","18","337","94","220","23","0"
"Olive Hill","1,823","2","0","1","0","1","23","14","7","2","0"
"Owenton","1,491","0","0","0","0","0","12","3","7","2","0"
"Owingsville","1,596","0","0","0","0","0","45","10","33","2","0"
"Paintsville","4,176","4","0","0","0","4","98","12","76","10","0"
"Paris","9,329","26","1","1","9","15","230","51","168","11","0"
"Park Hills","2,748","0","0","0","0","0","16","6","5","5","0"
"Pewee Valley","1,598","0","0","0","0","0","8","5","3","0","0"
"Pikeville","6,331","11","0","2","3","6","381","32","334","15","0"
"Pineville","1,997","3","0","0","2","1","52","7","39","6","0"
"Pioneer Village","2,687","0","0","0","0","0","18","6","11","1","0"
"Powderly","892","0","0","0","0","0","50","12","38","0","0"
"Prestonsburg","3,850","11","0","0","0","11","124","18","101","5","0"
"Princeton","6,402","16","0","0","4","12","171","56","104","11","0"
"Prospect","5,044","1","0","0","1","0","5","3","1","1","0"
"Providence","3,521","3","0","0","0","3","30","14","14","2","0"
"Raceland","2,548","0","0","0","0","0","18","4","13","1","0"
"Radcliff3","21,560","","1","18","21","","583","155","395","33","1"
"Russell","3,598","1","0","0","1","0","127","16","102","9","0"
"Russell Springs","2,573","4","0","0","1","3","103","28","70","5","0"
"Science Hill","658","0","0","0","0","0","5","3","1","1","0"
"Scottsville","4,567","2","0","1","0","1","33","15","14","4","0"
"Shelbyville","11,101","46","0","3","22","21","410","107","277","26","0"
"Shepherdsville","9,123","14","1","2","4","7","513","90","408","15","0"
"Shively","15,621","111","1","3","85","22","754","197","453","104","2"
"Silver Grove","1,158","0","0","0","0","0","9","4","5","0","0"
"Smiths Grove","741","1","0","0","1","0","7","3","3","1","0"
"Somerset","12,344","27","0","6","8","13","572","89","468","15","0"
"Southgate","3,291","0","0","0","0","0","38","6","31","1","0"
"Springfield","2,845","6","0","1","2","3","63","27","34","2","0"
"Stanford","3,467","3","0","0","1","2","20","4","15","1","0"
"St. Matthews","17,676","45","0","2","28","15","728","128","562","38","0"
"Sturgis","1,967","2","0","1","0","1","20","5","15","0","0"
"Taylor Mill","6,682","6","0","1","3","2","77","17","51","9","0"
"Taylorsville","1,226","2","0","0","0","2","33","6","20","7","0"
"Tompkinsville","2,656","5","0","0","3","2","53","23","25","5","0"
"Uniontown","1,046","1","0","0","0","1","5","3","2","0","0"
"Vanceburg","1,722","1","0","1","0","0","22","1","18","3","0"
"Villa Hills","7,672","1","0","0","1","0","32","3","28","1","0"
"Vine Grove","3,915","5","0","0","0","5","73","26","46","1","0"
"Warsaw","1,832","9","0","0","0","9","26","10","15","1","0"
"West Liberty","3,362","0","0","0","0","0","44","5","35","4","0"
"West Point","992","0","0","0","0","0","10","1","6","3","0"
"Whitesburg","1,504","0","0","0","0","0","16","0","15","1","0"
"Wilder","3,037","2","0","0","1","1","61","7","52","2","0"
"Williamsburg","5,192","13","0","2","5","6","77","15","56","6","0"
"Williamstown","3,465","2","0","0","0","2","108","35","66","7","0"
"Wilmore","5,862","4","0","0","1","3","77","13","61","3","1"
"Winchester","16,515","30","1","3","9","17","775","170","582","23","3"
"Worthington","1,686","0","0","0","0","0","10","4","6","0","0"
