"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Ashland","1,460","3","0","0","2","1","4","4","0","0","0"
"Auburn","23,150","29","2","6","10","11","817","152","633","32","3"
"Augusta","18,572","69","1","15","10","43","1,138","183","931","24","11"
"Baileyville","1,593","1","0","0","0","1","72","22","49","1","0"
"Bangor","30,940","46","1","4","24","17","1,905","208","1,655","42","3"
"Bar Harbor","5,197","4","0","2","0","2","25","7","18","0","1"
"Bath","9,175","5","0","3","0","2","284","25","255","4","0"
"Belfast","6,866","6","0","1","1","4","268","31","233","4","1"
"Berwick","7,603","11","0","6","1","4","105","29","67","9","3"
"Bethel","2,671","1","0","1","0","0","32","8","23","1","0"
"Biddeford","22,079","77","0","28","21","28","1,050","160","845","45","5"
"Boothbay Harbor","2,340","2","0","1","0","1","62","14","44","4","0"
"Brewer","9,101","4","0","0","2","2","429","37","381","11","2"
"Bridgton","5,325","6","0","0","2","4","140","44","89","7","1"
"Brownville","1,306","6","0","1","0","5","45","18","27","0","0"
"Brunswick","22,048","18","0","12","1","5","428","59","352","17","8"
"Bucksport","4,969","13","0","1","0","12","83","14","69","0","0"
"Buxton","8,284","4","0","0","1","3","119","41","72","6","4"
"Calais","3,253","26","0","0","0","26","185","18","166","1","0"
"Camden","5,327","3","0","0","0","3","109","22","85","2","0"
"Cape Elizabeth","8,806","3","0","0","0","3","112","26","75","11","0"
"Caribou","8,279","5","0","0","4","1","240","61","169","10","0"
"Carrabassett Valley","467","1","0","1","0","0","106","9","97","0","0"
"Clinton","3,400","3","0","2","0","1","51","17","33","1","0"
"Cumberland","7,728","1","0","1","0","0","37","9","20","8","1"
"Damariscotta","1,965","7","0","6","1","0","60","2","58","0","0"
"Dexter","3,720","9","0","2","1","6","176","59","111","6","0"
"Dixfield","2,564","5","0","2","0","3","58","14","39","5","0"
"Dover-Foxcroft","4,391","19","0","3","0","16","166","26","135","5","1"
"East Millinocket","3,171","1","0","0","0","1","11","1","10","0","0"
"Eastport","1,575","0","0","0","0","0","12","0","10","2","1"
"Eliot","6,453","3","0","0","0","3","60","10","47","3","0"
"Ellsworth","7,165","4","0","2","1","1","331","23","293","15","0"
"Fairfield","6,808","10","1","4","3","2","301","64","222","15","2"
"Falmouth","10,591","3","0","1","1","1","146","17","129","0","0"
"Farmington","7,603","15","0","8","3","4","246","20","220","6","0"
"Fort Fairfield","3,510","11","0","0","0","11","30","5","24","1","0"
"Fort Kent","4,202","2","0","0","0","2","51","8","43","0","0"
"Freeport","8,190","3","0","2","1","0","159","22","132","5","0"
"Fryeburg","3,363","2","0","0","0","2","29","4","25","0","0"
"Gardiner","6,174","6","0","3","2","1","107","29","78","0","1"
"Gorham","15,593","12","0","1","0","11","201","80","113","8","2"
"Gouldsboro","2,040","1","0","1","0","0","12","4","8","0","0"
"Greenville","1,759","3","0","1","0","2","47","8","37","2","0"
"Hallowell","2,521","1","0","0","0","1","55","22","33","0","0"
"Hampden","6,847","4","0","2","1","1","107","11","94","2","0"
"Holden","2,961","0","0","0","0","0","63","16","46","1","3"
"Houlton","6,258","10","0","5","1","4","154","38","114","2","0"
"Jay","4,847","0","0","0","0","0","69","20","47","2","2"
"Kennebunk","11,658","4","0","1","1","2","188","30","155","3","0"
"Kennebunkport","4,070","2","0","1","0","1","45","4","40","1","1"
"Kittery","10,645","8","0","1","4","3","171","32","135","4","1"
"Lewiston","35,747","97","2","23","34","38","1,117","260","813","44","9"
"Limestone","2,298","4","1","0","1","2","11","10","1","0","0"
"Lincoln","5,235","1","0","0","0","1","40","7","30","3","0"
"Lisbon","9,474","3","0","1","0","2","161","42","115","4","3"
"Livermore Falls","3,200","5","0","3","1","1","78","17","60","1","1"
"Machias","2,191","6","0","0","1","5","55","9","45","1","2"
"Madawaska","4,402","0","0","0","0","0","51","11","38","2","0"
"Madison","4,673","2","0","1","0","1","98","14","83","1","2"
"Mechanic Falls","3,256","1","0","0","0","1","50","15","32","3","0"
"Mexico","2,932","7","0","2","1","4","113","27","77","9","1"
"Milbridge","1,316","1","0","0","0","1","27","4","23","0","0"
"Millinocket","4,927","2","0","0","0","2","77","13","61","3","0"
"Milo","2,414","30","0","0","0","30","103","25","71","7","3"
"Monmouth","3,849","3","0","1","0","2","60","17","40","3","0"
"Mount Desert","2,214","0","0","0","0","0","35","1","32","2","1"
"Newport","3,106","2","0","0","1","1","121","21","98","2","1"
"North Berwick","4,911","0","0","0","0","0","4","2","2","0","1"
"Norway","4,846","8","0","6","0","2","138","22","110","6","2"
"Oakland","6,239","4","0","1","2","1","113","26","86","1","1"
"Ogunquit","1,295","0","0","0","0","0","44","3","40","1","0"
"Old Orchard Beach","9,423","13","0","3","3","7","278","62","199","17","4"
"Old Town","7,704","2","0","0","1","1","225","35","185","5","0"
"Orono","9,737","6","0","2","1","3","174","22","149","3","1"
"Oxford","3,954","4","0","3","0","1","163","24","135","4","0"
"Paris","5,048","2","0","1","1","0","84","17","62","5","1"
"Phippsburg","2,205","0","0","0","0","0","10","4","6","0","0"
"Pittsfield","4,296","2","0","0","1","1","106","24","77","5","0"
"Portland","62,894","231","1","25","103","102","3,079","562","2,356","161","16"
"Presque Isle","9,217","11","0","4","4","3","288","38","241","9","3"
"Rangeley","1,168","4","0","1","0","3","32","11","18","3","0"
"Richmond","3,440","1","0","0","0","1","25","7","18","0","0"
"Rockland","7,582","13","0","5","3","5","406","24","375","7","0"
"Rockport","3,590","0","0","0","0","0","26","0","26","0","0"
"Rumford","6,405","20","0","11","1","8","215","43","169","3","1"
"Sabattus","4,702","7","0","2","1","4","52","18","27","7","0"
"Saco","18,509","19","1","8","5","5","588","104","463","21","3"
"Sanford","21,648","40","1","14","11","14","798","151","608","39","12"
"Scarborough","19,187","12","0","0","5","7","343","60","268","15","2"
"Searsport","2,668","1","0","1","0","0","75","20","51","4","0"
"Skowhegan","8,876","12","0","6","2","4","320","58","256","6","5"
"South Berwick","7,350","4","0","2","1","1","73","18","51","4","0"
"South Portland","23,836","36","0","5","10","21","1,010","114","869","27","4"
"Southwest Harbor","1,982","0","0","0","0","0","62","3","58","1","0"
"Swan's Island","311","0","0","0","0","0","0","0","0","0","0"
"Thomaston","4,203","4","0","0","0","4","65","6","57","2","0"
"Topsham","10,073","3","0","1","1","1","213","19","187","7","0"
"Van Buren","2,520","0","0","0","0","0","8","5","3","0","0"
"Veazie","1,873","0","0","0","0","0","21","2","17","2","0"
"Waldoboro","5,123","1","0","0","0","1","141","44","93","4","1"
"Washburn","1,616","1","0","0","0","1","32","9","23","0","0"
"Waterville","15,631","33","0","14","9","10","736","130","588","18","2"
"Wells","10,142","6","1","1","1","3","177","36","139","2","3"
"Westbrook","16,188","44","1","11","10","22","542","111","411","20","1"
"Wilton","4,210","21","0","1","2","18","106","35","69","2","2"
"Windham","16,814","16","0","6","1","9","395","80","299","16","3"
"Winslow","7,979","9","0","7","0","2","153","46","103","4","0"
"Winter Harbor","973","2","0","1","0","1","8","0","7","1","0"
"Winthrop","6,514","3","0","0","1","2","84","21","57","6","0"
"Wiscasset","3,904","1","0","0","0","1","59","15","43","1","0"
"Yarmouth","8,106","5","0","1","2","2","67","9","55","3","3"
"York","13,384","8","0","3","0","5","201","41","154","6","1"
