"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Aberdeen","14,187","115","0","4","41","70","702","98","567","37","3"
"Annapolis","36,462","448","8","5","186","249","1,787","412","1,180","195","17"
"Baltimore","624,237","10,182","282","146","3,895","5,859","29,939","7,381","16,742","5,816","407"
"Baltimore City Sheriff","0","0","0","0","0","0","0","0","0","0","0"
"Bel Air","10,074","87","0","4","14","69","396","49","326","21","2"
"Berlin","3,812","7","0","1","3","3","162","16","145","1","0"
"Berwyn Heights","3,045","16","0","0","10","6","101","16","60","25","0"
"Bladensburg","7,849","106","1","2","60","43","592","99","314","179","0"
"Boonsboro","3,286","2","0","0","2","0","24","7","16","1","0"
"Brunswick","5,282","11","0","2","0","9","79","16","60","3","1"
"Cambridge","11,479","117","3","2","39","73","702","129","558","15","7"
"Capitol Heights","4,259","7","0","2","3","2","47","14","17","16","0"
"Centreville","3,099","2","0","0","0","2","64","19","43","2","1"
"Chestertown","4,942","39","0","2","9","28","162","37","124","1","1"
"Cheverly","6,614","36","0","1","26","9","232","44","122","66","0"
"Chevy Chase Village","2,779","2","0","0","2","0","34","5","27","2","1"
"Cottage City","1,166","5","0","0","3","2","49","3","32","14","0"
"Crisfield","2,804","12","0","1","4","7","147","22","119","6","0"
"Cumberland","20,654","180","0","7","35","138","1,266","293","935","38","10"
"Delmar","2,590","23","1","2","3","17","132","35","89","8","0"
"Denton","3,602","22","0","2","6","14","201","33","155","13","0"
"District Heights","6,253","33","3","0","10","20","210","55","115","40","0"
"Easton","14,249","74","0","3","15","56","603","85","507","11","1"
"Edmonston","1,381","5","1","0","1","3","79","10","46","23","0"
"Elkton","15,228","215","1","2","62","150","1,095","279","730","86","10"
"Fairmount Heights","1,554","0","0","0","0","0","27","3","15","9","0"
"Federalsburg","2,647","22","0","4","3","15","181","56","115","10","0"
"Forest Heights","2,656","5","0","0","2","3","54","22","26","6","0"
"Frederick","59,731","418","5","20","104","289","1,806","275","1,417","114","29"
"Frostburg","7,809","15","0","3","0","12","206","55","146","5","1"
"Fruitland","4,193","66","0","0","7","59","237","41","186","10","0"
"Glenarden","6,340","6","0","1","3","2","38","10","16","12","0"
"Greenbelt","22,090","210","2","10","132","66","1,170","130","768","272","0"
"Greensboro","2,016","9","0","0","0","9","46","15","27","4","0"
"Hagerstown","39,263","223","2","11","99","111","1,601","270","1,214","117","29"
"Hampstead","5,535","1","0","0","0","1","137","14","119","4","1"
"Hancock","1,721","6","0","0","0","6","23","1","19","3","0"
"Havre de Grace","12,584","60","0","1","9","50","381","64","297","20","2"
"Hurlock","2,015","9","0","0","4","5","114","38","66","10","0"
"Hyattsville","15,152","173","2","6","124","41","1,721","146","1,392","183","0"
"Landover Hills","1,575","6","0","0","3","3","24","10","10","4","0"
"La Plata","9,090","50","0","0","13","37","195","50","134","11","1"
"Laurel","22,086","166","1","5","80","80","1,150","174","755","221","1"
"Lonaconing","1,137","0","0","0","0","0","1","0","1","0","0"
"Luke","74","0","0","0","0","0","0","0","0","0","0"
"Manchester","3,609","1","0","0","1","0","55","27","24","4","2"
"Morningside","1,305","6","0","0","6","0","58","5","34","19","0"
"Mount Rainier","8,660","91","2","2","64","23","408","68","211","129","0"
"New Carrollton","12,712","68","0","6","41","21","350","70","205","75","0"
"North Brentwood","482","2","0","0","2","0","10","0","7","3","0"
"North East","2,856","18","0","0","6","12","163","20","129","14","5"
"Oakland","1,869","1","0","0","0","1","63","7","53","3","0"
"Ocean City","7,005","142","0","15","43","84","1,295","189","1,067","39","9"
"Ocean Pines","11,134","7","0","2","0","5","163","40","115","8","0"
"Oxford","735","0","0","0","0","0","8","1","7","0","0"
"Perryville","3,826","17","0","1","4","12","148","21","120","7","6"
"Pocomoke City","3,863","29","0","3","6","20","243","36","206","1","0"
"Port Deposit","704","1","0","0","0","1","20","4","16","0","0"
"Preston","647","1","0","0","0","1","16","4","12","0","0"
"Princess Anne","2,934","43","0","2","8","33","159","38","109","12","2"
"Ridgely","1,485","5","0","0","0","5","47","5","37","5","0"
"Rising Sun","1,821","5","0","0","0","5","85","18","65","2","0"
"Riverdale Park","6,584","104","0","1","55","48","371","63","223","85","0"
"Rock Hall","1,424","1","0","0","0","1","30","10","18","2","0"
"Salisbury","27,727","503","2","24","182","295","2,390","583","1,704","103","13"
"Seat Pleasant","5,020","57","0","2","26","29","252","38","143","71","0"
"Smithsburg","3,031","5","0","1","0","4","42","7","34","1","0"
"Snow Hill","2,278","11","0","2","0","9","43","13","28","2","1"
"St. Michaels","1,088","6","0","0","2","4","62","19","42","1","0"
"Sykesville","4,499","2","0","1","0","1","44","10","32","2","5"
"Takoma Park","18,539","131","1","4","83","43","699","140","432","127","2"
"Taneytown","5,533","3","0","1","1","1","122","9","109","4","3"
"Thurmont","6,092","16","0","0","1","15","55","6","40","9","0"
"Trappe","1,179","2","0","1","0","1","10","0","9","1","0"
"University Park","2,379","3","0","0","3","0","55","14","33","8","0"
"Upper Marlboro","681","6","0","0","0","6","25","3","20","2","0"
"Westernport","1,971","5","0","1","0","4","54","13","41","0","0"
"Westminster","18,036","118","0","0","12","106","739","129","572","38","10"
