"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abington","16,673","43","0","2","8","33","316","114","181","21","3"
"Acton","20,619","30","0","3","4","23","283","34","243","6","0"
"Acushnet","10,575","20","0","3","1","16","170","81","77","12","3"
"Adams","8,316","37","0","1","4","32","265","65","189","11","0"
"Agawam","28,573","41","0","4","8","29","428","138","248","42","3"
"Amesbury","16,551","41","0","3","3","35","239","53","175","11","2"
"Amherst","33,913","81","0","14","5","62","391","194","163","34","3"
"Andover","33,615","21","0","4","1","16","396","52","316","28","4"
"Aquinnah","356","0","0","0","0","0","2","1","1","0","0"
"Arlington","40,902","64","1","6","11","46","638","231","371","36","15"
"Ashburnham","6,065","16","0","3","1","12","68","36","29","3","0"
"Ashfield","1,826","5","1","0","0","4","12","5","7","0",""
"Ashland","15,818","26","0","5","5","16","84","25","50","9","2"
"Athol","11,721","50","0","4","1","45","183","89","88","6","3"
"Attleboro","43,474","139","0","8","25","106","962","243","613","106","4"
"Auburn2","16,445","","0","5","7","","528","72","418","38","2"
"Avon2","4,310","","0","0","1","","181","26","150","5",""
"Ayer","7,306","25","0","3","2","20","151","66","81","4","8"
"Barnstable","47,342","301","2","17","25","257","1,252","439","717","96","6"
"Barre","5,467","15","0","1","2","12","89","18","67","4","1"
"Becket","1,804","1","0","0","0","1","48","33","14","1","0"
"Bedford","12,862","1","0","0","0","1","179","35","143","1","0"
"Belchertown","14,268","21","0","2","0","19","189","68","108","13","1"
"Bellingham","15,965","30","0","1","7","22","309","47","244","18","1"
"Belmont","23,184","25","0","5","4","16","242","71","156","15","1"
"Berkley","6,494","15","0","2","2","11","51","30","18","3","0"
"Berlin","2,771","0","0","0","0","0","29","3","26","0","0"
"Beverly","39,493","106","0","10","15","81","668","111","521","36","4"
"Billerica","41,568","40","0","4","7","29","589","74","478","37","1"
"Blackstone","9,067","13","0","1","5","7","121","35","66","20","0"
"Bolton","4,517","3","0","1","0","2","37","10","23","4","1"
"Boston","591,855","6,837","65","263","2,242","4,267","24,579","3,810","17,351","3,418",""
"Bourne","19,308","80","0","3","5","72","674","288","353","33","11"
"Boxborough","5,106","8","0","1","0","7","37","6","28","3","2"
"Boxford","8,155","1","0","0","0","1","62","17","43","2","0"
"Boylston","4,295","0","0","0","0","0","27","4","22","1","0"
"Braintree","34,147","107","1","2","25","79","921","115","761","45","1"
"Brewster","10,158","19","0","1","0","18","127","25","99","3","1"
"Bridgewater","25,767","37","0","5","4","28","186","41","131","14","2"
"Brimfield","3,744","5","0","0","0","5","6","0","3","3","0"
"Brockton2","94,180","","11","42","199","","3,321","695","2,163","463","22"
"Brookline","54,976","129","0","1","36","92","1,008","161","809","38",""
"Burlington","24,978","39","0","2","10","27","881","258","595","28","1"
"Cambridge3","101,161","421","0","12","148","261","3,616","662","2,718","236","9"
"Canton","21,890","60","0","5","2","53","261","44","202","15","1"
"Carver2","11,639","","0","1","4","","92","41","41","10","2"
"Charlemont","1,381","2","0","0","0","2","7","2","5","0","0"
"Charlton","12,765","21","0","0","0","21","134","43","75","16","0"
"Chatham","6,811","9","0","0","1","8","161","28","131","2","0"
"Chelmsford","33,740","44","1","1","6","36","520","63","438","19","0"
"Chelsea","32,439","607","2","19","207","379","1,334","372","756","206","10"
"Cheshire","3,335","0","0","0","0","0","9","6","2","1",""
"Chicopee","54,414","305","0","32","52","221","1,735","474","1,055","206","3"
"Clinton","14,247","11","0","1","1","9","135","39","85","11","0"
"Cohasset","7,213","10","0","0","1","9","105","17","82","6","1"
"Concord","16,766","13","0","1","0","12","240","58","178","4","1"
"Dalton","6,627","20","0","3","0","17","79","20","54","5","2"
"Danvers","25,979","58","0","7","11","40","919","65","809","45","2"
"Dartmouth","31,465","106","0","7","17","82","1,157","188","907","62","6"
"Dedham","23,653","30","0","0","7","23","573","63","481","29","0"
"Deerfield","4,763","3","0","0","0","3","102","31","69","2","0"
"Douglas","8,093","8","0","2","1","5","29","9","16","4","2"
"Dover","5,650","3","0","0","1","2","20","7","13","0","0"
"Dracut","29,444","33","0","6","6","21","271","106","152","13","1"
"Dudley","10,951","14","2","0","0","12","50","27","21","2","0"
"East Bridgewater","14,077","22","0","5","1","16","257","56","190","11","4"
"East Brookfield","2,095","0","0","0","0","0","23","7","15","1","0"
"Eastham","5,519","4","0","3","0","1","70","12","57","1","0"
"Easthampton","16,082","35","0","2","1","32","172","55","99","18","4"
"East Longmeadow","15,061","44","0","2","9","33","400","54","332","14","2"
"Easton","23,142","14","0","0","3","11","201","54","131","16","0"
"Egremont","1,364","5","0","0","1","4","29","9","20","0","0"
"Erving","1,574","2","0","1","0","1","32","18","13","1","1"
"Everett","36,826","188","1","11","57","119","1,239","289","782","168","1"
"Fairhaven","16,268","75","1","1","15","58","564","140","404","20","5"
"Falmouth","33,722","151","0","11","10","130","1,113","548","495","70","6"
"Fitchburg2","40,180","","0","21","39","","1,015","293","645","77","9"
"Foxborough","16,276","37","1","4","2","30","173","72","85","16",""
"Framingham","64,482","107","0","3","29","75","1,380","211","1,018","151",""
"Franklin","31,478","6","0","1","1","4","99","14","76","9","0"
"Freetown","9,042","26","0","0","0","26","182","77","83","22","4"
"Gardner","20,813","120","1","6","10","103","497","139","328","30","6"
"Georgetown","8,210","5","0","0","0","5","45","14","30","1",""
"Gloucester","30,597","28","0","5","4","19","538","82","445","11","1"
"Goshen","965","0","0","0","0","0","6","4","2","0","0"
"Grafton","17,750","13","1","0","0","12","125","41","73","11","0"
"Granby","6,381","15","0","1","1","13","72","19","47","6","0"
"Great Barrington","7,423","12","1","2","0","9","143","31","107","5","0"
"Greenfield2","17,648","","3","12","9","","438","165","238","35","6"
"Groton","10,737","3","0","0","0","3","31","10","21","0","0"
"Groveland","6,863","4","0","1","0","3","41","8","31","2","0"
"Hadley","4,817","7","0","0","4","3","197","42","146","9","0"
"Halifax","7,834","10","0","2","1","7","73","15","51","7","0"
"Hamilton","8,262","6","0","1","0","5","85","27","54","4","0"
"Hampden","5,349","5","0","1","1","3","46","18","24","4","1"
"Hanover","14,266","5","0","0","2","3","302","42","255","5","0"
"Hanson2","10,054","","0","5","3","","158","44","103","11","3"
"Hardwick","2,670","5","0","0","0","5","40","14","24","2","0"
"Harvard","6,062","2","0","0","0","2","31","15","12","4","2"
"Harwich","12,573","28","0","3","2","23","292","134","157","1","2"
"Hatfield","3,266","0","0","0","0","0","12","4","7","1","0"
"Haverhill","60,308","365","0","13","81","271","1,552","720","626","206","17"
"Hingham","22,059","16","0","1","1","14","324","67","248","9","1"
"Hinsdale2","1,782","","0","0","0","","1","1","0","0","0"
"Holbrook","10,724","21","0","6","9","6","252","81","153","18",""
"Holden","16,816","12","0","1","0","11","78","11","64","3","3"
"Holliston","13,903","7","0","1","0","6","64","19","40","5","2"
"Holyoke","39,769","497","2","45","54","396","2,203","421","1,569","213","15"
"Hopedale","6,277","11","0","1","1","9","45","23","17","5","1"
"Hopkinton","14,294","1","0","0","0","1","62","6","56","0","0"
"Hubbardston","4,494","16","0","0","0","16","35","11","23","1","1"
"Hudson","19,595","2","0","0","2","0","198","18","165","15","0"
"Hull","11,261","40","0","1","3","36","142","56","76","10","4"
"Ipswich","13,326","8","0","1","0","7","196","64","125","7","0"
"Kingston","12,581","28","0","5","5","18","335","48","263","24","2"
"Lakeville","10,770","13","1","0","1","11","188","72","110","6","2"
