"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adrian","21,612","123","0","37","14","72","834","176","638","20","4"
"Albion","9,267","99","4","5","18","72","381","86","275","20","4"
"Algonac","4,585","13","0","1","0","12","42","9","31","2","1"
"Allegan","4,963","76","0","3","0","73","66","9","54","3","1"
"Allen Park","27,384","2","0","0","0","2","264","61","158","45","1"
"Alma","9,231","17","0","3","0","14","55","32","20","3","0"
"Almont","2,863","10","0","1","0","9","92","25","62","5","1"
"Ann Arbor","113,011","298","0","30","66","202","2,777","572","2,046","159","15"
"Argentine Township","7,328","8","0","1","1","6","115","26","83","6","0"
"Armada","1,640","2","0","0","0","2","13","0","12","1","0"
"Auburn","2,058","1","0","0","0","1","25","3","20","2","0"
"Auburn Hills","21,149","85","1","12","21","51","1,111","138","895","78","0"
"Bad Axe","3,163","2","1","0","0","1","116","15","99","2","0"
"Bangor","1,881","15","0","4","2","9","97","9","85","3","0"
"Baraga","1,242","1","0","0","0","1","17","3","14","0","0"
"Bath Township","11,721","10","0","1","0","9","116","34","76","6","0"
"Battle Creek","62,143","818","3","89","130","596","3,591","1,001","2,397","193","26"
"Bay City","34,145","164","1","20","50","93","1,170","298","792","80","13"
"Belding","5,872","22","0","12","0","10","237","33","198","6","0"
"Belleville","3,766","5","0","0","4","1","146","16","122","8","0"
"Benton Harbor","10,567","137","0","6","28","103","285","135","126","24","1"
"Benton Township","15,626","189","0","18","33","138","1,298","195","1,032","71","3"
"Berkley","14,906","13","0","4","6","3","186","25","147","14","1"
"Berrien Springs-Oronoko Township","9,570","16","0","7","1","8","272","37","227","8","2"
"Beverly Hills","9,955","15","0","0","3","12","122","24","91","7","0"
"Big Rapids","10,536","23","0","6","3","14","380","59","311","10","2"
"Birch Run","1,700","5","0","0","2","3","144","6","136","2","0"
"Birmingham","19,149","25","0","1","5","19","392","65","303","24","7"
"Blackman Township","25,461","65","1","11","11","42","633","85","520","28","5"
"Blissfield","3,251","4","0","1","0","3","59","11","47","1","1"
"Bloomfield Hills","3,818","2","0","0","1","1","61","14","46","1","0"
"Bloomfield Township","41,231","19","0","3","8","8","683","129","514","40","3"
"Bloomingdale","504","1","0","0","0","1","25","2","23","0","0"
"Bridgeport Township","11,134","34","0","1","8","25","282","96","171","15","1"
"Bridgman","2,429","0","0","0","0","0","79","8","69","2","2"
"Brighton","7,326","14","0","2","4","8","264","18","239","7","2"
"Bronson","2,294","2","0","1","0","1","35","8","27","0","1"
"Brown City","1,294","0","0","0","0","0","32","0","32","0","0"
"Brownstown Township","30,336","67","1","2","8","56","691","182","403","106","6"
"Buena Vista Township","9,631","179","2","10","33","134","534","238","255","41","8"
"Burr Oak","759","2","0","2","0","0","8","1","6","1","0"
"Burton","30,958","131","1","6","40","84","1,507","286","1,101","120","4"
"Cadillac","10,329","45","0","12","4","29","525","70","437","18","8"
"Calumet","797","4","0","1","0","3","21","3","16","2","0"
"Canton Township","88,126","110","1","21","19","69","1,562","277","1,165","120","5"
"Capac","2,308","1","0","0","0","1","47","8","38","1","0"
"Carleton","2,947","4","0","1","0","3","47","4","39","4","0"
"Caro","4,136","10","0","4","0","6","180","36","139","5","0"
"Carrollton Township","6,128","21","0","1","5","15","325","67","236","22","0"
"Cass City","2,568","2","0","0","0","2","30","2","28","0","0"
"Cassopolis","1,792","3","0","0","0","3","23","5","17","1","0"
"Cedar Springs","3,287","14","0","1","0","13","112","18","87","7","4"
"Center Line","8,209","25","0","4","10","11","248","36","139","73","2"
"Charlotte","9,047","29","0","15","2","12","327","63","254","10","6"
"Cheboygan","5,114","20","0","7","1","12","189","22","163","4","0"
"Chelsea","5,014","5","0","2","1","2","135","14","117","4","1"
"Chesterfield Township","45,849","161","0","13","15","133","1,227","175","966","86","13"
"Chikaming Township","3,686","2","0","0","0","2","82","9","73","0","0"
"Chocolay Township","5,989","0","0","0","0","0","30","1","29","0","0"
"Clare","3,198","18","0","8","0","10","186","14","167","5","3"
"Clawson","12,175","14","0","1","0","13","152","47","99","6","0"
"Clayton Township","7,885","11","0","2","1","8","107","28","70","9","0"
"Clay Township","9,848","3","0","1","0","2","170","43","117","10","0"
"Clinton","2,439","5","0","0","1","4","41","5","35","1","0"
"Clinton Township","96,948","308","3","24","76","205","2,299","534","1,454","311","17"
"Clio","2,606","9","0","1","1","7","92","18","71","3","2"
"Coldwater","10,711","34","0","9","2","23","423","60","345","18","1"
"Coleman","1,252","0","0","0","0","0","59","9","49","1","0"
"Coloma Township","6,662","15","0","3","1","11","236","69","157","10","2"
"Colon","1,173","2","0","1","0","1","44","5","36","3","0"
"Columbia Township","7,734","4","0","0","0","4","211","33","169","9","1"
"Constantine","2,149","11","1","4","0","6","116","7","104","5","1"
"Corunna","3,375","5","0","1","0","4","85","15","66","4","0"
"Covert Township","3,123","15","0","4","1","10","98","28","57","13","3"
"Croswell","2,554","3","0","0","0","3","81","20","55","6","0"
"Davison","5,294","5","0","0","1","4","104","22","79","3","0"
"Dearborn","91,748","466","1","27","146","292","4,333","581","2,945","807","24"
"Dearborn Heights","54,901","212","2","14","63","133","1,534","491","705","338","11"
"Decatur","1,872","20","0","4","1","15","175","19","152","4","0"
"Denton Township","5,649","7","0","1","0","6","119","45","72","2","0"
"Detroit","860,971","19,708","394","341","6,575","12,398","58,302","17,767","20,918","19,617","758"
"Dewitt","4,399","6","0","0","0","6","32","5","24","3","0"
"Dewitt Township","13,295","23","0","4","4","15","173","67","98","8","1"
"Douglas","2,209","4","0","1","0","3","109","32","75","2","0"
"Dowagiac","5,913","43","1","5","9","28","293","41","240","12","1"
"Dryden Township","4,773","3","0","0","0","3","45","16","26","3","0"
"East Grand Rapids","10,309","3","0","1","1","1","134","29","100","5","1"
"East Jordan","2,270","0","0","0","0","0","113","7","104","2","0"
"East Lansing","45,979","201","0","22","34","145","978","231","700","47","21"
"Eastpointe","32,797","243","2","13","50","178","1,116","181","579","356","16"
"East Tawas","2,808","10","0","1","2","7","175","27","144","4","1"
"Eaton Rapids","5,304","11","0","3","0","8","158","20","137","1","2"
"Eau Claire","632","0","0","0","0","0","17","2","15","0","0"
"Elk Rapids","1,708","4","0","0","0","4","67","7","60","0","1"
"Elkton","783","0","0","0","0","0","31","2","27","2","0"
"Emmett Township","12,048","59","0","4","9","46","600","95","493","12","1"
"Erie Township","4,780","9","1","2","0","6","63","22","33","8","0"
"Escanaba","12,494","5","0","2","0","3","495","88","400","7","2"
"Essexville","3,523","0","0","0","0","0","99","15","82","2","0"
"Evart","1,717","4","0","1","0","3","55","13","42","0","0"
"Farmington","9,930","17","0","2","6","9","192","35","146","11","0"
