"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Baker","1,620","2","0","0","0","2","15","5","10","0","0"
"Belgrade","7,552","31","0","5","2","24","246","29","198","19","8"
"Billings","101,342","245","1","23","54","167","4,182","435","3,420","327","28"
"Boulder","1,468","7","0","1","0","6","9","1","6","2","0"
"Bozeman","36,158","88","0","17","15","56","1,583","128","1,333","122","16"
"Chinook","1,283","2","0","0","0","2","10","0","9","1","0"
"Colstrip","2,342","8","0","0","0","8","93","9","75","9","2"
"Columbia Falls","4,826","16","0","1","0","15","125","4","116","5","2"
"Columbus","1,954","5","0","0","1","4","39","1","37","1","0"
"Conrad","2,556","8","0","1","0","7","43","4","34","5","1"
"Cut Bank","3,182","39","0","2","0","37","133","12","116","5","0"
"Dillon","4,029","9","0","0","0","9","112","6","102","4","0"
"East Helena","2,108","3","0","0","0","3","29","7","19","3","1"
"Ennis","1,029","2","0","0","0","2","13","4","8","1","0"
"Eureka","1,030","5","0","0","0","5","73","4","68","1","0"
"Fort Benton","1,451","6","0","2","0","4","32","6","25","1","0"
"Glasgow","2,926","16","0","3","0","13","62","5","56","1","0"
"Glendive","4,606","13","0","1","0","12","168","2","164","2","1"
"Great Falls","56,159","178","1","6","29","142","3,061","235","2,713","113","27"
"Hamilton","4,774","23","0","2","0","21","209","13","187","9","4"
"Havre","9,414","47","0","6","2","39","421","31","365","25","4"
"Helena","28,128","126","0","16","9","101","1,073","127","889","57","14"
"Joliet","617","0","0","0","0","0","4","2","2","0","0"
"Kalispell","20,104","69","0","7","6","56","1,311","83","1,168","60","10"
"Laurel","6,434","14","0","3","0","11","270","11","251","8","5"
"Lewistown","6,047","28","0","6","1","21","104","12","89","3","0"
"Libby","2,666","8","0","0","1","7","132","17","111","4","0"
"Livingston","7,307","26","0","5","0","21","187","43","123","21","0"
"Manhattan","1,503","1","0","1","0","0","21","2","17","2","0"
"Missoula","65,037","218","1","23","36","158","2,935","255","2,541","139","17"
"Plains","1,272","3","0","0","0","3","56","2","48","6","1"
"Polson","5,082","42","0","3","0","39","181","10","156","15","0"
"Poplar","900","1","0","0","0","1","2","1","1","0","0"
"Red Lodge","2,494","10","0","1","0","9","59","6","53","0","2"
"Ronan City","2,033","13","0","1","0","12","102","18","72","12","0"
"Stevensville","1,966","11","0","1","0","10","27","2","23","2","1"
"St. Ignatius","830","1","0","0","0","1","23","2","15","6","0"
"Thompson Falls","1,420","6","0","1","0","5","45","5","38","2","1"
"Three Forks","1,865","0","0","0","0","0","32","3","26","3","0"
"Troy","996","2","0","0","0","2","13","3","8","2","0"
"West Yellowstone","1,240","1","0","1","0","0","5","0","5","0","0"
