"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Alexandria","1,524","2","0","0","0","2","12","3","9","0","1"
"Alton","5,205","6","0","1","0","5","72","32","32","8","3"
"Amherst","11,836","8","0","2","4","2","159","27","128","4","0"
"Antrim","2,642","2","0","1","0","1","72","18","47","7","1"
"Ashland","2,029","3","0","1","1","1","38","5","27","6","1"
"Auburn","5,235","3","0","1","0","2","47","14","31","2","0"
"Barrington","8,384","2","0","0","0","2","86","37","45","4","0"
"Bartlett","2,945","2","0","0","0","2","36","6","29","1","0"
"Bedford","21,389","20","0","1","4","15","224","42","173","9","1"
"Belmont","7,365","9","0","3","0","6","135","33","98","4","6"
"Bennington","1,488","1","0","0","0","1","41","6","33","2","0"
"Berlin","9,909","20","0","5","3","12","152","45","101","6","8"
"Bethlehem","2,452","2","0","1","1","0","37","15","21","1","0"
"Boscawen","3,930","4","1","0","0","3","35","11","24","0","0"
"Bow","8,250","5","0","0","2","3","63","15","44","4","0"
"Brentwood","3,866","2","0","0","0","2","51","6","41","4","0"
"Bristol","3,145","3","0","0","1","2","69","14","52","3","1"
"Campton","3,001","4","0","2","0","2","32","25","3","4","3"
"Candia","4,200","3","0","0","1","2","49","13","34","2","0"
"Carroll","752","3","0","0","0","3","59","9","43","7","0"
"Charlestown","4,987","2","0","0","0","2","42","13","27","2","0"
"Chester","4,793","2","0","0","1","1","42","18","22","2","1"
"Claremont","13,291","39","0","5","3","31","376","49","309","18","5"
"Colebrook","2,406","2","0","1","0","1","32","9","16","7","0"
"Concord","42,638","87","0","16","18","53","1,048","166","852","30","16"
"Conway","9,300","36","3","5","6","22","346","45","289","12","6"
"Dalton","907","2","0","0","0","2","19","11","7","1","0"
"Danville","4,425","6","0","0","1","5","48","8","38","2","0"
"Deerfield","4,220","1","0","0","0","1","40","4","35","1","0"
"Deering","2,070","2","0","0","0","2","28","4","23","1","0"
"Derry","34,118","73","1","14","20","38","692","150","488","54","16"
"Dover","28,661","20","0","5","3","12","598","68","510","20","7"
"Dunbarton","2,641","1","0","1","0","0","18","4","12","2","0"
"Enfield","4,890","6","0","0","0","6","45","9","36","0","0"
"Epping","6,263","5","0","1","0","4","167","40","123","4","2"
"Epsom","4,609","4","0","0","1","3","66","14","43","9","1"
"Exeter","14,851","13","0","4","0","9","169","25","140","4","3"
"Farmington","6,688","22","0","2","2","18","186","31","142","13","1"
"Fitzwilliam","2,321","1","0","1","0","0","9","3","5","1","0"
"Franconia","1,052","0","0","0","0","0","14","2","12","0","0"
"Fremont","4,156","7","0","0","1","6","49","17","29","3","3"
"Gilford","7,569","11","0","1","3","7","156","19","128","9","0"
"Gilmanton","3,621","2","0","0","0","2","30","12","14","4","0"
"Goffstown","17,810","11","0","2","0","9","265","48","212","5","8"
"Gorham","2,914","3","0","1","0","2","35","3","32","0","0"
"Grantham","2,578","2","0","0","0","2","13","2","9","2","0"
"Greenland","3,409","3","0","0","0","3","35","4","30","1","0"
"Hampstead","8,904","4","0","0","0","4","93","24","63","6","0"
"Hampton","15,493","10","0","3","2","5","357","56","278","23","3"
"Hancock","1,824","2","0","0","0","2","5","0","4","1","1"
"Hanover","11,198","14","0","10","0","4","187","17","166","4","1"
"Haverhill","4,623","15","0","2","1","12","141","30","104","7","1"
"Henniker","5,187","5","0","1","0","4","105","24","78","3","0"
"Hillsborough","5,539","16","1","4","2","9","116","41","69","6","3"
"Hinsdale","4,219","12","0","5","0","7","68","12","55","1","2"
"Hooksett","13,705","7","0","4","2","1","272","31","227","14","1"
"Hopkinton","5,651","2","0","2","0","0","33","1","31","1","1"
"Hudson","24,996","23","0","3","5","15","409","70","318","21","7"
"Jaffrey","5,729","12","0","4","2","6","49","20","25","4","3"
"Keene","22,693","54","0","12","9","33","640","86","537","17","7"
"Kingston","6,284","4","0","1","0","3","60","14","40","6","1"
"Laconia","17,153","47","0","13","8","26","686","100","560","26","4"
"Lancaster","3,362","3","0","2","0","1","95","19","70","6","0"
"Lebanon","12,589","18","0","5","7","6","427","35","384","8","1"
"Lee","4,481","2","0","0","0","2","67","20","38","9","0"
"Lincoln","1,322","2","0","0","1","1","80","6","73","1","0"
"Lisbon","1,663","1","0","1","0","0","23","3","19","1","1"
"Litchfield","8,737","7","0","0","1","6","80","15","59","6","2"
"Littleton","6,213","9","0","5","0","4","95","14","77","4","1"
"Londonderry","25,121","25","0","5","7","13","348","62","246","40","2"
"Loudon","5,215","5","0","2","2","1","82","11","58","13","1"
"Madison","2,329","2","0","1","0","1","57","15","40","2","0"
"Marlborough","2,107","4","0","2","0","2","26","11","15","0","0"
"Meredith","6,780","8","0","3","1","4","128","14","108","6","2"
"Merrimack","26,847","2","0","0","1","1","210","43","155","12","2"
"Middleton","1,806","1","0","1","0","0","45","20","24","1","1"
