"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Aberdeen Township","18,301","25","0","1","5","19","251","38","198","15","2"
"Absecon","8,029","28","0","2","15","11","268","70","188","10","0"
"Allendale","6,683","2","0","0","0","2","57","10","45","2","0"
"Allenhurst","698","1","0","0","0","1","28","4","23","1","0"
"Allentown","1,839","1","0","0","1","0","24","5","16","3","0"
"Alpha","2,426","18","0","0","0","18","28","2","23","3","0"
"Alpine","2,418","2","0","0","1","1","8","2","6","0","0"
"Andover Township","6,523","20","0","0","0","20","37","8","28","1","2"
"Asbury Park","16,473","351","6","11","184","150","717","235","410","72","4"
"Atlantic City","39,781","860","6","28","456","370","2,902","545","2,157","200","16"
"Atlantic Highlands","4,594","6","0","0","0","6","69","9","60","0","0"
"Audubon","8,941","9","0","1","4","4","263","27","226","10","2"
"Audubon Park","1,066","0","0","0","0","0","16","1","13","2","0"
"Avalon","2,116","4","0","1","0","3","295","48","244","3","1"
"Avon-by-the-Sea","2,156","2","0","0","1","1","54","13","41","0","0"
"Barnegat Light","829","0","0","0","0","0","12","3","8","1","0"
"Barnegat Township","21,098","27","1","1","5","20","181","43","131","7","5"
"Barrington","6,973","11","0","2","0","9","41","12","22","7","0"
"Bay Head","1,254","0","0","0","0","0","78","13","65","0","0"
"Bayonne","58,583","189","1","6","83","99","941","212","626","103","4"
"Beach Haven","1,360","5","0","0","0","5","114","8","105","1","0"
"Beachwood","10,696","21","0","0","3","18","225","42","181","2","0"
"Bedminster Township","8,412","2","0","0","0","2","59","14","44","1","1"
"Belleville","34,291","117","1","1","59","56","779","150","448","181","2"
"Bellmawr","11,143","17","0","2","4","11","329","78","227","24","0"
"Belmar","5,897","16","0","0","2","14","333","70","254","9","0"
"Belvidere","2,689","0","0","0","0","0","13","1","12","0","0"
"Bergenfield","26,078","30","0","1","11","18","203","39","154","10","2"
"Berkeley Heights Township","13,515","3","0","0","0","3","83","9","68","6","0"
"Berkeley Township","42,388","56","2","4","17","33","806","135","647","24","4"
"Berlin","7,875","8","0","0","3","5","171","36","128","7","0"
"Berlin Township","5,381","10","0","0","5","5","195","18","163","14","4"
"Bernards Township","27,020","1","0","0","0","1","159","14","136","9","0"
"Bernardsville","7,654","0","0","0","0","0","55","6","48","1","0"
"Beverly","2,639","17","0","0","6","11","46","16","25","5","0"
"Blairstown Township","5,956","2","0","0","0","2","57","8","47","2","1"
"Bloomfield","45,171","124","1","2","82","39","1,283","182","900","201","4"
"Bloomingdale","7,570","3","0","0","0","3","51","7","43","1","0"
