"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Aberdeen","5,337","23","0","1","7","15","298","50","224","24","3"
"Ahoskie","4,278","29","0","1","4","24","303","80","215","8","2"
"Albemarle","15,355","143","1","13","34","95","1,213","309","837","67","15"
"Angier","4,288","48","0","2","8","38","190","78","94","18","3"
"Archdale","9,474","32","0","1","10","21","368","78","267","23","2"
"Asheboro","24,399","57","0","6","22","29","1,670","349","1,215","106","1"
"Asheville","72,907","505","10","27","229","239","4,249","1,014","2,818","417","51"
"Atlantic Beach","1,839","27","0","2","2","23","210","39","169","2","1"
"Bailey","679","4","0","0","2","2","50","14","35","1","0"
"Banner Elk","895","5","0","2","0","3","28","4","21","3","0"
"Beaufort","4,326","12","0","0","0","12","216","74","131","11","0"
"Belhaven","1,997","9","0","0","0","9","64","25","37","2","3"
"Belmont","9,005","64","0","4","17","43","523","95","395","33","2"
"Benson","3,422","37","0","0","17","20","254","60","175","19","1"
"Bethel","1,680","9","0","0","1","8","55","6","46","3","1"
"Beulaville","1,117","6","0","0","0","6","58","16","38","4","0"
"Biltmore Forest","1,527","0","0","0","0","0","22","5","17","0","1"
"Biscoe","1,732","18","0","0","6","12","171","23","144","4","1"
"Black Mountain","7,686","7","0","0","2","5","152","48","93","11","1"
"Boiling Spring Lakes","4,637","7","0","3","0","4","69","21","43","5","5"
"Boiling Springs","3,856","6","0","1","2","3","45","5","38","2","0"
"Boone","13,283","21","0","2","4","15","458","69","375","14","0"
"Brevard","6,634","33","1","4","3","25","285","65","211","9","1"
"Bryson City","1,382","16","0","0","1","15","102","0","100","2","1"
"Burlington","48,689","404","3","16","103","282","2,967","763","2,054","150","8"
"Butner","6,520","63","0","0","11","52","268","70","182","16","2"
"Canton","3,925","22","1","0","4","17","240","84","149","7","4"
"Cape Carteret","1,460","5","0","0","0","5","50","3","44","3","0"
"Carolina Beach","5,675","21","0","3","11","7","329","86","217","26","3"
"Carthage","2,036","12","0","0","2","10","109","24","84","1","0"
"Cary","114,221","134","1","11","58","64","2,120","448","1,584","88","13"
"Chadbourn","2,071","26","2","1","1","22","188","49","137","2","1"
"Charlotte-Mecklenburg","733,291","7,233","76","282","3,191","3,684","51,279","12,948","32,313","6,018","388"
"Cherryville","5,533","22","0","3","1","18","186","64","119","3","3"
