"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Beulah","2,974","3","0","0","0","3","42","10","29","3","0"
"Bismarck","58,648","108","1","25","11","71","1,550","255","1,194","101","5"
"Cavalier","1,404","1","0","1","0","0","20","7","12","1","0"
"Devils Lake","6,647","13","1","1","2","9","272","36","226","10","1"
"Dickinson","15,595","7","0","0","0","7","462","79","349","34","0"
"Fargo","89,998","241","3","62","26","150","2,745","530","2,018","197","21"
"Fessenden","519","0","0","0","0","0","2","2","0","0","0"
"Grafton","4,118","6","0","1","0","5","108","14","84","10","0"
"Grand Forks","50,477","120","1","30","11","78","1,762","253","1,379","130","3"
"Harvey","1,671","6","0","2","0","4","22","4","18","0","1"
"Jamestown","14,696","23","0","7","0","16","298","58","226","14","3"
"Mandan","17,521","34","0","7","2","25","436","46","351","39","6"
"Mayville","1,919","0","0","0","0","0","9","2","6","1","0"
"Minot","34,487","91","3","19","5","64","866","140","656","70","6"
"Northwood","853","0","0","0","0","0","4","0","3","1","0"
"Portland","562","1","0","0","0","1","0","0","0","0","0"
"Rolla","1,451","3","0","1","0","2","43","15","27","1","0"
"Rugby","2,606","0","0","0","0","0","12","2","7","3","0"
"Steele","676","0","0","0","0","0","7","2","5","0","0"
"Valley City","6,325","9","1","1","0","7","89","19","65","5","0"
"Wahpeton","7,850","14","0","0","1","13","182","14","164","4","3"
"West Fargo","22,462","29","0","5","4","20","487","93","340","54","2"
"Williston","12,260","17","0","4","1","12","202","15","160","27","8"
