"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Akron","208,701","1,567","22","174","730","641","10,494","3,319","5,973","1,202","110"
"Alliance","22,703","107","1","18","23","65","1,105","254","822","29","15"
"Amberley Village","3,204","1","0","0","0","1","50","25","25","0","0"
"Amelia","3,624","1","0","0","1","0","75","13","58","4","0"
"Amherst","11,850","13","0","3","8","2","230","47","178","5","1"
"Arcanum","2,002","1","0","0","0","1","34","4","30","0","1"
"Archbold","4,530","4","0","0","0","4","72","6","65","1","0"
"Ashland","21,939","19","0","8","11","0","551","67","473","11","0"
"Athens","20,833","40","0","1","6","33","481","72","400","9","3"
"Aurora","14,512","13","0","5","3","5","163","16","140","7","0"
"Austintown","35,888","19","1","0","17","1","1,684","236","1,366","82","0"
"Bainbridge Township","11,334","13","0","1","4","8","327","44","276","7","0"
"Barberton","26,942","57","1","7","31","18","1,176","235","879","62","8"
"Batavia","1,691","1","0","0","0","1","109","22","83","4","0"
"Bath Township, Summit County","10,277","0","0","0","0","0","179","20","151","8","0"
"Beachwood","11,239","8","0","1","5","2","447","36","383","28","0"
"Beavercreek","39,552","30","1","12","11","6","1,346","143","1,139","64","10"
"Beaver Township","6,176","5","0","0","3","2","156","37","117","2","0"
"Bedford Heights","10,568","28","0","3","18","7","339","70","216","53","0"
"Bellaire","4,674","12","0","2","1","9","51","4","45","2","1"
"Bellbrook","6,892","1","0","0","0","1","119","11","107","1","1"
"Bellefontaine","12,772","34","0","6","8","20","662","93","548","21","0"
"Bellville","1,731","2","0","1","1","0","55","9","45","1","1"
"Belpre","6,518","5","0","0","0","5","138","25","105","8","0"
"Berea","18,026","14","0","4","3","7","316","63","241","12","3"
"Bethel","2,608","6","0","1","0","5","209","30","177","2","0"
"Beverly","1,310","0","0","0","0","0","57","6","50","1","0"
"Bexley","12,161","27","0","0","16","11","441","124","305","12","2"
"Blendon Township","7,561","11","0","2","8","1","285","34","229","22","2"
"Blue Ash","11,409","8","0","0","3","5","251","39","208","4","1"
"Bluffton","3,992","6","1","2","0","3","94","17","76","1","0"
"Bowling Green","29,733","30","0","11","7","12","1,121","119","951","51","3"
"Brecksville","13,065","7","0","1","0","6","58","5","53","0","0"
"Brimfield Township","7,854","14","0","3","1","10","261","37","216","8","0"
"Broadview Heights","17,798","8","0","1","0","7","72","17","47","8","0"
"Brooklyn","10,574","44","0","6","21","17","615","53","466","96","0"
"Brooklyn Heights","1,474","0","0","0","0","0","44","11","25","8","0"
"Brook Park","19,498","21","0","3","4","14","289","20","221","48","2"
"Brookville","5,307","1","0","0","0","1","66","10","53","3","1"
"Bryan","8,327","6","0","3","0","3","193","27","162","4","1"
"Buckeye Lake","3,055","22","0","3","4","15","194","34","149","11","0"
"Butler Township","8,208","10","0","3","5","2","299","20","242","37","0"
"Cadiz","3,379","8","0","2","1","5","82","20","59","3","0"
"Cambridge","11,444","55","0","8","10","37","862","194","630","38","0"
"Camden","2,248","1","0","0","0","1","15","8","6","1","0"
"Campbell","8,630","48","3","6","18","21","338","176","142","20","0"
"Canal Fulton","5,106","8","0","1","0","7","125","30","95","0","3"
