"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abernathy","2,748","9","1","0","1","7","44","8","33","3","0"
"Abilene","114,644","661","9","89","167","396","4,911","1,324","3,295","292","31"
"Addison","13,764","127","0","8","32","87","1,092","185","798","109","2"
"Alamo","16,496","55","0","0","9","46","1,025","105","842","78","9"
"Alamo Heights","7,087","17","0","0","5","12","312","52","256","4","0"
"Alice","19,850","138","0","5","8","125","2,082","423","1,596","63","14"
"Allen","78,630","58","0","10","14","34","1,760","365","1,344","51","2"
"Alpine","6,056","11","0","3","1","7","104","56","45","3","3"
"Alto","1,152","2","0","0","0","2","62","25","32","5","0"
"Alton","7,793","9","0","1","3","5","372","87","234","51","0"
"Alvarado","4,200","17","0","3","0","14","124","34","79","11","1"
"Alvin","22,542","64","1","8","17","38","715","136","546","33","4"
"Amarillo","187,234","1,834","19","127","431","1,257","11,369","2,585","7,554","1,230","70"
"Andrews","9,541","53","0","7","1","45","315","82","228","5","2"
"Angleton","18,811","99","0","27","11","61","544","105","398","41","7"
"Anna","1,811","5","0","2","0","3","105","24","77","4","1"
"Anson","2,364","1","0","0","0","1","19","7","11","1","0"
"Anthony","4,155","22","0","0","7","15","176","10","157","9","1"
"Anton","1,153","2","0","1","0","1","8","1","5","2","0"
"Aransas Pass","9,082","63","0","7","14","42","793","146","612","35","0"
"Arcola","1,292","4","0","0","0","4","18","8","10","0","0"
"Argyle","3,291","0","0","0","0","0","26","6","20","0","0"
"Arlington","372,073","2,588","13","156","742","1,677","21,079","4,447","14,990","1,642","64"
"Arp","945","1","0","0","0","1","12","5","7","0","0"
"Athens","12,742","54","2","9","12","31","600","185","381","34","3"
"Atlanta","5,606","32","0","6","5","21","229","40","171","18","0"
"Austin","716,817","3,871","30","328","1,457","2,056","45,453","8,031","34,461","2,961","116"
"Azle","10,973","31","1","1","9","20","469","66","391","12","7"
"Baird","1,668","2","0","0","0","2","7","3","2","2","0"
"Balch Springs","19,852","211","1","18","85","107","1,256","161","1,016","79","1"
"Balcones Heights","2,969","44","0","1","16","27","712","191","475","46","1"
"Ballinger","3,875","8","0","0","1","7","73","13","56","4","0"
"Bangs","1,636","1","0","0","0","1","17","2","14","1","0"
"Bastrop","7,966","42","1","6","14","21","530","65","446","19","2"
"Bay City","18,211","462","0","10","34","418","1,088","235","808","45","1"
"Bayou Vista","1,717","0","0","0","0","0","2","0","2","0","0"
"Baytown","69,040","324","7","44","113","160","3,098","731","2,048","319","22"
"Beaumont","109,345","1,073","15","71","309","678","6,643","1,707","4,471","465","51"
"Bedford","48,974","258","1","19","34","204","1,734","289","1,331","114","8"
"Bee Cave","2,464","3","0","0","2","1","113","31","81","1","0"
"Beeville","13,721","48","0","2","4","42","425","125","285","15","0"
"Bellaire","17,879","41","0","1","33","7","303","57","224","22","2"
"Bellmead","9,573","131","1","6","20","104","906","92","779","35","2"
"Bellville","4,416","15","0","2","2","11","90","13","70","7","0"
"Belton","16,191","30","0","1","8","21","505","127","357","21","3"
"Benbrook","22,618","31","0","7","5","19","519","123","363","33","3"
"Bertram","1,378","3","0","1","0","2","28","13","13","2","0"
"Beverly Hills","2,046","4","0","0","1","3","89","11","76","2","0"
"Big Sandy","1,360","6","0","0","2","4","24","7","16","1","0"
"Big Spring","24,099","197","0","35","26","136","1,616","429","1,112","75","9"
"Bishop","3,199","5","0","1","2","2","155","25","129","1","0"
"Blanco","1,641","3","0","0","0","3","26","10","15","1","0"
"Bloomburg","368","0","0","0","0","0","1","1","0","0","2"
"Blue Mound","2,354","3","0","0","0","3","60","13","46","1","0"
"Boerne","9,090","19","0","0","0","19","246","35","200","11","1"
"Bogata","1,318","1","0","0","0","1","16","1","15","0","0"
"Bonham","10,756","56","0","1","3","52","387","93","282","12","3"
"Borger","13,128","120","1","6","12","101","843","245","560","38","23"
"Bovina","1,790","4","0","1","0","3","18","12","5","1","0"
"Bowie","5,591","17","0","4","1","12","292","46","221","25","1"
"Brady","5,382","24","0","0","3","21","170","44","122","4","2"
"Brazoria","2,998","13","0","3","1","9","105","25","71","9","0"
"Breckenridge","5,647","11","0","1","4","6","86","22","58","6","0"
"Bremond","895","1","0","0","0","1","8","6","2","0","1"
"Brenham","14,887","96","1","12","8","75","484","122","322","40","2"
"Bridge City","8,735","26","0","2","2","22","214","54","143","17","0"
"Bridgeport","5,966","10","1","2","1","6","164","40","110","14","1"
"Brookshire","3,734","23","0","1","14","8","169","61","84","24","1"
"Brookside Village","2,005","6","0","0","0","6","31","14","15","2","0"
"Brownfield","9,110","27","0","0","5","22","127","41","75","11","2"
"Brownsville","177,090","880","5","21","207","647","9,474","1,442","7,574","458","20"
"Brownwood","19,820","113","0","11","12","90","917","174","700","43","1"
"Bruceville-Eddy","1,535","2","0","0","1","1","69","13","52","4","0"
"Bryan","67,484","596","4","34","96","462","3,542","1,000","2,404","138","10"
"Bullard","1,741","3","0","0","1","2","56","14","42","0","1"
"Bulverde","4,662","7","0","1","0","6","107","14","91","2","1"
"Burkburnett","10,203","8","0","0","0","8","162","69","90","3","2"
"Burleson","33,383","62","1","12","13","36","985","163","750","72","14"
