"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Alpine/Highland","24,586","6","0","6","0","0","340","107","213","20","0"
"American Fork/Cedar Hills","35,945","34","1","5","5","23","1,029","145","840","44","4"
"Blanding","3,161","3","0","0","0","3","21","2","17","2","0"
"Bountiful","41,132","45","0","9","10","26","1,065","144","876","45","3"
"Brian Head","117","1","0","0","0","1","31","4","27","0","1"
"Brigham City","18,609","26","0","5","4","17","553","68","463","22","0"
"Cedar City","26,479","37","0","14","3","20","827","154","631","42","1"
"Centerville","15,140","13","0","3","0","10","322","40","272","10","0"
"Clearfield","27,419","42","0","11","7","24","867","112","710","45","4"
"Clinton","19,882","12","0","5","2","5","268","37","211","20","1"
"Draper","38,875","29","1","8","1","19","1,030","269","700","61","1"
"Farmington","16,078","5","0","1","1","3","200","35","156","9","0"
"Grantsville","8,329","6","0","3","0","3","182","34","133","15","0"
"Gunnison","2,768","12","0","0","1","11","127","29","87","11","0"
"Harrisville","5,514","10","0","0","3","7","238","25","205","8","0"
"Heber","10,155","5","0","3","0","2","112","31","67","14","0"
"Helper","1,869","7","0","1","0","6","21","7","11","3","0"
"Hildale","1,958","1","0","0","0","1","8","4","4","0","0"
"Hurricane","12,749","16","0","3","0","13","359","97","225","37","0"
"Ivins","7,663","2","0","1","0","1","123","57","62","4","0"
"Kaysville","24,050","17","0","6","0","11","410","66","322","22","1"
"La Verkin","4,260","5","0","4","0","1","66","21","37","8","0"
"Layton","63,284","79","1","21","14","43","2,057","288","1,673","96","17"
"Leeds","731","0","0","0","0","0","3","1","2","0","0"
"Lehi","39,483","16","0","10","3","3","841","101","678","62","1"
"Logan","48,403","27","0","3","3","21","417","60","337","20","3"
"Mapleton","7,363","0","0","0","0","0","94","28","66","0","0"
"Midvale","27,275","117","0","20","27","70","1,683","236","1,116","331","6"
"Moab","4,886","20","0","1","1","18","219","19","193","7","0"
"Monticello","1,918","1","0","0","0","1","23","6","17","0","0"
"Murray","44,748","174","3","21","51","99","3,085","441","2,323","321","0"
"Naples","1,533","3","0","1","0","2","43","5","33","5","0"
"Nephi","5,276","8","0","2","0","6","121","36","79","6","0"
"North Ogden","17,050","5","0","4","0","1","219","38","173","8","1"
"North Park","10,615","3","0","0","0","3","191","25","159","7","0"
"North Salt Lake","12,070","10","0","3","1","6","410","183","203","24","1"
"Ogden","78,160","501","3","33","136","329","4,914","923","3,466","525","22"
"Orem","91,816","67","1","23","15","28","2,835","245","2,455","135","3"
"Park City","8,132","8","0","2","1","5","472","86","365","21","0"
"Parowan","2,545","13","0","0","0","13","54","5","45","4","0"
"Payson","17,378","17","0","3","6","8","528","81","421","26","0"
"Perry","3,579","9","0","1","0","8","81","10","69","2","1"
"Pleasant Grove/Lindon","41,890","24","0","6","10","8","929","136","754","39","3"
"Pleasant View","6,607","4","0","1","0","3","129","22","106","1","0"
"Price","7,954","11","0","3","1","7","325","40","272","13","2"
"Provo","115,264","168","0","28","35","105","3,298","487","2,526","285","7"
"Richfield","7,139","2","0","0","0","2","299","45","245","9","1"
"Riverdale","8,023","20","0","2","10","8","484","37","420","27","1"
"Roosevelt","4,740","14","0","6","0","8","188","31","151","6","0"
"Roy","35,366","41","0","19","4","18","870","96","727","47","10"
"Salem","5,790","1","0","0","1","0","90","21","66","3","0"
"Salina","2,399","4","0","0","0","4","105","10","93","2","0"
"Salt Lake City","178,449","1,499","17","114","503","865","15,232","2,049","11,196","1,987","55"
"Sandy","94,975","189","1","27","33","128","3,317","534","2,519","264","17"
"Santaquin/Genola","8,367","4","0","1","2","1","99","27","69","3","0"
"Smithfield","7,484","3","0","0","0","3","146","28","111","7","0"
"South Jordan","46,571","29","0","4","4","21","1,177","207","881","89","1"
"South Ogden","15,473","29","0","8","11","10","545","74","450","21","2"
"South Salt Lake","21,262","204","3","40","46","115","2,248","326","1,488","434","2"
"Spanish Fork","28,950","15","0","1","6","8","625","116","481","28","3"
"Springville","26,883","31","0","7","7","17","754","119","602","33","0"
"St. George","70,579","155","0","13","15","127","2,338","606","1,583","149","8"
"Stockton","593","2","0","0","0","2","9","5","4","0","0"
"Sunset","4,870","4","0","0","0","4","142","38","103","1","0"
"Syracuse","21,544","19","0","10","0","9","297","38","246","13","0"
"Taylorsville City","57,944","231","3","34","61","133","2,900","504","2,060","336","6"
"Tooele","30,019","69","0","20","5","44","867","134","663","70","21"
"Tremonton","6,383","13","0","3","1","9","217","29","179","9","1"
"Vernal","8,231","11","0","3","0","8","245","27","195","23","1"
"Washington","16,607","24","0","6","3","15","452","99","324","29","0"
"West Bountiful","5,287","7","0","1","0","6","110","25","83","2","0"
"West Jordan","96,681","203","1","37","49","116","3,395","559","2,512","324","15"
"West Valley","121,447","594","6","92","155","341","6,745","1,106","4,548","1,091","30"
"Woods Cross","8,440","11","0","3","4","4","250","50","172","28","0"
